Naresova výprava bola poslednou významnou expedíciou, ktorú financovala Veľká Británia.	Nares’s mission would be the last major one sponsored by Great Britain.	0.211475
Ak osoba, ktorú milujete, reaguje pozitívne, zbláznený partner si bude tieto vzácne fragmenty prehrávať v mysli niekoľko dní.	If the cherished person gave the slightest positive response, the besotted partner would replay these precious fragments in reverie for days.	0.422115
Ak jedna alebo druhá strana pokus o zblíženie odmietne, z neistoty sa môže stať zúfalstvo a nevšímavosť.	If he or she rebuffed one’s overtures, uncertainty might turn to despair and listlessness instead.	0.285882
Milenec sa bude bezcieľne potulovať a premýšľať, až kým sa mu nepodarí ospravedlniť svoj neúspech a nenájde odpoveď na otázku.	The lover would moon about, brooding until he or she had managed to explain away this setback and renew the quest.	0.258947
Ústredným podnetom impulzívneho konania je nepriazeň osudu a sociálne bariéry. ~~~ Tieto faktory môžu posilniť romantickú vášeň a žiadostivosť. Ide o fenomén, ktorý som nazvala frustrácia z príťažlivosti.	Key incendiaries are adversity and social barriers; these heighten romantic passion and craving—a phenomenon I christened frustration attraction.”	-0.0339623
Základným spúšťačom úzkosti a extázy je nikdy nekončiaci sa strach.	And underlying all of this angst and ecstasy is unmitigated fear.	0.283929
28-ročný vodič kamiónu popísal podobné pocity ako väčšina respondentov: Skoro som vyskočil z kože, povedal.	A 28-year-old truck driver summed up what most informants felt: I’d be jumpy out of my head,” he said.	0.268235
Bolo to niečo ako tréma, akoby som kráčal na pódium pred dav ľudí.	It was like what you might call stage fright, like going up in front of an audience.	0.223636
Pri stlačení zvončeka sa mi triasli ruky.	My hand would be shaking when I rang the doorbell.	0.25
Keď som jej volal, pulz v spánkoch bol tak silný, že som nepočul ani vyzváňací tón.	When I called her on the phone, I felt like I could hear the pulse in my temple louder than the ringing of the phone.”	0.186957
Zvýšené množstvo energie (tzv. hypománia) je taktiež jedným z hlavných ukazovateľov romantickej lásky.	Intense energy (hypomania) is another central trait of romantic love.	0.152459
Pobláznený milenec sa chveje, bledne, zažíva návaly horúčavy, celkovú slabosť, zdrvujúci pocit trápnosti, koktanie a pociťuje reakcie, ktoré sú podmienené sympatickým nervovým systémom vrátane potenia, tzv. motýlikov v žalúdku, búšenia srdca, porúch prijímania potravy alebo problémov so zaspávaním.	Smitten lovers report trembling, pallor, flushing, a general weakness, overwhelming sensations of awkwardness and stammering, as well as one or more sympathetic nervous system reactions, including sweating, butterflies in the stomach, a pounding heart, and difficulty eating or sleeping.	0.361323
Niektorí ľudia majú dokonca pocit, že prišli o väčšinu základných schopností a zručností.	Some even feel a loss of their most basic faculties and skills.	0.38926
Francúzsky románopisec 19. storočia Stendhal tento pocit dokonale opísal.	Stendhal, the 19th-century French novelist, described this feeling perfectly.	0.281818
Spomenul si na popoludnie, kedy sa prechádzal so svojou milou a napísal: Vždy, keď som podal Léonore ruku, mal som pocit, že spadnem a musel som premýšľať, ako správne chodiť.	Recalling the afternoons, he went strolling with his sweetheart, he wrote, Whenever I gave my arm to Léonore, I always felt I was about to fall, and I had to think how to walk.	0.29375
Ďalšími ústrednými pocitmi romantickej vášne sú plachosť, dychtivé očakávanie, strach z odmietnutia, túžba po reciprocite a intenzívna motivácia získať si výnimočného človeka.	Shyness, anticipation, fear of rejection, longing for reciprocity, and intense motivation to win this special person are other central sensations of romantic passion.	0.27931
Milenci môžu byť často žiarliví, v snahe ochrániť začínajúce partnerstvo.	Lovers can also become easily jealous.	0.0264706
Niektorí zachádzajú do extrémov, čo je medzi zvieracími behavioristami známe ako ochrana partnera.	Some even go to extremes to protect the budding partnership, known to animal behaviorists as mate guarding.	0.282759
Ľudia, ktorých Tennovová pozorovala, zažívali predovšetkým pocit bezmocnosti a dojem, že ich posadnutosť bola iracionálna, mimovoľná, neplánovaná, nekontrolovateľná.	Above all, Tennov’s participants expressed the feeling of helplessness, the sense that this obsession was irrational, involuntary, unplanned, uncontrollable.	0.280714
Ja si skôr myslím, že náklonnosť k Emily je pudovou záležitosťou. ~~~ Ide o inštinktívne konanie, ktoré nie je ovládané voľou alebo logickosťou.	As a business executive in his early 50s wrote about an office crush, I am advancing toward the thesis that this attraction for Emily is a kind of biological, instinct-like action that is not under voluntary or logical.	-0.075
To mi udáva smer.	It directs me.	0.253846
Snažím sa tomu odolať, nenechať sa ovplyvňovať a využiť to napr. pri sexe, poprieť to, užiť si to a áno dofrasa, prinútiť ju reagovať!	I try desperately to argue with it, to limit its influence, to channel it (into sex, for example), to deny it, to enjoy it, and, yes, dammit, to make her respond!	0.48375
Aj keď viem, že Emily a ja nemáme absolútne žiadnu šancu na spoločný život, som posadnutý myšlienkou na ňu, uviedol 50-ročný obchodný manažér na tému kancelárske aféry.	Even though I know that Emily and I have absolutely no chance of making a life together, the thought of her is an obsession.	0.419412
Zdá sa, že romantická láska je súborom intenzívnych emócií, ktoré pripomínajú jazdu na horskej dráhe (zhora nadol) a pohyb kyvadla, pričom sa tieto emócie prejavia iba u jedného človeka a jeho rozmary vás môžu dohnať k zničeniu všetkého okolo vás vrátane pracovných príležitostí, vašej rodiny a vzťahu s vašimi priateľmi.	”Romantic love, it seems, is a panoply of intense emotions, rollercoastering from high to low, hinged to the pendulum of a single being whose whims command you to the detriment of everything around you—including work, family, and friends.	0.348401
Táto mimovoľná spleť myšlienok, pocitov a motivácie iba čiastočne súvisí so sexom.	And this involuntary mosaic of thoughts, feelings, and motivations is only partially related to sex.	0.2375
Tennovovej šialene zamilovaní respondenti túžia mať s milovanou osobou sex.	Tennov’s infatuated lovers yearned to have sex with their beloved.	0.253448
Ale ich žiadostivosť zatieňuje oveľa hlbšia túžba.	But their lust was overshadowed by a far deeper craving.	0.28
Chceli by svojim milovaným zavolať, napísať, pozvať ich von, ale predovšetkým opätovať ich vášeň.	They wanted their beloved to call, write, invite them out, and, above all, reciprocate their passion.	0.292941
Sexuálnu túžbu prekonáva emocionálna väzba medzi šialene zamilovanými mužmi a ženami.	For infatuated men and women, emotional union trumps sexual desire.	0.213559
V skutočnosti 95 percent žien a 91 percent mužov, ktorých Tennovová pozorovala negovalo výrok: Najlepšie na láske je sex.	In fact, 95 percent of Tennov’s female informants and 91 percent of her male subjects rejected the statement The best thing about love is sex.”	2.35385
Tieto pocity sa môžu objaviť v každom veku.	Moreover, these feelings can erupt at any age.	0.275676
Zistila som to, keď som zostavila môj vlastný dotazník na tému romantická láska a zozbierala údaje od 437 Američanov a 402 Japoncov.	I discovered this when I designed my own questionnaire on romantic love and collected data on 437 Americans and 402 Japanese.	1.91938
Ľudia starší ako 45 rokov a osoby mladšie ako 25 rokov nepreukázali žiadne významné štatistické rozdiely v 82 percentách otázok.	People over age 45 and those under 25 showed no significant statistical differences on 82 percent of the queries.	2.20625
Intenzívne pocity romantickej lásky sa zvyčajne vyskytujú v puberte.	Intense feelings of romantic love generally first occur around puberty.	0.290164
Ale aj malé deti môžu zažiť pocit zaľúbenia alebo detskú lásku.	But even young children can experience a crush” or puppy love.	0.29434
Najmladší zaľúbený človek, ktorého som stretla bol 2 a pol ročný chlapec.	The youngest love-struck person I ever met was a 2-and-a-half-year-old boy.	0.535714
Vždy, keď malé dievčatko prišlo do jeho domu na akože rande, sedel vedľa nej a hladkal ju po vlasoch. ~~~ Po jej odchode mal asi dvojhodinové depresie.	Every time a particular little girl came to his home for a playdate, he just sat beside her and stroked her hair; after she departed, he became depressed for about two hours.	-0.0228
Ona bola jedinečná a on bol (ňou) posadnutý.	She was special; he was obsessed.	0.206897
Láska zraňuje:	LOVE HURTS:	0.218182
Ilustrácia zo Stendhalovho románu Červený a čierny (z fran. originálu Le Rouge et le Noir), ktorá opisuje milostný trojuholník z roku 1830 počas Francúzskej revolúcie.	An illustration from Stendhal’s novel Le Rouge et le Noir, which features a love triangle set during the 1830 French Revolution.	2.38549
Hlavná postava románu - Julien Sorel - bol popravený gilotínou.	Its protagonist, Julien Sorel, is guillotined.	0.635714
Z časopisu Culture club	Culture Club	1.075
V roku 1996 som pracovala na projekte, ktorého cieľom bolo zistiť, čo sa deje v mozgu, keď sa človek bezpodmienečne a šialene zamiluje.	In 1996, I embarked on a project to establish what happens in the brain when you fall deeply, madly in love.	0.352094
Najskôr som naplánovala experiment.	First, I planned the experiment.	0.858621
Zozbierala som údaje o aktivite mozgu (pomocou funkčnej magnetickej rezonancie alebo fMRI) počas toho, ako šialene zamilovaní respondenti plnili dve samostatné úlohy: pozerali by sa na fotografiu milovanej osoby a sledovali by fotografiu človeka, ktorý by v respondentoch nevyvolal žiadne pozitívne alebo negatívne emócie.	I would collect data on brain activity (using functional magnetic resonance imaging, or fMRI) as love-smitten participants performed two separate tasks: gazing at a photograph of their beloved and looking at a photograph of someone who generated no positive or negative feelings in them.	0.390476
Pri pozeraní sa na fotografiu s milovanou osobou a na neutrálnu fotografiu by respondenti vykonávali činnosť, ktorá by ich rozptyľovala.	Between eyeing the positive and neutral photos, they would perform a distraction task.	0.342286
V tomto prípade by som na obrazovke premietala väčšie číslo (napríklad 6 137) a poprosila respondentov, aby od tohto čísla začali počítať odzadu z pamäti v inkrementoch po sedem (ide o kladné alebo záporné číslo, o ktoré dané číslo zväčšujeme).	In this case, I would cast a large number on the screen (like 6, 137) and ask participants to mentally count backward from this number in increments of seven.	0.328244
Myslela som si, že keď budú vystavení stimulom pripomínajúcim ich milovaných a neutrálnym podnetom, že ich myseľ sa zbaví silných emócií.	This, I hoped, would cleanse the brain of strong emotions between exposure to the beloved and exposure to the neutral stimulus.	0.272222
Potom by som porovnala mozgové aktivity, počas všetkých troch situácií.	Then I would compare the brain activity that occurred under all three conditions.	0.266667
Moja hypotéza?	My hypothesis?	0.3
Domnievala som sa, že nájdem zvýšenú aktivitu v tej časti mozgovej siete, ktorá vytvára dopamín, prírodný stimulant. ~~~ Táto oblasť mozgu generuje energiu, eufóriu, túžbu, sústredenosť a motiváciu, hlavné črty romantickej lásky.	Foremost, I suspected I would find elevated activity in the brain’s networks for dopamine, a natural stimulant—because this brain system generates energy, euphoria, craving, focus, and motivation, some of the core traits of romantic love.	-0.00530303
Taktiež som predpokladala, že vyššie množstvo neurochemického noradrenalínu v mozgu môže prispieť k šialenstvu, pretože daný neurotransmiter má za následok sústredenie sa a motiváciu, ale aj niektoré z telesných prejavov romantickej lásky. ~~~ Ide napríklad o motýliky v žalúdku, roztrasené kolená a sucho v ústach.	I also posited that the closely related neurochemical norepinephrine might contribute to this madness, because this neurotransmitter produces focus and motivation too, as well as some of the bodily responses of romantic love such as butterflies in the stomach, wobbly knees, and a dry mouth.	0.0315433
Myslela som si, že nízka aktivita v oblasti, v ktorej sa vytvára serotonín, môže vytvoriť dotieravé a obsedantné myšlienky spojené s romantickou vášňou.	And I thought low activity in the serotonin system might create the intrusive, obsessive thinking of romantic passion.	0.214706
Nakoniec som čakala, že do hry vstúpi mnoho ďalších neurochemických systémov, ktoré vyvolávajú rozličné emócie, pohnútky, myšlienkové pochody a sú výsledkom poznávacej činnosti a správania typického pre romantickú lásku.	Last, I expected that many other neurochemical systems might be involved—together producing the range of emotions, motivations, cognitions, and behaviors common to romantic love.	0.228846
Ale stavila som hlavne na dopamín.	But my bets were on dopamine.	0.24
Odmietnutí milenci sú stále šialene zamilovaní a lipnú na partnerovi, ktorý ich zavrhol.	These discarded lovers are still madly in love with and deeply attached to their rejecting partner.	0.268831
Trpia fyzicky aj duševne.	They are in physical and mental pain.	0.182609
Potom som s Brownom, psychológom Artom Aronom a s inými zoskenovala mozog ďalším 17-tim milencom. ~~~ Išlo o 10 žien a 7 mužov, ktorí boli šialene a šťastne zamilovaní po dobu v priemere 7,4 mesiaca.	Then, with Brown, psychologist Art Aron, and others, I put 17 new lovers into the brain scanner: 10 women and seven men who had been madly and happily in love for an average of 7.4 months.	-0.0107143
Stála som v tmavom laboratóriu na pôde Lekárskej fakulty Alberta Einsteina.	I was standing in a darkened lab at the Albert Einstein College of Medicine.	0.290625
Bolo to ešte pred tým, ako som rozpoznala aj tie najmenšie zhluky, ktoré vykazovali aktivitu vo ventrálnej tegmentálnej oblasti alebo VTA, teda oblasti mesencefalonu, tiež známeho ako stredný mozog.	Before my eyes were scans showing blobs of activity in the ventral tegmental area, or VTA, a tiny factory near the base of the brain that makes dopamine and sends this natural stimulant to many brain regions.	0.496491
Ide o malú továreň v blízkosti spodnej časti mozgu, ktorá vyrába dopamín a týmto prírodným stimulantom zásobí aj iné oblasti v mozgu.		-0.3
Zároveň sme zaznamenali aktivitu v iných častiach mozgu, ale oblasť VTA bola veľmi dôležitá.	We found activity in many other brain regions, but the VTA was particularly important.	0.475676
Je súčasťou systému odmeny mozgu, mozgovej siete, ktorá generuje pocit nedostatku, chuť hľadať, túžbu, energiu, sústredenie a motiváciu.	This factory is part of the brain’s reward system, the brain network that generates wanting, seeking, craving, energy, focus, and motivation.	0.295
Fičia na prírodnom amfetamíne.	They are high on natural speed.	0.288889
Muži cítia túto vášeň rovnako intenzívne ako ženy.	And men feel this passion just as powerfully as women.	0.286364
V tejto súvislosti Tennovová vzhľadom na viac než 800 respondentov vyhodnotila, že muži aj ženy zažili intenzívnu vášeň v takmer rovnakom percentuálnom pomere.	Tennov wrote of her more than 800 informants that men and women experienced this intense passion in roughly equal proportions.	1.7881
S mojimi kolegami sme tento predpoklad potvrdili.	My colleagues and I have now confirmed this.	0.252632
V našej štúdii zameranej na mladých šťastných milencov s pomocou fMRI muži preukázali rovnakú aktivitu v oblasti VTA a iných nervových dráhach súvisiacich s romantickou vášňou ako ženy.	In our fMRI study of young happy lovers, men showed just as much activity in the VTA and other neural pathways for romantic passion as women did.	0.416786
Navyše pri opakovaní experimentu so skenovaním mozgu v Číne miestni respondenti zaznamenali rovnakú aktivitu vo VTA a v oblasti, v ktorej sa vytvára dopamín. ~~~ V tomto prípade hovoríme o neurochemických dráhach plných potrieb.	Moreover, when my colleagues re-did this brain scanning experiment in China, their Chinese participants showed just as much activity in the VTA and other dopamine pathways—the neurochemical pathways for wanting.	0.00666667
Takmer každý človek na tejto Zemi pociťuje rovnakú vášeň.	Almost everyone on earth feels this passion.	0.215385
Keďže VTA leží v blízkosti primitívnych oblastí mozgu, ktoré sú prepojené s pocitmi hladu a smädu, uvedomila som si, že romantická láska je u ľudí základnou hnacou silou.	In fact, because the VTA lies near primitive brain regions associated with thirst and hunger, I came to realize that romantic love is a basic human drive.	0.479402
Môj kolega Brown, ktorý má na starosti röntgenové snímanie mozgu, pridal zaujímavú myšlienku. ~~~ Romantická láska je podľa neho rovnako dôležitým mechanizmom na prežitie ako uspokojiť smäd.	My brain-scanning partner Brown has added to this perspective, saying that romantic love is a survival mechanism as crucial as the craving for water.	-0.0437008
Táto hnacia sila, tento mechanizmus dôležitý na prežitie, je tiež závislosťou.	This drive, this survival mechanism, is also an addiction.	0.194118
Avšak nie sme jediné bytosti, ktoré zdedili chémiu lásky.	Moreover, we are not the only creatures that have inherited the chemistry of love.	0.18
Keď samica hraboša prérijného začne prejavovať záujem o samca toho istého druhu, v niektorej z častí odmeňovania mozgu sa zvýši hladina dopamínu o 50 percent.	When a female prairie vole begins to express attraction to a male vole, she experiences a 50 percent increase of dopamine activity in parts of this reward system.	1.56701
Zvýšenie dopamínu v mozgu spôsobí, že aj samec ovce bude v očiach samice atraktívnejší.	An increase of dopamine in the brain is also associated with mate attraction in female sheep.	0.284
Nervový mechanizmus súvisiaci s príťažlivosťou sa vyvinul u mnohých druhov vtákov a cicavcov tak, aby jednotlivcom umožnil uprednostniť a zamerať sa na konkrétnych páriacich sa partneroch, čím sa ušetrí drahocenný čas a energia pri dvorení.	Hence, this neural mechanism for attraction must have evolved in many species of birds and mammals—to enable individuals to prefer and focus on specific mating partners, thereby conserving valuable courtship time and energy.	0.278238
U väčšiny druhov však príťažlivosť trvá krátko a môže ísť o minúty, hodiny, dni alebo týždne.	In most species, however, this attraction is brief, lasting only minutes, hours, days, or weeks.	0.28481
Intenzívna romantická láska v ranom štádiu môže u ľudí trvať oveľa dlhšie.	In humans, intense, early-stage romantic love can last much longer.	0.274576
Táto skúsenosť je vždy iná.	There is always variation in this experience, however.	0
Základná činnosť dopamínu (ako aj noradrenalínu a serotonínu) sa u každého líši. Teoreticky môžu zmeniť priebeh zamilovania a pretrvávania vo vzťahu.	Baseline activities of dopamine (as well as norepinephrine and serotonin) vary from one person to the next—potentially altering one’s proclivity to fall in love and stay in love.	0.249231
Ľúbostný pomer však môžu ovplyvniť aj iné mozgové systémy.	But other brain systems can also affect romance.	0.235714
Napríklad ľudia, ktorí tvrdia, že nikdy necítili romantickú lásku trpia hypopituitarizmom, zriedkavým ochorením, pri ktorom zlyhanie hypofýzy spôsobuje hormonálne problémy a tzv. neschopnosť vidieť lásku. ~~~ Títo muži a ženy vedú normálny život.	For example, some of those who report they have never felt romantic love suffer from hypopituitarism, a rare disease in which the pituitary malfunctions, causing hormonal problems and love blindness.	0.0489204
Niektorí z nich sa vzali len kvôli tomu, aby im niekto robil spoločnosť, zvláštne však je, že zlomené srdce je pre nich ako záhada z mytológie.	These men and women lead normal lives; some marry for companionship; but that rapture, that heartache, is mythology to them.	0.263208
Schizofrénia, Parkinsonova choroba a ďalšie ochorenia taktiež dokážu zmeniť činnosť dopamínu.	Moreover, schizophrenia, Parkinson’s disease, and other ailments alter dopamine pathways.	0.288889
Tak ako každá závislosť, aj romantická láska môže spôsobiť zmätok v našich životoch, najmä keď máme za sebou rozchod.	Like any addiction, romantic love can cause havoc in our lives—particularly when we’ve been dumped.	0.251163
Aby sme sa dozvedeli viac o nervových systémoch, ktorých aktivácia súvisí s odmietnutím, spolu s mojimi kolegami sme použili fMRI a pozorovali sme 10 žien a 5 mužov, ktorí nedávno zažili rozchod.	To learn more about the neural systems associated with rejection in love, my colleagues and I used fMRI to study 10 women and five men who had recently been dumped.	0.429578
Priemerná doba od prvotného odmietnutia bola 63 dní.	The average length of time since the initial rejection was 63 days.	3.89493
Všetci respondenti dosiahli v teste, ktorý sa zaoberal intenzitou vášnivej lásky, vysoké skóre. ~~~ Išlo o (subjektívne) zodpovedaný dotazník, ktorý meria intenzitu romantických pocitov.	All participants scored high on the Passionate Love Scale, a self-report questionnaire that measures the intensity of romantic feelings.	-0.0554622
Všetci povedali, že strávili viac ako 85 percent bdenia premýšľaním o osobe, ktorá ich odmietla.	All said that they spent more than 85 percent of their waking hours thinking of the person who rejected them.	2.52108
A všetci túžili po tom, aby sa partner, ktorý ich opustil, vrátil.	And all yearned for their abandoning partner to return.	0.25
Výsledky boli ohromujúce.	The results were stunning.	0.3
K aktivácii mozgu došlo v niekoľkých oblastiach systému odmeňovania mozgu.	Brain activations occurred in several regions of the reward system.	0.264407
Aktívne boli oblasti VTA spojené s pocitmi intenzívnej romantickej lásky, ventrálne pallidum spojené s pocitmi silnej náklonnosti, insulárny kortex a predná cingulárna kôra, s ktorými sa spája bolesť, úzkosť a utrpenie prepojené s fyzickou bolesťou a nucleus accumbens a orbitofrontálny/prefrontálny kortex, teda mozgové oblasti, ktoré vyhodnocujú, čo človek získal a stratil, rovnako ako jeho túžby a závislosti.	Included were regions of the VTA associated with feelings of intense romantic love; the ventral pallidum, associated with feelings of deep attachment; the insular cortex and the anterior cingulate, associated with physical pain, anxiety, and the distress associated with physical pain; and the nucleus accumbens and orbitofrontal/prefrontal cortex, brain regions associated with assessing one’s gains and losses—as well as craving and addiction.	0.432547
Najdôležitejšia pre našu štúdiu bola korelácia oblastí mozgu, ktoré analyzujú túžbu u drogovo závislých na kokaíne a iných drogách.	Most relevant to our story, activity in several of these brain regions has been correlated with the craving of cocaine addicts and other drugs.	0.281579
Stručne povedané, podľa našich údajov zo skenovania mozgu, sú títo odmietnutí milenci stále šialene zamilovaní a lipnú na partnerovi, ktorý ich zavrhol.	In short, as our brain scanning data show, these discarded lovers are still madly in love with and deeply attached to their rejecting partner.	0.27
Rovnako ako myš, ktorá posadnuto behá v koliesku (pre hlodavce), aj oni sú posadnutí premýšľaním nad tým, čo stratili.	Like a mouse on a treadmill, they are obsessively ruminating on what they’ve lost.	0.167143
Zamilovaný človek túži po stretnutí s milujúcou osobou, ktorá ho zavrhla, alebo skôr so svojou závislosťou.	And they are craving reunion with their rejecting beloved—addiction.	0.142623
Len málo z nás nespozná lásku.	Few of us get out of love alive.	0.3
V jednej americkej univerzitnej komunite 93 percent mužov aj žien uviedlo, že ich odvrhol niekto, koho vášnivo milovali a 95 percent uviedlo, že odmietli niekoho, kto sa do nich skutočne zamiloval.	In one American college community, 93 percent of both sexes reported that they had been spurned by someone they passionately loved, while 95 percent reported that they had rejected someone who was deeply in love with them.	1.57857
A to môže byť iba jedno zo sklamaní.	And this can be just the first disappointment.	0.2
Mnohí môžu dostať kopačky počas života aj viackrát.	Many may get dumped again in later life.	0.202941
Na trajektórii opúšťania sa a zotavovania sa existuje určitý vzorec.	There is a pattern to this trajectory of abandonment and recovery.	0.556938
Počas prvej fázy, tzv. protestnej, opustený milenec neoblomne pracuje na tom, aby znovu získal náklonnosť partnera, ktorý ho opustil.	During the first stage, the protest phase, the deserted lover works obsessively to regain the abandoning partner’s affection.	0.280734
