Rytmus a prejav	Rhythm and expression	0.171429
Inštruktor mu síce môže udať dôvod a ukázať ako na to, ale keď dôjde k samotnému úkonu, všetko závisí len od sebakontroly študenta a jeho umeleckého potenciálu.	The instructor can give reasons for, can show how; but, when it comes to the act itself, the results will depend upon the student’s advancement in control and artistic integrity and his potentialities as an artist.	0.2
Keď sa telo hýbe na základe svojich štruktúrnych princípov, hýbe sa ako všetky telá a naznačuje rovnakú formu.	It is best, as well as inevitable, that such should be the case; for, when the body moves according its structural principles, it moves like all other bodies and suggests the same forms.	0.105319
Na druhej strane, telo sa môže riadiť príkazmi individuálneho intelektu a citu, čo smeruje k tomu, že sa stane jedinečným ľudským prejavom.	But, when movement is submitted to the dictates of an individual intellect and emotion, it ceases to be mechanically determined and becomes a manifestation of a unique and individual being.	0.324552
Jednoducho povedané, každý dedí rovnaké základné vlastnosti.	Everyone inherits, basically, the same fundamental and primary nature.	0.256364
Pomocou základného všeobecného vzdelania ich môžeme prirovnať k lietadlu, v ktorom sa prevádzkujú inštinktívne impulzy a môžeme ich chápať ako silné motivácie aktu.	Through a fundamental and universal education this primary nature will be understood as the plane where instinctive impulses operate, and where impulses will be understood as powerful motives to action.	0.359965
Nakoniec budú tieto sily slúžiť vôli a túžbam mysle poháňanej myšlienkami. ~~~ Študent môže spojiť všetky svoje sily, aby mal vplyv na jeho život.	And, finally, these forces will be trained to serve the will and desires of an intellect impelled by ideas so that the individual student can bring all his powers to bear upon the life of his choosing.	-0.052439
Samozrejme, môžeme tancovať alebo vyučovať tanec bez znalostí týkajúcich sa vzniku, riadiaceho naše reakcie.	Of course, we can dance or teach dancing without knowledge concerning the setup that governs our responses.	0.286957
Efektívne pohybové techniky nás môžu pomocou určitých pravidiel a imitácií naučiť ako sa správne pohybovať. ~~~ Keďže je pohyb pre ľudí prirodzený, radi sa učia nové pohyby.	Very effective techniques of movement can be learned by prescription and imitation, and, because of the innate pleasure in obeying the impulse to move, such learned to movement may well be pleasurable and satisfying.	-0.0377551
Môžeme povedať, že im to je príjemné a uspokojuje ich to. ~~~ Ak sú pravidlá a imitácie na seba príliš naviazané, môžu spôsobiť stratu iniciatívy, čo znamená, že tanec vyzerá príliš mechanicky a pôsobí skôr chaoticky ako usporiadane.	But, if imitation and prescription are too much relied upon, they are likely to cause the student lose initiative and to become too mechanical, disarranging his individual adjustment rather than correcting it.	-0.0142458
Napodobňovanie zriedkakedy dosiahne rovnaký výsledok ako vnútorná kreatívna aktivita.	Imitative activity very seldom gets the same results as inner creative activity.	0.265714
Ak sa imitácia použije ako motor vnútornej aktivity, môže nám pomôcť a povzbudiť tvorenie nových skúseností. ~~~ V inom prípade sa podstata toho, čo sa má napodobňovať, stratí.	However, if imitation is used so as to start the inner activity of changes, it can be helpful and stimulating to new experiences — otherwise the essences of what is being imitated are missed.	-0.0100671
Uvedomelá imitácia, ako napr. slepé kopírovane, je neosobná a umelá.	Conscious imitation as blind copying, however, is usually stilted and artificial.	0.24
Študent by sa mal vedieť učiť sám.	A student should be taught to teach himself.	0.206897
Mal by byť schopný pomocou jeho vlastnej snahy aplikovať, prispôsobiť a uvažovať nad tým, či je pre neho prospešné to, čo sa naučil.	It is only as he is able, through his own effort to apply, to assimilate, and to ponder what he has learned that he is truly benefited.	0.297273
Ak sa chceme dokonale a presvedčivo vyjadrovať pohybom, naša kreatívna myseľ musí mať povolenie na organizovanie a zabezpečenie materiálov so špecifickou štruktúrou a individualitou.	To attain genuine and convincing expression the creative mind needs to be permitted to organize and endow its materials with a specific structure and individuality.	0.379574
Na to, aby sme si vážili pôvod a povahu tanca, aby sme rozumeli fungovaniu jeho psycho-fyzicko-anatomického nástroja, a aby sme boli presvedčení o jeho potenciáloch pre citové obohatenie a smer, musíme poznať základnú pravdu a trvalé hodnoty tanca.	To appreciate the origin and nature of dance, to understand the workings of its psychophysical-anatomical instrument, and to be convinced of its potentialities for emotional enrichment and self-direction, is to know the fundamental truth and enduring values of dance.	0.274528
Stratili ste sa, pane? spýtal sa ma asi po minúte.	You lost, mister? he asks, after a minute or so has passed.	0.25
Deň je ešte iba v polovici, času dosť. ~~~ Netreba sa ponáhľať.	It is only the middle of the day and there is no need to hurry.	-0.006
Pri tejto otázke chlapci pobavene zamumlali a aj ja som cítil nutkanie doširoka sa usmiať, no náhle sa mi v hrdle objavila hrča, ťažko sa mi prehĺtalo.	The others mutter their amusement at his question and I, for my part, feel obliged to break open a smile, but suddenly I have a lump in my throat that makes it difficult to swallow.	0.354762
Pokrútil som hlavou.	I shake my head.	0.192857
Nie, chlapče.	No, boy.	0.1125
Nestratil.	I’m not lost.	0.272727
Nikto sa nemôže stratiť na takomto malom ostrove.	No one can get lost on an island of this size.	0.251351
Vidíš tu do všetkých strán.	Out here you can see every direction coming.	0.125
Na skutočné stratenie treba mesto.	For real lost, you’d want to try a city.	0.280645
Dublin nie je zlý, Londýn je lepší.	Dublin isn’t bad, London is better still.	0.615
Najlepší je New York.	Best of all is New York.	1.48421
Boli ste v New Yorku? opýtal sa ma jeden z chlapcov pochybovačne znejúcim hlasom, z ktorého bolo jasné, že chlapec vie o oceáne všetko čo treba, dokonca aj v takom mladom veku.	You’ve been to New York? ” asks one of the other boys, in a small husk of a voice that pokes up out of the pack and which knows all there is to know about the ocean, even at such a tender age.	0.380635
Chlapci na ostrovoch majú tvrdú výchovu.	Boys grow up hard on islands.	0.168
Áno, bol, vravím, a ver mi, nie je taký, ako vypadá.	I have,” I say, and believe me, it’s not all it’s cracked up to be.	0.223256
Prvý chlapec nohou potočil loptu a vykopol ju do vzduchu.	The lead boy rolls his foot off the ball, drawing it up into the air.	0.257143
Predvádzal mi svoje triky, ktoré fungovali ako pomalé no ohromujúce kúzlo, dokonca aj v dlhej tráve.	He shows me his tricks, which play out as a slow but stately magic, even in the long grass.	0.251351
Z nejakého dôvodu sa na mňa snažil zapôsobiť.	Needing, for some reason, to impress me.	0.265714
Jeho kontrola nad loptou nebola dokonalá, ale jeho sebavedomé správanie ju viac než nahrádzalo. Keď lopta opustila svoju neviditeľnú dráhu, zatváril sa, ako keby práve prehral majstrovstvá sveta.	His control is not perfect but his put-on swagger of confidence more than makes up for that fact, and when the ball slips loose of its invisible leash he shapes his face so as to pass the mistake off as intentional.	0.287574
Nepokúšal sa ju zachytiť ani len pohľadom.	It spins away but he doesn’t chase it, not even with his eyes.	0.186486
Treba vám ukázať cestu?	You need directions to somewhere?	0.171429
Vek je taká abstraktná vec.	Age is such a conceptual thing.	0.2625
Osemročné ústa dokážu vysloviť prastaré slová s rovnakou ľahkosťou, s akou žujú žuvačku.	Eight-year-old mouths can shape ancient expressions just as easily as they can chew gum.	0.296053
Ešte dlho potrvá, kým z chlapcov vyrastú muži, kým budú hovoriť a robiť veci, ktoré prislúchajú mužom.	Boys long to be men, to say and do the things that men can say and do.	0.125455
A zatiaľ muži mrhajú roky života snívaním o detinských veciach.	Men, meanwhile, waste years of life on dreams of childish things.	0.294545
Znovu som pokrútil hlavou a zamyslel sa nad tým, či vie, kto som, či vycítil puto, ktoré nás kedysi tak pevne spojilo.	I shake my head again, and wonder if he knows who I am, if he has at all sensed a suggestion of the bond that once bound us so fast.	0.412067
To je jedno.	No matter.	0.27
Ja ho poznám, aj keď on nepozná mňa.	I recognise him even if he fails to recognise me.	0.19
Náhle cítim potrebu vysloviť jeho meno, cítiť, ako vychádza z mojich úst.	I suddenly long to use his name, to feel it from my own mouth.	0.222
Jack!	Jack.	0.3
Kričať z celého hrdla, nech to počuje celý ostrov a nech súdi.	Spoken as a brazen sigh, put out for the whole island to hear and contemplate.	0.686538
Slovo povedané do vetra, odhalenie.	A word for the wind, and an acknowledgement of sorts.	0.178125
Či akési priznanie.	Or an admission.	0.24
