Posledná noc	The Last Night	0.275
Sledovala som, ako sa naklonila dnu a vypla motor. Vytiahla kľúče a strčila ich do vrecka na kabáte.	I watched her lean into her car and shut it off, pull the keys out and put them in the pocket of her coat.	0.3
Keď sa mi znova otočila tvárou v tvár, rozpačito som sa usmiala. ~~~ Takým hm, tadiaľto úsmevom.	When she turned to face me again I smiled a sort of awkward, ok right this way, kind of smile, and turned to walk to the apartment.	-0.04875
Potom som sa otočila a šla naspäť k bytu.	She followed me hesitantly and I heard her take in a deep breath.	0.423529
Neisto ale predsa ma nasledovala a ja som začula jej hlboký nádych.	The cold air must have stung her lungs because she started coughing.	0.294737
Ľadový vzduch ju musel páliť až v pľúcach, pretože sa rozkašľala.	You ok? I said, turning to look at her over my shoulder as I opened the door and walked in.	0.208929
Ste v poriadku? spýtala som sa a obzrela sa za ňou cez plece, keď som otvorila dvere a vošla dnu.	She just nodded, and I saw her eyebrows start to go higher, and her lips start to pull into her mouth.	0.28481
Prikývla a ja som si všimla, ako dvíha obočie a sťahuje pery.	I wasn't sure if this was such a great idea after all.	0.483042
Nebola som si istá, či bol môj návrh po tom všetkom až taký skvelý.	What was I supposed to do with some strange sobbing woman?	0.263265
Čo som mala robiť s cudzou vzlykajúcou ženou?		-0.3
Spomenula som si, že pre ňu nemám ani miesto na sedenie a v tej chvíli vyzeral môj nápad ešte horšie.	I remembered that I didn't have anywhere for her to sit, and it felt like an even worse idea.	0.272368
Keď sme vchádzali do bytu, zhlboka som sa nadýchla ľadového vzduchu.	I took in a deep breath of the frozen air as we walked into the apartment.	0.294915
Bola mojím prvým hosťom a ja som sa odrazu cítila trochu nesvoja kvôli mojej domácnosti.	She was my first guest and I was suddenly a little self conscious about my housekeeping.	0.483446
Do dlaní som vzala studené premočené čajové vrecúška, vyhodila ich do smetí a odpratala niekoľko vecí, aby som nevyzerala ako lajdáčka.	I scooped up the cold soggy tea bags from the counter and threw them in the trash, and moved a few things aroundso I didn't look like a slob.	0.4311
Dáte si čaj?	Do you want some tea?	0.109091
Alebo horúcu čokoládu?	Or hot chocolate maybe?	0.3
Kávovar nemám.	I don't have a coffee maker.	0.0857143
Schmatla som dva hrnčeky skôr, ako stihla otvoriť ústa. ~~~ Znovu som naplnila hrniec, ktorý bol na sporáku a dala som variť vodu.	I grabbed two mugs before she could answer, refilled the pot that was on the stove, and started it to boil.	-0.0340909
Nepovedala nič a keď som sa obzrela, videla som ju stáť tam, kde bola jej obývačka. ~~~ Dívala sa po byte ako Alica, keď sa ocitla v krajine zázrakov.	She didn't say anything, and I looked behind me to see her standing in what I guess had been her living room, looking around the apartment like Dorothy when she came out of her little spinning cabin.	-0.0516393
Ja by som si dala horúcu čokoládu, skonštatovala som v snahe vytrhnúť ju z myšlienok.	I think I feel like some hot chocolate, I said, trying to break her from her daze.	0.277612
Vyvalila na mňa oči akoby zabudla, kde je.	She stared at me as if she had forgotten where she was.	0.225
Iste, vysúkala zo seba napokon.	Sure, she said finally.	0.2
Kým sa voda uvarila, pokúsila som sa o menší rozhovor, prevažne sama so sebou.	I attempted small talk, mostly to myself, while the water boiled.	0.246429
