Medzi extázou a vytriezvením vám bude váš milenec pripomínať narkomana.	From ecstasy to withdrawal, the lover resembles an addict.	0.229412
Intenzívna romantická láska v ranom štádiu môže u ľudí trvať oveľa dlhšie.	In humans, intense, early-stage romantic love can last much longer.	0.274576
Táto skúsenosť je vždy iná.	There is always variation in this experience, however.	0
Základná činnosť dopamínu (ako aj noradrenalínu a serotonínu) sa u každého líši. Teoreticky môžu zmeniť priebeh zamilovania a pretrvávania vo vzťahu.	Baseline activities of dopamine (as well as norepinephrine and serotonin) vary from one person to the next—potentially altering one’s proclivity to fall in love and stay in love.	0.249231
Ľúbostný pomer však môžu ovplyvniť aj iné mozgové systémy.	But other brain systems can also affect romance.	0.235714
Napríklad ľudia, ktorí tvrdia, že nikdy necítili romantickú lásku trpia hypopituitarizmom, zriedkavým ochorením, pri ktorom zlyhanie hypofýzy spôsobuje hormonálne problémy a tzv. neschopnosť vidieť lásku. ~~~ Títo muži a ženy vedú normálny život.	For example, some of those who report they have never felt romantic love suffer from hypopituitarism, a rare disease in which the pituitary malfunctions, causing hormonal problems and love blindness.	0.0489204
Niektorí z nich sa vzali len kvôli tomu, aby im niekto robil spoločnosť, zvláštne však je, že zlomené srdce je pre nich ako záhada z mytológie.	These men and women lead normal lives; some marry for companionship; but that rapture, that heartache, is mythology to them.	0.263208
Schizofrénia, Parkinsonova choroba a ďalšie ochorenia taktiež dokážu zmeniť činnosť dopamínu.	Moreover, schizophrenia, Parkinson’s disease, and other ailments alter dopamine pathways.	0.288889
Tak ako každá závislosť, aj romantická láska môže spôsobiť zmätok v našich životoch, najmä keď máme za sebou rozchod.	Like any addiction, romantic love can cause havoc in our lives—particularly when we’ve been dumped.	0.251163
Aby sme sa dozvedeli viac o nervových systémoch, ktorých aktivácia súvisí s odmietnutím, spolu s mojimi kolegami sme použili fMRI a pozorovali sme 10 žien a 5 mužov, ktorí nedávno zažili rozchod.	To learn more about the neural systems associated with rejection in love, my colleagues and I used fMRI to study 10 women and five men who had recently been dumped.	0.429578
Priemerná doba od prvotného odmietnutia bola 63 dní.	The average length of time since the initial rejection was 63 days.	3.89493
Všetci respondenti dosiahli v teste, ktorý sa zaoberal intenzitou vášnivej lásky, vysoké skóre. ~~~ Išlo o (subjektívne) zodpovedaný dotazník, ktorý meria intenzitu romantických pocitov.	All participants scored high on the Passionate Love Scale, a self-report questionnaire that measures the intensity of romantic feelings.	-0.0554622
Všetci povedali, že strávili viac ako 85 percent bdenia premýšľaním o osobe, ktorá ich odmietla.	All said that they spent more than 85 percent of their waking hours thinking of the person who rejected them.	2.52108
A všetci túžili po tom, aby sa partner, ktorý ich opustil, vrátil.	And all yearned for their abandoning partner to return.	0.25
Výsledky boli ohromujúce.	The results were stunning.	0.3
K aktivácii mozgu došlo v niekoľkých oblastiach systému odmeňovania mozgu.	Brain activations occurred in several regions of the reward system.	0.264407
Aktívne boli oblasti VTA spojené s pocitmi intenzívnej romantickej lásky, ventrálne pallidum spojené s pocitmi silnej náklonnosti, insulárny kortex a predná cingulárna kôra, s ktorými sa spája bolesť, úzkosť a utrpenie prepojené s fyzickou bolesťou a nucleus accumbens a orbitofrontálny/prefrontálny kortex, teda mozgové oblasti, ktoré vyhodnocujú, čo človek získal a stratil, rovnako ako jeho túžby a závislosti.	Included were regions of the VTA associated with feelings of intense romantic love; the ventral pallidum, associated with feelings of deep attachment; the insular cortex and the anterior cingulate, associated with physical pain, anxiety, and the distress associated with physical pain; and the nucleus accumbens and orbitofrontal/prefrontal cortex, brain regions associated with assessing one’s gains and losses—as well as craving and addiction.	0.432547
Najdôležitejšia pre našu štúdiu bola korelácia oblastí mozgu, ktoré analyzujú túžbu u drogovo závislých na kokaíne a iných drogách.	Most relevant to our story, activity in several of these brain regions has been correlated with the craving of cocaine addicts and other drugs.	0.281579
Stručne povedané, podľa našich údajov zo skenovania mozgu, sú títo odmietnutí milenci stále šialene zamilovaní a lipnú na partnerovi, ktorý ich zavrhol.	In short, as our brain scanning data show, these discarded lovers are still madly in love with and deeply attached to their rejecting partner.	0.27
Rovnako ako myš, ktorá posadnuto behá v koliesku (pre hlodavce), aj oni sú posadnutí premýšľaním nad tým, čo stratili.	Like a mouse on a treadmill, they are obsessively ruminating on what they’ve lost.	0.167143
Zamilovaný človek túži po stretnutí s milujúcou osobou, ktorá ho zavrhla, alebo skôr so svojou závislosťou.	And they are craving reunion with their rejecting beloved—addiction.	0.142623
Len málo z nás nespozná lásku.	Few of us get out of love alive.	0.3
V jednej americkej univerzitnej komunite 93 percent mužov aj žien uviedlo, že ich odvrhol niekto, koho vášnivo milovali a 95 percent uviedlo, že odmietli niekoho, kto sa do nich skutočne zamiloval.	In one American college community, 93 percent of both sexes reported that they had been spurned by someone they passionately loved, while 95 percent reported that they had rejected someone who was deeply in love with them.	1.57857
A to môže byť iba jedno zo sklamaní.	And this can be just the first disappointment.	0.2
Mnohí môžu dostať kopačky počas života aj viackrát.	Many may get dumped again in later life.	0.202941
Na trajektórii opúšťania sa a zotavovania sa existuje určitý vzorec.	There is a pattern to this trajectory of abandonment and recovery.	0.556938
Počas prvej fázy, tzv. protestnej, opustený milenec neoblomne pracuje na tom, aby znovu získal náklonnosť partnera, ktorý ho opustil.	During the first stage, the protest phase, the deserted lover works obsessively to regain the abandoning partner’s affection.	0.280734
Po prepuknutí rezignácie, respektíve zúfalstva, sa milenec vzdáva nádeje a skĺza do depresie.	As resignation/despair sets in, the lover gives up hope and slips into depression.	0.253521
Obidva prípady sú spojené so systémom dopamínu v mozgu.	Both are linked with the dopamine system in the brain.	0.286957
Mám podozrenie, že oba prípady boli hlboko zakorenené do mysle hominínov skôr, ako sa Lucy zamilovala a možno aj stratila milovanú osobu.	And I suspect that both were deeply embedded in the hominin mind by the time Lucy was loving, perhaps even losing a beloved, long ago.	0.544653
Keď milenci narazia vo svojich romantických pocitoch na prekážku, ich vášeň sa zintenzívni a nastane to, čo nazývam frustrácia z príťažlivosti.	When lovers encounter barriers to their romantic feelings, their passion intensifies—what I call frustration-attraction.	0.255556
Nepriazeň osudu posilňuje pocity romantickej lásky.	Adversity heightens feelings of romantic love.	0.264286
Tento jav je zakorenený v mozgu.	This phenomenon is rooted in the brain.	0.235714
Ak sa odmena oneskorí, neuróny dopamínového systému v mozgu pokračujú vo svojej činnosti a udržiavajú pocity intenzívnej romantickej lásky.	When a reward is delayed in coming, neurons of the brain’s dopamine system continue their activity—sustaining one’s feelings of intense romantic love.	0.430328
Vtedy za začína závislosť.	Addiction has set in.	0.221053
Aj keď romantická láska nie je zdraviu škodlivá, je spojená s intenzívnou túžbou a úzkosťou.	Even when romantic love isn’t harmful, it is associated with intense craving and anxiety.	0.292208
Stres zvyšuje množstvo dopamínu v tele.	Stress elevates this dopamine response.	0.291429
Keď cicavce po prvýkrát zažijú prudké zvýšenie stresu, ich telo na to reaguje zvýšenou aktivitou centrálneho dopamínu a norepinefrínu a nasleduje potlačenie centrálneho serotonínu, známeho ako odpoveď na stresovú situáciu.	When mammals first experience severe stress, among their bodily reactions is an increase in the activity of central dopamine and norepinephrine and a suppression of central serotonin, known as the stress response.	0.378741
Odmietnutí milenci môžu tiež trpieť frustračnou agresiou, čo psychológovia nazývajú hnev v dôsledku opúšťania sa.	Rejected lovers can also suffer from frustration-aggression, what psychologists call abandonment rage.”	0.277419
Aj keď odmietnutý partner odchádza so súcitom a rešpektuje záväzky danej osoby v priateľskej alebo partnerskej atmosfére, mnoho opustených ľudí osciluje medzi stavom zlomeného srdca a zúrivosti. ~~~ Ide o ďalšiu reakciu neurálnych korelátov.	Even when a rejecting partner departs with compassion and graciously honors his or her responsibilities as a friend or co-parent, many abandoned people oscillate between heartbreak and fury—another response with neural correlates.	0.133199
Primárny systém hnevu je úzko prepojený s centrami v prefrontálnej kôre, ktoré anticipujú odmenu.	The primary rage system is closely connected to centers in the prefrontal cortex that anticipate rewards.	0.278824
Keď si človek začne uvedomovať, že očakávaná odmena je v ohrození, dokonca nedosiahnuteľná, oblasti prefrontálnej kôry stimulujú amygdalu a sú spúšťačom hnevu, vlastnosti, ktorá vyvíja tlak na srdce, zvyšuje krvný tlak a oslabuje imunitný systém.	So as a person begins to realize that an expected reward is in jeopardy, even unattainable, these regions of the prefrontal cortex stimulate the amygdala and trigger rage, a trait that stresses the heart, raises blood pressure, and suppresses the immune system.	0.455399
Táto výbušná reakcia z dôvodu nenaplnených očakávaní je známa aj u iných cicavcov.	This rage response to unfulfilled expectations is well known in other mammals.	0.286765
Ak napríklad pohladkáme mačku, pradie.	When a cat is petted, for example, it purrs.	0.282857
Ak ju prestaneme hladkať, môže nás aj uhryznúť.	When this pleasurable stimulation is withdrawn, it sometimes bites.	0.160976
Romantická vášeň a tzv. hnev v dôsledku opúšťania sa majú veľa spoločného.	Indeed, romantic passion and abandonment rage have much in common.	0.268966
Obe spája telesné a duševné vzrušenie. Výsledkom môžu byť obsedantné myšlienky, cieľavedome zameraná pozornosť, motivácia, cielené správanie a obe sú spúšťačom intenzívnych túžob, buď s cieľom nastoliť harmóniu, alebo sa pomstiť milencovi, ktorý ich odmieta.	Both are associated with bodily and mental arousal; both produce obsessive thinking, focused attention, motivation, and goal-directed behaviors; and both cause intense yearning—either for union with or retaliation against the rejecting lover.	0.281604
Pocity romantickej lásky a hnevu môžu pôsobiť súčasne.	Moreover, these feelings of romantic love and rage can act in tandem.	0.23125
Bruce Ellis a Neil Malamuth pri pozorovaní 124 párov, ktoré spolu chodia, zistili, že každý druh informácie vyvolá iné prejavy romantickej lásky a hnevu alebo rozrušenia.	In a study of 124 dating couples, Bruce Ellis and Neil Malamuth reported that romantic love and anger/upset” react to different kinds of information.	2.17512
Intenzita hnevu prípadne rozrušenia môže u milenca kolísať v závislosti od udalostí, ktoré maria ciele milenca, akými sú napríklad nevera partnera, nedostatok emocionálnej odovzdanosti alebo odmietnutie.	The lover’s level of anger/upset oscillates in response to events that undermine the lover’s goals, such as a mate’s infidelity, lack of emotional commitment, or rejection.	0.237162
Pocity romantickej lásky milenca sa menia aj v závislosti od udalostí, ktoré podporujú ciele milenca, ako napríklad viditeľná sociálna podpora partnera počas výletov s príbuznými a priateľmi alebo bezprostredné prejavy lásky a vernosti.	The lover’s feelings of romantic love fluctuate in response to events that advance the lover’s goals, such as a partner’s visible social support during outings with relatives and friends, or a direct declaration of love and fidelity.	0.465865
Romantická láska a hnev alebo rozrušenie môžu prebiehať súčasne, čo môže zvýšiť závislosť na partnerovi aj po odmietnutí.	Thus, romantic love and anger/upset can operate concurrently, adding intensity to one’s rejection addiction.	0.271875
Túto protestnú reakciu sme museli zdediť, pretože vychádza zo základného mechanizmu cicavcov, ktorý sa spustí po porušení akéhokoľvek druhu spoločenskej pripútanosti.	We must have inherited this protest response, for it stems from a basic mammalian mechanism that gets triggered when any kind of social attachment is ruptured.	0.273333
Vezmime si napríklad malé psíča.	Take the puppy.	-0.0214286
Ak by sme ho vzali matke a dali ho do kuchyne, okamžite začne chodiť z miesta na miesto, zúfalo skákať na dvere, štekať a kňučať na znak protestu.	When it is removed from mother and put into the kitchen by itself, it immediately begins to pace, frantically leaping at the door, barking and whining in protest.	0.363448
Izolované malé potkany vydávajú nepretržité vzlyky s vyššou intenzitou ako dokáže vnímať ľudské ucho.	Isolated baby rats emit ceaseless ultrasonic cries; they hardly sleep because their brain arousal is so intense.	0.273034
Dokonca pre vzrušenie v mozgu, ktoré je veľmi intenzívne, nedokážu ani spať.		-0.3
Účelom tohto protestu je zvýšiť ostražitosť a podnietiť opustené stvorenie, aby protestovalo, hľadalo a volalo o pomoc.	The purpose of this protest: to increase alertness and stimulate an abandoned creature to object, search, and call for help.	0.294231
Námietky, odpoveď na stresovú situáciu, frustrácia z príťažlivosti, hnev v dôsledku opúšťania sa, túžba, abstinenčné príznaky, toto všetko zohráva úlohu na celom svete pri zločinoch, ktoré sú motivované vášňou.	Protest, the stress response, frustration-attraction, abandonment rage, craving, withdrawal symptoms: All play a role in the worldwide incidence of crimes of passion.	0.223973
Rovnako ako všetky závislosti, aj romantická láska môže viesť k násiliu.	Like all addictions, romantic love can lead to violence.	0.214286
Avšak nakoniec to opustený milenec vzdá.	Eventually, however, the abandoned lover gives up.	0.225
On alebo ona prestane prenasledovať milovanú osobu, následne sa dostane do druhej typickej fázy romantického odmietnutia - rezignácie alebo zúfalstva.	He or she stops the pursuit of the beloved, ushering in the second general phase of romantic rejection, resignation/despair.	0.229907
Počas tejto fázy odmietnutý človek prepadne pocitom letargie, skleslosti, melanchólie a depresie, čo je známe ako zúfalá reakcia organizmu.	During this stage, the rejected one slips into feelings of lethargy, despondency, melancholy, and depression, known as the despair response.	0.3
Pri pozorovaní 114 mužov a žien, ktorých partner opustil počas posledných ôsmich týždňov sa ukázalo, že 40 percent z nich zažilo tzv. klinicky merateľnú depresiu.	In a study of 114 men and women who had been rejected by a partner within the past eight weeks, 40 percent experienced clinically measurable depression.	2.00499
Niektorí milenci so zlomeným srdcom dokonca zomrú na následky infarktu alebo mŕtvice, ktoré boli výsledkom depresií.	Some broken- hearted lovers even die from heart attacks or strokes caused by their depression.	0.222222
Iní spáchajú aj samovraždu.	Others commit suicide.	0.242857
Odmietnutí milenci pociťujú smútok aj počas protestnej fázy. ~~~ Keď zmizne všetka nádej, môže sa stupňovať.	Surely most rejected lovers feel this sadness during the protest phase as well, but it’s likely to escalate as all hope vanishes.	-0.0258065
Toto zúfalstvo je prepojené s niekoľkými mozgovými dráhami.	This despair has been associated with several brain networks.	0.29434
Pravdepodobne sú aktívne aj dopamínové dráhy.	Yet, once again, dopamine circuits are most likely involved.	0.212195
Keď odmietnutý partner dospeje k presvedčeniu, že odmenu nikdy nedostane, bunky produkujúce v systéme odmeny mozgu dopamín, znižujú aktivitu a vyvolávajú letargiu, skleslosť a depresiu.	As the rejected partner comes to believe that the reward will never come, dopamine-producing cells in the reward system of the brain decrease their activity, producing lethargy, despondency, and depression.	0.385755
Krátkodobý stres zvyšuje produkciu dopamínu a norepinefrínu.	Short-term stress escalates the production of dopamine and norepinephrine.	0.234545
Dlhodobý stres potláča aktivitu týchto neurochemikálií a naopak spôsobuje depresiu.	Long-term stress suppresses the activity of these neurochemicals, producing depression instead.	0.256
Mnoho odborníkov definuje závislosť ako patologickú, problematickú poruchu.	Many professionals define addiction as a pathological, problematic disorder.	0.3
Keďže romantická láska je vzhľadom na rôzne okolnosti pozitívnou skúsenosťou, výskumníci nechcú oficiálne klasifikovať romantickú lásku ako závislosť.	And because romantic love is a positive experience under many circumstances, researchers remain largely unwilling to officially categorize romantic love as an addiction.	0.268657
Pokiaľ ide o vzorce správania a mechanizmy v mozgu, závislosť na láske je však rovnako reálna ako ktorákoľvek iná závislosť.	But love addiction is just as real as any other addiction, in terms of its behavior patterns and brain mechanisms.	0.26875
Aj keď romantická láska nie je zdraviu škodlivá, je spojená s intenzívnou túžbou a úzkosťou a dokáže prinútiť milenca uveriť, povedať a urobiť nebezpečné a nevhodné veci.	Even when romantic love isn’t harmful, it is associated with intense craving and anxiety and can impel the lover to believe, say, and do dangerous and inappropriate things.	0.297931
Okrem toho, všetky formy užívania návykových látok vrátane alkoholu, opiátov, kokaínu, amfetamínu, marihuany a tabaku (ako aj závislosť na jedle, hazardných hrách a sexe, ktoré nespadajú do kategórie závislostína návykových látkach) okamžite spustia niekoľko rovnakých systémov odmeňovania, ktoré sú zároveň aktívne pri šťastne zamilovaných mužoch a ženách, ako aj medzi odmietnutými jedincami.		-0.3
Na rozdiel od všetkých ostatných závislostí, ktoré trápia iba percento populácie, sa určitá forma závislosti na láske vyskytne takmer u každého človeka v určitom okamihu jeho života. ~~~ Najnovšie zistenia tvrdia, že romantická láska by mala byť považovaná za závislosť, aj keď nie je oficiálne zaradená medzi závislosťami.	Moreover, all forms of substance abuse, including alcohol, opioids, cocaine, amphetamines, cannabis, and tobacco (as well as the non-substance addictions to food, gambling, and sex) activate several of the same reward pathways that are activated among men and women who are happily in love, as well as those rejected in love.	0
Zviera v človeku sa môže prebudiť pri návale emócií, ktoré striedavo ustupujú a vzplanú na základe telesného rytmu. ~~~ Predkovia to údajne objavili, keď prvýkrát zostúpili z afrických stromov na zem.	Unlike all other addictions, however, which afflict only a percentage of the population, some form of love addiction is likely to occur to almost every human being at some point during the life course.	0.0780598
Postupne našli správny rytmus vzťahu, ktorý bol v súlade s ich prirodzeným rozmnožovacím cyklom. ~~~ Boli to 3 až 4 roky.	Modern data suggest that romantic love should be treated as an addiction, regardless of its lack of official diagnostic classification as an addiction.	-0.0430693
Systém mozgu, ktorý produkuje dopamín, vazopresín, oxytocín a iné neurochemikálie pravdepodobne zosúladí tento rytmus, keď sa človek zamiluje. ~~~ Rytmus sa zmení, keď človek začne cítiť silnú náklonnosť a harmóniu doslova vesmírnych rozmerov.	The human animal seems driven by a tide of feelings that ebb and flow to an internal beat, a rhythm that emerged when our ancestors first descended from the trees of Africa and developed a tempo to their relationships that was in synchrony with their natural breeding cycle—three to four years.	0.0547768
Potom nastane tzv. stav znecitlivenosti alebo preťaženia, ktorý vedie k ľahostajnosti alebo vnútornému nepokoju. ~~~ Pomaly ničí lásku a vedie k odlúčeniu, utrpeniu, ktoré môže spustiť matku všetkých závislostí, závislosť na partnerovi.	Perhaps the brain’s systems for dopamine, vasopressin, oxytocin, and other neurochemicals orchestrate this rhythm, escalating when you fall in love, changing as you begin to feel deep attachment and cosmic union, then eventually becoming desensitized or overloaded, leading to indifference or restlessness that slowly eats your love and leads to separation—a hardship that can trigger the mother of all addictions, addiction to a mate.	-0.122927
Helen Fisherová je biologickou antropologičkou a vedeckou pracovníčkou na Kinseyho inštitúte.	Dr. Helen Fisher is a biological anthropologist and senior research fellow at The Kinsey Institute.	0.792857
Napísala päť medzinárodne uznávaných (a celosvetovonajpredávanejších) kníh o láske a osobnosti. V súčasnosti je hlavnou vedeckou poradkyňou agentúry Match.com.	She has written five internationally best-selling books on love and personality and is currently Chief Scientific Advisor to Match.com.	0.388983
Úryvok z knihy Anatómia lásky: Prirodzená história párenia, manželstva a prečo sme Stray © 2016 Helen Fisherová, vydané vydavateľstvom Z angl. Love Is Like Cocaine preložila DB W. W. Norton 1. februára 2016	Excerpted from the book Anatomy of Love: A Natural History of Mating, Marriage, and Why We Stray © 2016 by Helen Fisher, published by W. W. Norton on Feb. 1, 2016.	0.864459
		0.3
