Po prepuknutí rezignácie, respektíve zúfalstva, sa milenec vzdáva nádeje a skĺza do depresie.	As resignation/despair sets in, the lover gives up hope and slips into depression.	0.253521
Autori dospeli k záveru, že u preučených ľavákov je aktivácia v pravej hemisfére výsledkom neúplnej premeny ľaváka na praváka, pričom pravá hemisféra istým spôsobom stále riadi určité motorické funkcie.	The authors concluded that the presence of right-hemisphere activation in converted left- handers is there flection of not complete left-to right shift in handedness and still present motor control exerted by the right hemisphere.	0.260571
Nevýhodou tejto experimentálnej koncepcie bolo, že autori nielenže neboli schopní porovnať aktivitu mozgu počas pohybov vykonávaných dominantnou a nedominantnou rukou (ktoré sú podľa vyššie spomenutých záznamov rozhodujúce pri zisťovaní rozdielov súvisiacich s preferenciou ruky), ale tiež nedokázali priamo porovnať písanie ľaváka a praváka, keďže snímanie bolo v oboch skupinách vykonané pre iné ruky.	The disadvantages of this experimental design were that the authors were neither able to compare brain activity during dominant and nondominant hand movements (which, according to the previously mentioned papers, is critical for detecting hand preference-related differences), nor to make direct comparison between left- and right-hand writers as scanning in the two groups was performed for different hands.	0.3
V novšej štúdii Klöppel a kol. (2007) skúmali pomocou fMRI lokalizáciu aktivity vyvolanej vykonávaním pohybových činností.	In a more recent study Klöppel and colleagues (2007) studied the localization of movement related activity with fMRI while converted left-handers and age-matched groups of consistent left handers and righthanders pressed a button with their right, left or both hands depending on which of three symbolic visual cues was presented.	0.522549
Výskum prebiehal takým spôsobom, že preučení ľaváci a skupiny rodených ľavákov a pravákov rovnakej vekovej kategórie stláčali tlačidlo buď svojou pravou či ľavou rukou, alebo oboma rukami – v závislosti od toho, ktoré z troch symbolických vizuálnych podnetov im bolo práve prezentované.	The authors have found two regions of increased activity in converted left-handers as compared to either consistent left-handers or righthanders: one in sensorimotor and premotor cortex in the left hemisphere and the other in inferior parietal cortex of the right hemisphere.	0.287288
V porovnaní s rodenými ľavákmi a pravákmi autori spozorovali u preučených ľavákov dve oblasti so zvýšenou aktivitou.	The increased activation in the left hemisphere was interpreted as a consequence of educationally induced high daily practice in right hand writing of that originally left- handed group.	0.291419
Prvá v senzomotorickej kôre a premotorickej kôre v ľavej hemisfére a druhá v inferiórnej časti parietálnej kôry pravej hemisféry. ~~~ Zvýšená aktivácia ľavej hemisféry pri skupine preučených ľavákov bola odôvodnená ako dôsledok ťažkého každodenného tréningu písania pravou rukou.	The persisting activity in their right inferior parietal cortex was taken as en evidence that the involvement of higher order associative areas in the originally dominant hemisphere is invariant and cannot be switched to the opposite hemisphere due to educational training.	-0.00512821
Pretrvávajúca aktivita v inferiórnej časti parietálnej kôry pravej hemisféry sa považovala za dôkaz toho, že aktívne zapojenie vyšších asociačných kôrových oblastí v pôvodne dominantnej hemisfére je invariantné, a teda nemožno ho praktickým tréningom "preniesť" na druhú hemisféru.	Importantly enough, this study did not consider the possible relationship between the ipsi- vs. contralateral activations and the handedness factor, neither it directly compared the activations in the two hemispheres elicited by either hand.	0.24689
Dôležité však je, že táto štúdia nebrala do úvahy možnú existenciu vzťahu medzi ipsilaterálnymi a kontralaterálnymi aktiváciami a faktorom preferencie ruky, ani priamo neporovnávala aktivácie v oboch hemisférach vyvolané činnosťou konkrétnej ruky.	Moreover, due to simplicity of the movement (just pressing a button), the task focused more on taking a decision which hand should be used, than on movement execution control itself.	0.370821
Navyše z dôvodu jednoduchosti pohybu (stláčanie tlačidla) sa výskum viac zameral na samotné rozhodovanie o tom, ktorá ruka sa má na vykonanie pohybu použiť, než na samotnú kontrolu vykonania pohybu.		-0.3
To môže vyžadovať zapojenie úplne odlišných nervových obvodov než činnosti skúmané v predchádzajúcich štúdiách, a to poklepávanie prstami či písanie.	And this might require quite different neural circuits than finger tapping or writing used in previous studies.	0.190625
Tento krátky prehľad štúdií dokazuje, že existujúce údaje spájajúce preferenciu ruky s funkčnou architektúrou mozgu zodpovedajúcou za motorické funkcie sú veľmi nekonzistentné.	This short review of the literature demonstrates that the existing data relating the functional brain architecture of motor function to handedness is highly inconsistent.	0.283784
Neschopnosť dosiahnuť v týchto štúdiách relevantné zistenia možno pripísať niekoľkým faktorom, pričom heterogénnosť v skupinách ľavákov, nízky počet participantov a tiež výber rôznorodých pohybových úloh sú najpravdepodobnejšími zdrojmi zmätku.	The failure to obtain consistent findings in these studies can be attributed to several factors, with the heterogeneity of the left-handed groups, the low numbers of participating individuals and the selection of divergent motor tasks being the most likely sources of confusion.	0.270968
V súčasnej štúdii sme použili dva druhy pohybových úloh, jednoduchú a komplexnú, ktoré skúmaní participanti dosiaľ neprecvičovali. ~~~ Tieto úlohy boli najčastejšie použité v predchádzajúcich výskumoch o mozgovej reprezentácii motorických funkcií a môžu byť vykonávané oboma rukami.	In the present study we used two different unpracticed motor tasks, one simple and one complex, that have been most commonly used in previous research on the brain’s representation of motor function and can be performed with either hand.	-0.0345
Toto nám umožnilo nasledovné: 1) spájať naše údaje s už existujúcimi údajmi o riadení motoriky, 2) poskytnúť údaje o dominantnej aj nedominantnej ruke a 3) odhadnúť vplyv náročnosti úlohy na rozdiely súvisiace s preferenciou ruky v modeloch aktivácie.	This enabled us: (1) to relate our data to the existing literature on motor control, (2) to provide data for both preferred and nonpreferred hand, and (3) to estimate the effect of task complexity on handedness-related differences in activation patterns.	0.298605
Porovnávali sme mieru aktivácie ipsilaterálnej a kontralaterálnej hemisféry u rodených a preučených ľavákov s údajmi získanými o rodených pravákoch, ktorí sa podrobili rovnakému výskumu v našej predchádzajúcej štúdii (Gut et al. , 2007).	The volumes of activation in ipsilateral and contralateral hemispheres obtained in left-handers as well as converted left- handers were compared to those obtained in right-handers who were tested in our previous study (Gut et al. 2007) using the same procedure and scanner.	0.525385
V aktuálnej štúdii sa zaoberáme týmito otázkami: 1) aké sú rozdiely v organizácii motorickej kontroly v mozgu medzi ľavákmi a pravákmi, 2) či náročnosť pohybových úloh nejakým spôsobom ovplyvňuje tieto rozdiely, 3) či nútené skoré preučenie vedie k dlhodobým zmenám v organizácii mozgu a 4) či organizácia modelov motorických funkcií v mozgu odráža preferenciu ruky a jej výkon?	The present study addressed the following questions: (1) what are the differences in the organization of motor control in the brain between left-and righthanders, (2) does motor task complexity influence those differences, (3) do early switch of hand preference, due to social pressure, leads to long-lasting changes in brain organization, and (4) does the organization of motor function patterns in the brain reflect handedness preference and performance?	0.235714
Tieto otázky sú zaujímavé nielen z teoretického hľadiska, ale sú tiež prínosom pre klinickú prax.	These issues are interesting not only from theoretical point of view, but they also have clinical value.	0.282143
Získané poznatky o modeloch mozgovej aktivity, ktoré možno rozdeliť do podskupín na základe preferovanej ruky, môžu pomôcť pri rozhodovaní o tom, ktorá ruka by mala byť zvolená na písanie v určitých špecifických prípadoch, kedy preferencia konkrétnej ruky nie je zrejmá. ~~~ Rovnako môžu pomôcť v prípadoch, kedy jednotlivec dlhodobo používal pôvodne nepreferovanú ruku následkom zranenia pôvodne preferovanej ruky.	The knowledge on brain activation patterns in subgroups that differ in hand preference might help to make proper decisions as to which hand should be chosen forwriting in individual cases in which the preference is not obvious and in those who have used the non-preferred hand for a long time after injury of the originally preferred hand.	-0.0336207
Výskumu sa podrobilo 52 zdravých jednotlivcov, z toho 24 mužov a 28 žien vo veku od 17 do 36 rokov, pričom vekový priemer bol 22,1 rokov a štandardná odchýlka 5,3.	Fifty-two healthy subjects (24 males and 28 females) between 17 and 36 years of age (mean = 22.1 years; SD= 5. 3) participated in the study.	0.584195
Všetkých participantov sme informovali o účele štúdie pred poskytnutím ich písomného súhlasu.	All participants were informed about the purpose of the study before giving their written consent.	0.292771
Žiadny z participantov nemal kontraindikácie na vyšetrenia magnetickou rezonanciou.	None of the participants had any contraindications to MRI.	0.152941
Žiadny z participantov nenahlásil žiadne neurologické alebo psychiatrické ochorenia, poruchy učenia, ťažkosti na základnej škole či klaustrofóbiu.	No participants reported neurological or psychiatric illnesses, learning disabilities, failures in elementary school or claustrophobia.	0.277869
Protokol štúdie schválila Etická komisia Jagelovskej univerzity.	The study protocol was approved by the Ethics Committee of Jagiellonian University.	0.228814
Posúdenie preferencie ruky	Handedness assessment	0.242857
Na posúdenie individuálnych profilov preferencie ruky sme merali smer a stupeň preferencie ruky u všetkých participantov.	To assess individual profiles of handedness we measured the direction and degree of hand preference in all subjects.	0.279
Participanti vyplnili 10-bodový Edinburghský dotazník (Oldfield, 1971).	For this purpose subjects completed the 10-point Edinburgh Handedness Inventory (Oldfield 1971).	0.584091
Každému participantovi sme vypočítali Hand Preference Index (HPI – index preferencie ruky) v rozmedzí od +100 pre maximálnych pravákov do -100 pre maximálnych ľavákov.	For each subject, a Handedness Preference Index (HPI) ranging from +100 for extreme righthanders to −100 for extreme left-handers was calculated.	0.663853
Participanti boli rozdelení do štyroch skupín: rodení praváci (P, n=12), rodení ľaváci (Ľ, n=17), úspešne preučení (ÚP, n=11) a neúspešne preučení (NP, n=2).	The participants were divided into four groups: consistent right-handers (RH, n=12), consistent left-handers (LH, n=17), switched successfully (SS, n=11) and switched unsuccessfully (SU, n=2).	0.725
Prvé dve skupiny (Ľ a P) tvorili účastníci, ktorí uviedli stálu preferenciu jednej z rúk počas celého života. ~~~ Ľaváci neuviedli žiadne skoré pokusy o preučenie na pravú ruku.	The former two groups (LH and RH) consisted of subjects who reported consistent left- or right-hand preferences across their lives and no attempts at rightward shifts during childhood.	-0.0090604
Všetci participanti v skupine rodených ľavákov používali na písanie ľavú ruku a ich index preferencie ruky bol menší ako 20 (HPI<20).	All individuals in the group of consistent left-handers used their left hand for writing and had a handedness preference index (HPI)<20.	0.564833
Účastníci v skupine rodených pravákov používali na písanie pravú ruku a ich index preferencie ruky bol naopak väčší ako 20 (HPI>20).	Individuals in the group of consistent right-handers used their right hand for writing and had a HPI>20.	0.385768
Všetci participanti zvyšných dvoch skupín (ÚP a NP) boli v detstve nútení preučiť sa z ľavej ruky na pravú, čo automaticky viedlo k používaniu pravej ruky pri písaní.	The two latter groups (SS and SU) consisted of subjects who had been forced in childhood to switch their original lefthand preferences toward the right side resulting in the use of their right hands for writing.	0.220714
Individuálne rozhovory s takýmito participantmi nám poskytli detailné informácie o procese preučenia.	In all cases interviews provided detailed information about the conversion process.	0.231081
Nepresné prípady sme nebrali do úvahy.	All unclear cases were excluded.	0.248276
Participanti boli do týchto dvoch skupín vybratí na základe ich profilu preferencie ruky.	The selection of subjects for either the SS or the SU group was based on their hand preference profile.	0.269231
Jednotlivci s HPI>20 (ako v skupine P) boli zaradení do skupiny ÚP a jednotlivci s HPI<20 (ako v skupine Ľ) boli zaradení do skupiny NP.	Individuals showing the HPI>20 (as in the RH group) were selected for the SS group, whereas the individuals showing the HPI<20 (as in the LH group) were selected for the SU group.	0.435194
Na základe iných štúdií (Annett, 2002) sme použili HPI hodnotu 20 ako hranicu medzi ľavorukosťou a pravorukosťou. ~~~ Predpokladá sa totiž, že organizácia mozgu u jednotlivcov len s miernou preferenciou pravej ruky je viac podobná organizácii mozgu u ľavákov než pravákov.	Following other studies (Annett 2002), we used the HPI score of 20 as the demarcation line between left- and right-handedness because it is thought that the brain organization of individuals with slight preferences toward the right side resembles that typical for left- handers rather than for right-handers.	0.747449
Ľudia s miernou pravostrannou preferenciou sa preto do istej miery považujú za ľavákov, ktorí svoje správanie prispôsobili požiadavkám "praváckeho" sveta.	Thus, people with slight right preferences are, to some extent, considered to be left-handers who adapted their behavior to the demands of the right-shifted environment.	0.277941
Zobrazovanie mozgu Experimentálna paradigma pozostávala z dvoch experimentálnych cyklov, z ktorých každý obsahoval 10 striedajúcich sa blokov s 3 úlohami: (A) jednoduchá pohybová úloha (flexia/ohýbanie ukazováka), (B) komplexná pohybová úloha (sekvenčné vyvíjanie tlaku palcom na končeky zvyšných prstov v nasledujúcom poradí: 5, 4, 3, 2, 5, 4) oddychový čas, počas ktorého museli účastníci ostať v pokoji.	Brain imaging The experimental paradigm consisted of two experimental runs that each contained 10 alternating blocks of 3 conditions: (A) a simple movement task (flexion/extension of the index finger), (B) a complex movements task (sequential opposition of the thumb to tips of other fingers in the order: 5, 4, 3, 2, 5, 4 and so on), and (C) a rest period (during which the subjects were required to remain still).	0.769361
V rámci každého cyklu sa bloky opakovali v sekvencii CABCABCABC.	Within each run, the blocks were repeated in the sequence CABCABCABC.	0.551299
Celková dĺžka jedného cyklu bola 2 minúty 30 sekúnd, pričom jednotlivé bloky trvali 15 sekúnd.	Each block lasted 15 s for a total 2 min 30 s per run.	2.62143
Participanti vykonávali úlohy v jednotlivých cykloch buď pravou, alebo ľavou rukou.	Within each run the tasks were performed either with the right or the left hand.	0.268657
Poradie používania ľavej a pravej ruky pre jednotlivé cykly sme participantom pridelili náhodne.	The order of left and right hand runs was randomized across subjects.	0.167797
Tempo vykonávania pohybov si participanti zvolili sami, išlo približne o hodnotu 2 Hz.	Movements were self-paced at a rate of approximately 2 Hz, which was comfortable for subjects and easy to control.	2.56914
Táto hodnota im vyhovovala a umožňovala im mať svoje pohyby pod kontrolou.	All subjects practiced the two tasks prior to scanning to ensure similar task execution.	0.24375
Aby sme zaistili približne rovnaké zvládnutie daných úloh, participanti si tieto úlohy precvičili ešte pred samotným snímaním. ~~~ Začiatok každej z úloh bol signalizovaný zobrazením jedného z troch farebne odlíšených štvorcov na zadnej obrazovke viditeľnej vďaka zrkadlovému systému, ktorý bol súčasťou skenera.	The onset of each of the different tasks was signaled by the presentation of one of three differently colored squares presented on a rear-projection screen visible to subjects through a system of mirrors mounted in the scanner.	-0.0311321
Biely štvorec indikoval stav pokoja, červený jednoduchú pohybovú úlohu a modrý komplexnú pohybovú úlohu.	A white square indicated the rest condition, a red square indicated the simple movement condition and a blue square indicated the complex movement condition.	0.359783
Štvorce boli zobrazené počas vykonávania každej z úloh.	The squares remained visible during each condition.	0.280435
Participantov sme pred skenovaním poučili, ako majú reagovať na zobrazenie jednotlivých stimulov.	Before scanning the subjects were instructed how to react to each stimulus type that they would see on the screen.	0.268966
Stimuly boli premietané multimediálnym LCD projektorom na obrazovke umiestnenej približne 3 metre od magnetického prístroja.	Stimuli were back-projected from a multi-media projector on a screen located approximately 3 meters away from the magnet.	2.34536
Na tento výskum bol použitý prístroj MRI typu 1. 5 T Signa Horizon.	The study was performed using a 1.5 T Signa Horizon MR system.	0.738462
Funkčné snímky sme získali použitím rýchlej gradientnej echo-planárnej sekvencie (EPI), citlivej na BOLD kontrast (blood oxygenation level dependent) s nasledujúcimi parametrami: 3000/60 (čas opakovania v ms/ čas echa v ms), 90° rotácia, pozorované pole (FOV – field of view) 18 x 13 cm, veľkosť matice 96 x 64 a počet excitácií rovnajúci sa číslu jeden.	The functional MRI images were acquired using an interleaved gradient-echo echoplanar (EPI) sequence sensitive to the blood oxygenation level dependent (BOLD) contrast with the following parameters: 3 000/60 (repetition time ms/echo time ms), a 90º flip angle, a 18 × 13 cm field ofview (FOV), a 96 × 64 matrix, and the number of excitations equal to one.	0.833708
Rozlíšenie roviny bolo 1,41 x 1,41 mm.	In plane resolution was 1.41 × 1.41mm.	0.3
Počas každého funkčného skenovania sme získali 50 sád po 10 susediacich transverzálnych rezov s hrúbkou 7-10 mm bez medzier.	During each functional scanning session 50 sets of 10 contiguous, 7 to 10-mm-thick oblique sections were acquired, without any gap.	0.583178
V prípade všetkých participantov boli rezy umiestnené rovnobežne s osou spájajúcou commissura anterior a zadný povrch tonsilla cerebelli a rozšírené priamo do stredu zadnej hranice temenného laloka.	For each subject, all sections were set parallel to the axis connecting the anterior commissure and the caudal surface of the cerebellar tonsil and extended right up to the posterior midline boundary of the parietal lobe.	0.382865
Vybraná hrúbka rezu bola upravená podľa mozgového objemu každého zúčastneného.	The selected slice-thickness was adjusted to each subject’s brain volume.	0.276923
Koplanárne, štrukturálne MR snímky s vysokým rozlíšením vykonané pre rovnaké oblasti ako funkčné snímky, boli získané technikou spoiled gradient-echo (SPGR) s nasledujúcimi parametrami: 50/6 (čas opakovania v ms/ čas echa v ms), 60º rotácia, pozorované pole (FOV) 18 x 13 cm, veľkosť matice 256 x 256 a počet excitácií rovnajúci sa číslu dva.	Coplanar, high-resolution structural MRI images were acquired for the same locations as the functional images using a SPoiled GRadient-echo (SPGR) sequence with the following parameters: 50/6 (repetition time ms/echo time ms), a 60º flip angle, a 18 × 13cm FOV, a 256 × 256 matrix, and the number of excitations equal to two.	0.725831
Rozlíšenie roviny bolo 0,86 x 0,86 mm.	In plane resolution was 0.86× 0.86 mm.	0.675
Prihliadajúc na jednotlivých participantov sme získali desať 7-10 mm hrubých transverzálnych rezov bez medzier.	Depending on the subject, ten 7- to 10-mm-thick oblique sections were acquired, without any gap.	0.242169
Naším cieľom bolo vytvoriť čo najväčšie pohodlie, ktoré by participantom uľahčilo minimalizovať pohyb hlavy.	We made every effort to ensure subjects were as comfortable as possible to reduce head motion.	0.24
Participantov sme požiadali, aby sa zdržali akýchkoľvek pohybov, nijakým spôsobom nenaťahovali svoje svaly (výnimkou boli vyžadované motorické cvičenia) a na nič nemysleli, obzvlášť pri ležaní v skeneri.	Subjects were asked to refrain from any movements, not to strain their muscles in any special way (except during the required motor tasks) and not to think about anything in particular while lying in the scanner.	0.3
Na obmedzenie pohybu hlavy sme použili štandardnú hlavovú RF cievku s penovou výplňou.	A standard radio-frequency (RF) head coil with foam padding to restrict head motion was used.	0.28
Pred vykonaním fMRI experimentu participanti trénovali motorické cvičenia.	The fMRI experiment was preceded by training ofthe subjects’ on the motor task.	0.633333
Obzvlášť sme kládli dôraz na to, aby sa participanti naučili bez akéhokoľvek podnetu vykonávať pohyb približne dvakrát za sekundu.	Special attention was given to teaching the subjects to pace their movements at approximately twice a second without any preceding cues.	0.289381
Úlohu preto vykonávali automaticky už pred začiatkom procesu skenovania.	Thus, the task was highly automated before the start of the scanning procedure.	0.286154
Obrazy boli najskôr prevedené na formát programu Analyze použitím internetovej stránky.	The images were first converted to the Analyze format with xmedcon.	0.446552
Na zobrazení vo formáte Analyze bola lebka následne odstránená použitím anizotropnej difúzie a viacúrovňového algoritmu watershed.	The skull was then removed on the anatomical Analyze images with a probabilistic anisotropic diffusion and multi-scale watershed algorithm.	0.637424
Na zhotovenie štatistických analýz sme použili program FSL 3. 1 (FMRIB softvérová knižnica) (Smith et al. , 2004).	Statistical analyses were performed with FSL 3. 1 (FMRIB Software Library)(Smitch et al. 2004).	3.64578
Vo fáze predspracovania sme koregistrovali funkčné snímky k snímkam anatomickým.	In the pre-processing step, the functional images were coregistered to the anatomical image.	0.2625
Za účelom odstránenia nízkofrekvenčných artefaktov sme na funkčné snímky aplikovali vysokofrekvenčný časový filter, pričom sme použili priamu inštaláciu uzávierky nastavenej na 45 s.	To remove low frequency artifacts, a high-pass temporal filter was applied to the functional images by using a straight line fitting with a cutoff at 45 s.	1.72846
Na redukciu šumu sme na funkčných snímkach vykonali Gaussovo priestorové vyhladzovanie s 8 mm FWHM jadrom.	Gaussian spatial smoothing with an FWHM kernel of 8 mm was carried out on the functional images to reduce noise.	2.5876
Ako predbežný krok k analýzam vyššej úrovne sme v štatistickej analýze vypočítali dĺžkové rozdiely medzi podmienkami na úrovni participanta v jeho prirodzenom prostredí.	In the statistical analysis, linear contrasts on between conditions at the subject level were calculated in native subject space as a pre-step to the higher-level analyses.	0.3
Skupinové analýzy na vyššej úrovni sme vykonali takým spôsobom, že sme najprv registrovali rozdielne snímky participanta k referenčnému mozgu v Talairachovom štandardnom priestore (Roland a Zilles, 1994). Potom sme použili FLAME (FMRIB’S Local Analysis of Mixed Effects) na rozdielne snímky k odhadu náhodného efektu medzi participantmi.	Higher level group analyses were performed by first registering the subject-level contrast images to a reference brain in Talairach standard space (Roland andZilles 1994); next FLAME (FMRIB’s Local Analysis of Mixed Effects) was used on the contrast images to estimate the inter-subject random-effects.	0.808673
Odchýlku medzi účastníkmi jednotlivých skupín sme zisťovali jednotlivo.	Each group’scross-subject variance was estimated separately.	0.251786
Aby sme získali rozvetvenia, štatistické Z-obrazy zo skupinovej analýzy sme prahovali pri hodnote z=3.3.	The statistical Z-images from the group analysis were thresholded at z=3.3 to obtain clusters.	0.263415
Za dôležité sme považovali všetky zhluky s hodnotou P≤005.	All clusters with a P≤0.05 were considered significant.	0.287755
Posledným krokom bolo vypočítanie priesečníkov medzi dôležitými zhlukmi a cytoarchitektonicky definovanými oblasťami.	As a final step, the intersection volumes between significant clusters and cytoarchitectonically defined regions were calculated.	0.508339
Predchádzajúce štúdie naznačujú, že lokalizácia konkrétnych oblastí mozgu spojených s motorickou funkciou sa môže u pozorovaných jednotlivcov líšiť. ~~~ Tiež naznačujú, že tieto mozgové oblasti nemusia byť rovnako veľké v ľavej aj pravej hemisfére, a to najmä vtedy, keď sa výskumná vzorka líši profilom preferencie ruky.	Previous reports suggest that the localization of particular brain areas associated with motor function may vary across subjects and that the particular regions need not to be the same size in the left and right hemispheres, especially when the sample varies in handedness profile.	-0.0232218
Vzhľadom na túto odchýlku sme sa rozhodli hodnotiť predovšetkým všeobecné postavenie ľavej alebo pravej hemisféry v motorickej kontrole tým, že sme vypočítali celkový objem aktivovaných oblastí v ľavej/pravej – kontralaterálnej/ipsilaterálnej hemisfére.	Taking this variation into consideration, we decided rather to assess the general roles of left or right hemisphere in motor control by calculating the total volume of the activated areas in the left/right – contralateral/ipsilateral hemispheres.	0.376769
Našou stratégiou teda bolo kvantifikovať hemisferické asymetrie v priestorovom rozsahu reprezentácie ruky, a to výpočtom objemu všetkých dôležitých aktivovaných voxelov v každej hemisfére.	Thus, our strategy was to quantify hemispheric asymmetries in the spatial extent of hand representation by computing the volume of all significantly activated voxels in either hemisphere.	0.415741
Tieto analýzy sme vykonávali v prirodzenom prostredí pre participanta.	These analyses were run in native subject space.	0.15
VÝSLEDKY	RESULTS	0.2625
Behaviorálne údaje	Behavioral data Mean	0.283333
Pre každú skupinu participantov sme vypočítali priemerný index preferencie ruky (HPI), ktorý je uvedený v tabuľke 1. ~~~ Participanti v skupine rodených pravákov (RH) a úspešne preučených ľavákov (SS) dosiahli jasné pozitívne hodnoty HPI, čo naznačuje preferenciu pravej ruky pri rôznych druhoch aktivít.	Handedness Preference Index (HPI) was calculated for each group of subjects and the mean index of handedness are presented in Table I. Noticeably, both the consistent right-handed (RH) and the successfully switched (SS) groups had clearly positive HPI values indicating right-hand preferences in a large range of activities.	0.074173
Nižšie hodnoty HPI v skupine SS v porovnaní so skupinou RH ukazujú, že preučenie nebolo celkom dokončené, pričom pretrvávali niektoré skryté znaky ľavorukosti.	Lower values of the index in the SS compared to the RH group indicate that the hand preference alteration was not complete, and some features of covert left- handedness persisted.	0.521739
V skupine rodených ľavákov (Ľ) a neúspešne preučených ľavákov (NP) bolo priemerné HPI negatívne, čo značí preferenciu ľavej ruky pri väčšine činností a tiež neúspešné preučenie v skupine NP.	In both consistent left handed (LH) and unsuccessfully switched (SU) groups, the mean HPIs were negative, indicating the predominance of left-hand preferences for the majority of activities and thus an unsuccessful handedness switch in the SU group.	0.206135
Zobrazovanie údajov	Imaging data	0.125
Lokalizácia aktivácie	Localization of activation	0.242857
Snímky funkčnej magnetickej rezonancie ukázali niekoľko oblastí, ktoré boli aktivované po celú dobu vykonávania pohybu rukami.	The fMRI scans revealed a number of areas that were consistently activated during hand movements used in the study.	0.257143
Na obrázku 1 môžeme vidieť lokalizáciu významných aktivácii pre jednoduché a komplexné pohyby vykonávané pravou alebo ľavou rukou vo všetkých štyroch skupinách výskumnej vzorky.	Figure 1 illustrates the localization of significant activations in the four groups of subjects for simple and complex movements performed with the right or left hand.	1.59483
Významné skupinové aktivácie pri vykonávaní jednoduchých pohybov sme detegovali v gyrus precentralis, gyrus postcentralis, gyrus supramarginalis, gyrus parietalis superior a gyrus parietalis inferior, všetky výlučne v hemisfére kontralaterálnej k pohybujúcej sa ruke.	Significant group activations during simple movements were found in: precentral, postcentral, parietal superior, parietal inferior and supramarginal gyri, all exclusive to the hemisphere contralateral to the moving hand.	0.233505
Pri komplexných pohyboch vykonávaných buď pravou alebo ľavou rukou pokrývali aktivácie oveľa širšie oblasti zahŕňajúc mozgovú kôru (gyrus precentralis, gyrus postcentralis, doplnková motorická oblasť, insula, cingulum, parientálny lalok, gyrus supramarginalis, gyrus temporalis superior a gyrus temporalis medius), subkortikálne oblasti (putamen, pallidum, thalamus), v kontralaterálnych a ipsilaterálnych hemisférach.	For complex movements, activation covered much broader areas including the cerebral cortex (precentral gyrus, postcentral gyrus, supplementary motor area, insula, cingulum, parietal lobuli, supramarginal, superior and medial temporal gyri), subcortical areas (putamen, pallidum, the thalamus) in both the contralateral and ipsilateral hemispheres for either hand.	0.576399
Okrem toho boli zaznamenané aj mozočkové aktivácie, najmä ipsilaterálne.	In addition, cerebellar activations (mainly ipsilateral) were registered.	0.290769
Objem hemisferických aktivácií v súvislosti s preferenciou ruky a komplexnosťou cvičení	Volumes of hemispheric activation in relation to handedness and task complexity	0.265714
Cieľom štúdie bolo určiť, či motorické dráhy ipsilaterálnej a kontralaterálnej hemisféry zodpovedné za riadenie pohybu jednotlivých rúk boli asymetricky aktivované, a či tento jav závisel od preferencie ruky a komplexnosti cvičení. ~~~ Údaje sme preto podrobili analýze rozptylu, v ktorej jednotlivé skupiny participantov (P, Ľ, NP a ÚP), úroveň pohybu (jednoduchý/komplexný), hemisféra (ipsilaterálna/ kontralaterálna) a ruka (ľavá/pravá) predstavovali hlavné faktory a množstvo aktivácií závislú premennú.	Because the aim of the study was to determine whether the motor networks responsible for controlling left and right hand movements in the ipsilateraland contralateral hemispheres were asymmetrically activated and whether this effect depended on the hand preference and complexity of the task, the data were subjected to analysis of variance (ANOVA) that used group (RH, LH, SU and SS), movement complexity (simple/complex), hemisphere (ipsilateral/contralateral) and hand (left/right) as the main factors and the volume of activation as the dependent variable.	-0.0128668
Analýza odhalila hlavné významné vplyvy komplexnosti pohybu (F1, 48=116.59; P<0. 01) a hemisféry (F1, 48=101.54; P<0. 01).	This analysis revealed significant main effects of movement complexity (F1, 48=116.59; P<0.01)and hemisphere (F1, 48=101.54; P<0.01).	0.972237
Výsledok t-testov ukázal väčšiu aktiváciu počas vykonávania komplexného pohybu než počas vykonávania jednoduchého pohybu (t51=11.2; P<0. 01) a väčšiu aktiváciu v kontralaterálnej hemisfére v porovnaní s hemisférou ipsilaterálnou (t51=10.08; P<0. 01).	The result of t-tests indicated a larger volume of activation during complex than simple movement task (t51=11. 2; P<0. 01) and a larger volume of activation in the contralateral, compared to the ipsilateral hemisphere (t51=10. 08;P<0. 01).	0.651585
Okrem toho analýza odhalila tri dôležité interakcie: komplexnosť pohybu × hemisféra (F1, 48=12.42; P<0. 01), ruka × hemisféra × skupina (F3, 48=4.1; P<0. 01) a komplexnosť pohybu × hemisféra × skupina × ruka (F3, 48=5. 06; P<0. 01).	Moreover, the analysis revealed three significant interactions: movement complexity × hemisphere (F1, 48=12. 42; P<0. 01), hand × hemisphere × group (F3, 48=4. 61; P<0. 01) and movement complexity × hemisphere × group × hand (F3, 48=5. 06; P<0. 01).	1.58473
Na preskúmanie týchto interakcií sme vykonali dve samostatné analýzy rozptylu, oddelene pre jednoduché a komplexné pohybové úlohy, pričom hlavnými faktormi boli hemisféra (ipsilaterálna/kontralaterálna), daná skupina participantov (P/Ľ/ÚP/NP) a ruka vykonávajúca pohyb (ľavá/pravá).	To investigate these interactions, two analyses of variance, separately for simple and complex tasks, using hemisphere (ipsilateral/contralateral), group (RH/LH/SS/US) and moving hand (left/right) as the main factors were conducted.	0.23122
