Rozhodla som sa poprechádzať.	I decided to take a walk.	0.214286
Mali by sme železnice, mosty, lietadlá, faxy, vakcíny a televíziu, ak by sme boli stále všetci pobláznení?	Would we have railroads, bridges, planes, faxes, vaccines, and television if we were all always besotted?	0.3
Namiesto stále sa rozvíjajúcej technológie, ktorá ľudskú kultúru poznačila už z čias prvého použitia nástroja, by sme mali len cukríky, kytice a antikoncepciu.	In place of the ever evolving technology that has marked human culture from its earliest tool use, we would have instead only bonbons, bouquets, and birth control.	0.3
Teraz vážne, ak je zmena chemického stavu vyvolaná romantickou láskou, podobná duševnej chorobe alebo eufórii spôsobenou drogami, dlhodobé vystavovanie sa jej, môže spôsobiť psychické poškodenie.	More seriously, if the chemically altered state induced by romantic love is akin to a mental illness or a drug-induced euphoria, exposing yourself for too long could result in psychological damage.	0.292857
Dobrý sexuálny život môže byť taký silný ako Pattex, ale kto by chcel mať takúto vec na vlastnej koži?	A good sex life can be as strong as Gorilla Glue, but who wants that stuff on your skin?	0.240845
Kde bolo tam bolo, v Indii sa chlapec a dievča do seba zamilovali bez povolenia rodičov.	Once upon a time, in India, a boy and a girl fell in love without their parents‘ permission.	0.468362
Pochádzali z rozdielnych kást, ich vzťah bol radikálny a zakázaný.	They were from different castes, their relationship radical and unsanctioned.	0.243103
Predstavte si trblietavé sárí, chlapca v bielom plátne, tajné stretnutia na dlaždicových terasách s veľkým bielym mesiacom nad hlavou.	Picture it: the sparkling sari, the boy in white linen, the clandestine meetings on tiled terraces with a fat, white moon floating overhead.	0.294872
Kto by odopieral týmto milencom potešenie alebo odsudzoval silu ich vzájomnej príťažlivosti?	Who could deny these lovers their pleasure, or condemn the force of their attraction?	0.263014
Ich rodičia.	Their parents could.	0.125
V nedávnom incidente, rodičia vlastnými rukami obesili chlapca a dievča z rôznych kást a stovky dedinčanov sa tomu prizerali.	In one recent incident a boy and girl from different castes were hanged at the hands of their parents as hundreds of villagers watched.	0.436111
Pár, ktorý utiekol od rodičov, vyzliekli a zbili.	A couple who eloped were stripped and beaten.	0.269231
Ďalší pár spáchal samovraždu po tom, čo im ich rodičia zakázali sa zosobášiť.	Yet another couple committed suicide after their parents forbade them to marry.	0.286364
Antropológovia si mysleli, že romantika je výtvorom Západu, buržoázny vedľajší produkt stredoveku.	Anthropologists used to think that romance was a Western construct, a bourgeois by-product of the Middle Ages.	0.276136
Romantika bola pre sofistikovaných, konala sa v kaviarňach, pri káve a Cabernete, na hodvábnych prikrývkach alebo v izbách pri blikotajúcom ohni.	Romance was for the sophisticated, took place in cafés, with coffees and Cabernets, or on silk sheets, or in rooms with a flickering fire.	0.410502
Predpokladalo sa, že nezápadné kultúry s ich naviazaním na rodinné a spoločenské povinnosti, neboli príliš otvorené jednotlivým citom.	It was assumed that non-Westerners, with their broad familial and social obligations, were spread too thin for particular passions.	0.289474
Ako by kolektivistická kultúra mohla oslavovať alebo akokoľvek potrestať posadnutosť jednou osobou, ktorá je objektom lásky?	How could a collectivist culture celebrate or in any way sanction the obsession with one individual that defines new love?	0.282692
