Môže chudobný roľník skutočne cítiť vášeň?	Could a lice-ridden peasant really feel passion?	0.260526
V roku 1852 velil jednej z lodí, ktoré pátrali po stratených bádateľoch, kapitán Edward Inglefield. ~~~ "Vstupovali sme do Severného ľadového oceánu a bláznivé myšlienky ako dosiahnuť Severný pól mi opantali hlavu."	In 1852 Captain Edward Inglefield was in charge of one of the ships involved in the search for the missing explorers, and "We were entering the Polar Sea, and wild thoughts of getting to the Pole rushed rapidly through my brain.”	0.943605
Hoci stratené lode nenašiel a k Severnému pólu neprišiel, lebo ľad v priechode Smith Sound mu zablokoval cestu, Inglefield tvrdil, že na severe videl priechodné vody.	He didn’t find the lost ships, nor did he reach the pole—the ice in the Smith Sound blocked his way—but Inglefield did say that he had seen clear waters just a short distance north.	0.729656
V roku 1852 loď Isabel pod vedením kapitána Inglefielda vplávala do arktických vôd. ~~~ Namaľoval George Chambers.	Captain Inglefield's ship Isabel sailed in Arctic waters in 1852, as depicted by George Chambers.	0.396
V roku 1852 britský bádateľ Edward Inglefield doviedol loď Isabel do prielivu Smith Sound, ktorý sa v tom čase považoval za nepriechodný. ~~~ Prieliv svojou polohou oddeľoval Grónsko od Ellesmerovho ostrovu.	British explorer Edward Inglefield captained the Isabel in 1852 into Smith Sound, the channel separating the islands of Greenland and Ellesmere (Canada) which until then had been believed impassable.	0.972965
Kapitán sa pre hustý ľad musel otočiť okolo 78° severnej šírky, ale dostal sa hlbšie než ktokoľvek pred ním.	By the time the ice forced him to turn around at 78° north latitude, he had pushed farther into the strait than anyone before him.	0.397253
Pátranie po Franklinových lodiach a Severnom póle zaujalo aj ďalších amerických bádateľov.	The search for Franklin’s ships and the North Pole also caught the imaginations of several American explorers.	0.24375
V 50.-tych rokoch 19. storočia sponzoroval americký finančník Henry Grinnell dve expedície, ktorých úlohou bolo nájsť Franklinove lode a potenciálnych preživších.	In the 1850s American financier Henry Grinnell backed two expeditions to locate Franklin’s ships and any potential survivors.	0.522211
Každá výprava bojovala s chladom, únavou a predovšetkým s ľadom.	Each expedition faced a relentless battle against cold, exhaustion, and ultimately, ice.	0.45487
Jedna z lodí dokázala prejsť vyše 2 000 kilometrov, ale posádka sa musela vzdať cieľa. ~~~ Zachránila ju veľrybárska loď.	One of their ships made it some 1, 250 miles, but the crew had to abandon the mission and were rescued by a whaling ship.	-0.00612245
Grinnelove expedície však zaznamenali aj drobný úspech: na ostrove Beechey našli jeden z Franklinových táborov na prezimovanie. Nenašlo sa však nič, čo by odhalilo Franklinov osud.	The Grinnell expeditions had small successes: One of Franklin’s wintering camps was identified on Beechey Island, but searchers found nothing else that revealed Franklin’s fate.	0.411489
Zmapovali takmer 1 600 kilometrov nepreskúmaného pobrežia.	They charted nearly 1, 000 miles of unexplored coastline.	0.282
Lekár a bádateľ Isaac Israel Hayes, ktorý slúžil v Grinnellovej druhej misii, sa v roku 1860 na palube lode United States vybral smerom k Severnému pólu cez Baffinov záliv a priechod Smith Sound.	In 1860, aboard the ship United States, Isaac Israel Hayes, a physician and explorer who had served on the second Grinnell mission, set out to reach the North Pole via Baffin Bay and Smith Sound.	0.913943
Hayes tvrdil, že došiel tak ďaleko, až videl otvorené polárne more. ~~~ Neskoršie analýzy však odhalili, že jeho výpočty boli nesprávne.	Hayes claimed to have traveled far north enough to have seen the open polar sea, but later analysis revealed that his calculations were off.	-0.00258621
V roku 1867 vydal knihu Otvorené polárne more (z angl. The Open Polar Sea, preložil A. B.), ktorá zaujala Američanov. ~~~ Opísal v nej kruté podmienky počas plavby cez Arktídu a tiež vynaliezavosť Eskimákov, ktorých tam stretol.	His book The Open Polar Sea, published in 1867, captured American imaginations and provided details about the harsh conditions faced in the Arctic and the resourcefulness of the Inuit whom he encountered there.	0.164502
V tom čase začali hľadať Severný pól aj nemeckí bádatelia. ~~~ Urobili tak na žiadosť prominentného geografa Augusta Petermanna, ktorý ich k tomu vyzval.	Around this time, German explorers also began seeking the North Pole after prominent geographer August Petermann called for them to get involved in the quest.	-0.00576923
V rokoch 1868 – 1870 vyplávali dve nemecké výpravy, ktorých cesty naplánovali podľa Petermannových teórií.	Between 1868 and 1870, two German expeditions set out and plotted their routes based on the theories of Petermann.	0.474597
Ten tvrdil, že Golfský prúd (tok oceánu, ktorý prenáša teplú vodu z Mexického zálivu do severného Atlantiku) sa tiahne až do srdca Arktídy.	He argued that the Gulf Stream, an ocean current that carries warm water from the Gulf of Mexico to the North Atlantic, extended into the heart of the Arctic.	0.266949
Veril, že prítomnosť teplejšej vody v severských oblastiach by mohla v ľade vytvoriť priechodnú cestu.	He believed the presence of warmer waters in the northern regions could create a navigable breach in the ice.	0.289888
Posádka čoskoro zistila, že tok nebol dostatočne teplý na to, aby danú cestu vytvoril.	The team soon learned that the current was not warm enough to create such a breach.	0.278261
Ich misia bola neúspešná.	Their missions were unsuccessful.	0.195652
Obraz z roku 1892 zachytáva rakúsko-uhorskú posádku lode Tegetthoff, ktorá bola rok uväznená v ľade. ~~~ Vydržala 109 dní bez slnka a potom sa vylodila na súostroví, ktoré pomenovala Zem Františka Jozefa.	An 1892 painting depicts how the Austro-Hungarian crew of the Tegetthoff was locked in ice for a year and endured 109 days without sun before landing at an archipelago they named Franz Josef Land in August 1873.	0.0911488
V roku 1872 odštartovala rakúsko-uhorská výprava, ktorá sa tiež riadila Petermannovou teóriou.	Starting in 1872, Hungarian armed forces.	-0.0810811
Ich loď Tegetthoff uviazla na 27 mesiacov v ľade.	Their ship, the Tegetthoff, became stranded, frozen in the ice for 27 months.	3.42857
Keďže nebola schopná plavby, prúd vody ju posúval cez zamrznuté moria.	Unable to sail, the boat drifted among the frozen seas.	0.210638
Bádatelia objavili súostrovie, ktoré pomenovali podľa svojho cisára – Zem Františka Jozefa.	The explorers came across an archipelago that they named Franz Josef Land for their emperor.	0.292405
Posádka musela opustiť loď a pokračovať pešo. Sane a záchranný čln ťahali po snehu a ľade.	The team was forced to abandon ship and set out on foot, pulling sledges and lifeboats along with them over the snow and ice.	0.193421
Pole ľadových krýh bolo však odlišné od pevniny.	Pack ice, however, behaves differently from land.	0.285714
Smerovali na juh a morský tok posúval zamrznutú masu krýh, po ktorej kráčali, na sever.	As they moved south, the marine current was pushing the frozen mass on which they were walking north.	0.255405
Za dva mesiace predierania sa ľadom pokročili iba o 15 kilometrov.	In two months of trudging, exhausted, over the ice, they only managed to advance 10 miles.	0.2
Posádka sa našťastie napokon dostala na otvorené more a pri ruskom pobreží ich zachránili rybári.	Fortunately, the expedition did finally make it back to the open sea and reached the Russian coast, where they were rescued by a fisherman.	0.369643
V Anglicku sa pravdu o Franklinovej tragickej expedícii dozvedeli v roku 1859 a spôsobila názorovú rozpoltenosť o výpravách na Severný pól. ~~~ Britské námorníctvo sa aj napriek tomu nevzdalo.	In England, Franklin’s expedition, the tragic fate of which was eventually discovered in 1859, led to a public ambivalence toward North Pole expeditions, but the British Navy still sought the prize.	0.00693182
V roku 1875 odštartovali expedíciu, ktorú viedol George Nares.	In 1875 the British Navy launched an expedition commanded by George Nares.	4.15091
Dve lode, Alert a Discovery, sa mali plaviť po západnom pobreží Grónska cez priechod Smith Sound.	Two ships, the Alert and Discovery, would sail along the west coast of Greenland via Smith Sound.	1.00222
Bádatelia verili, že sa touto cestou dostanú na otvorené more a napokon aj na Severný pól.	The explorers believed that route would lead them to an open polar sea and the North Pole.	0.296
Loď Discovery zastavila a jej posádka založila tábor v zálive Lady Franklin.	The Discovery stopped and set up winter quarters at Lady Franklin Bay off Hall Basin, while the Alert sailed farther north and sheltered in a bay near Ellesmere Island.	0.651399
Loď Alert pokračovala v plavbe na sever a zakotvila v zálive pri Ellesmerovom ostrove.	To date, it was the farthest point north reached by a European ship.	0.424812
Bol to dovtedy najsevernejší bod, ktorý dosiahla európska loď. ~~~ Veliteľ Nares začal o expedícii pochybovať.	At this point, Nares began having second thoughts about the expedition.	0.125824
Získané poznatky ho viedli k myšlienke, že otvorené polárne more neexistuje.	His observations led him to believe there was no open polar sea.	0.227778
Výprava však pokračovala napriek jeho obavám.	Despite his misgivings, the mission continued.	0.292683
Po prezimovaní v jednotlivých táboroch obe posádky na jar vyslali na saniach niekoľko skupín, aby preskúmali terén.	After wintering in their respective spots, both crews sent out several sledging parties to explore the terrain in the spring.	0.279
Ukázalo sa, že ich vybavenie bolo pre kruté arktické podmienky príliš chabé.	It turned out that they were poorly equipped for the brutal Arctic conditions.	0.295455
Podarilo sa im dostať až na 83° 20' zemepisnej šírky a dĺžky – bolo to najďalej, kam sa dovtedy prieskumníci zo západu dostali.	They were able to go as far as 83° 20'—the farthest any Western explorer had reached so far.	0.497368
Do cieľa im však chýbalo 725 kilometrov.	But it was 450 miles short of their goal.	0.291176
Posádka sa pre choroby a kruté podmienky musela vrátiť domov.	The team had to turn back because of illness and harsh conditions.	0.283019
Mnoho mužov trpelo skorbutom a veľa z nich umrelo.	Many were suffering from scurvy, and many died.	0.285366
Expedícii sa nepodarilo dosiahnuť cieľ a dvojica lodí sa napokon v novembri 1876 vrátila do Británie.	The expedition was cut short of its goal, and the two boats ultimately returned to Britain in November 1876.	0.286207
Britská verejnosť považovala výpravu za zlyhanie, pretože sa jej nepodarilo dosiahnuť Severný pól a mala za následok smrť mnohých mužov.	The British public felt the mission was a disaster for having failed to reach the Pole and resulting in the deaths of so many men.	0.412016
