Aféra BALCO poukázala na to, že dopingové testy boli jedna veľká fraška.	BALCO showed that drug testing was a farce.	0.430631
V súčasnosti Google využíva na zníženie uhlíkovej stopy svojich operácií kombináciu energie z obnoviteľných zdrojov a uhlíkovej kompenzácie. ~~~ Na druhej strane Microsoft, ktorý je majiteľom internetového vyhľadávača Bing, sa zaviazal, že do roku 2030 sa stane uhlíkovo negatívnym. ~~~ Momentálne pracujú na tom, aby zistili, či je táto uhlíková stopa v súčasnosti vyššia alebo nižšia.	Today, Google uses a mixture of renewable energy and carbon offsetting to reduce the carbon footprint of its operations, while Microsoft, which owns the Bing search engine, has promised to become carbon negative by 2030, and efforts are underway to investigate whether this footprint is now higher or lower.	-0.0589383
Avšak, podľa údajov Googlu priemerný používateľ jeho služieb, a teda niekto, kto si vyhľadá 25 položiek denne, pozrie si 60 minút videí na YouTube, má účet na Gmaili a používa niektoré ďalšie súvisiace služby, vyprodukuje menej ako 8 gramov CO2 denne.	According to Google’s own figures, however, an average user of its services – someone who performs 25 searches each day, watches 60 minutes of YouTube, has a Gmail account and accesses some of its other services – produces less than 8g (0.28oz) CO2 a day.	0.728571
Novšie internetové vyhľadávače sa už od začiatku snažia odlíšiť od ostatných ako zelenšie alternatívy.	Newer search engines, however, are attempting to set themselves apart as greener options from the outset.	0.296667
Dobrým príkladom je Ecosia.		-0.3
Tento internetový vyhľadávač tvrdí, že za každých 45 vyhľadaní zasadí jeden strom.	Ecosia, for example, says it will plant a tree for every 45 searches it performs.	2.82081
Takáto forma uhlíkovej kompenzácie môže pomôcť odstrániť uhlík z atmosféry. ~~~ Avšak, úspech takýchto projektov závisí od toho, ako dlho tieto stromy budú rásť a čo sa s nimi stane, keď ich zotnú.	This sort of carbon offsetting can help to remove carbon from the atmosphere , but the success of these projects often depends on how long the trees grow for and what happens to them when they are chopped down.	-0.00727273
Bez ohľadu na to, aký internetový vyhľadávač si vyberiete, vyhľadávanie informácií na webe je udržateľnejšie ako vyhľadávanie v knihách.	Regardless of the search engine you choose, using the web to find information is more sustainable than browsing in books.	0.253398
V skutočnosti má kniha v brožovanej väzbe uhlíkovú stopu približne 1 kilogramu CO2, zatiaľ čo víkendové vydanie novín sa podieľa na 0,3 až 4,1 kilogramu CO2. ~~~ Preto môžeme tvrdiť, že čítanie správ na internete je ekologickejšia voľba než zahĺbiť sa do papiera.	In fact, a paperback’s carbon footprint is around 1kg (2.2lbs) CO2, while a weekend newspaper accounts for between 0.3kg (10oz) and 4.1kg (9lbs) CO2 making reading the news online more environmentally friendly than poring over a paper.	-0.01575
Dobrou správou je, že za celý život môžete prečítať ešte veľa kníh, a to presne 2 300. ~~~ Rovnaká uhlíková stopa je cenou za to, že sa letecky dostanete z Londýna do Hong Kongu. A preto nemusíte mať výčitky prečítať si najnovší bestseller.	But you could still read a lifetime of paperbacks – 2, 300 to be precise – for the same carbon footprint as a flight from London to Hong Kong, so don’t feel too guilty for reading the next best seller.	0.0254837
(Viac sa dočítate v článku Ako znížiť vplyv vašich letov na životné prostredie.)	(Read more about how to reduce the impact your flights have on the environment.)	0.295588
Ľudia, ktorých zlákali kryptomeny, by sa tiež mali poriadne zamyslieť nad tým, aký vplyv na životné prostredie majú tieto peňažné transakcie.	Those who have been tempted by cryptocurrencies might also want to think carefully about the environmental impact of the transactions they conduct.	0.424069
Obrovské množstvá výpočtovej kapacity sú potrebné na tzv. proof of work algoritmus, ktorý potvrdzuje transakcie v distribuovanej databáze transakcií spoločnosti Blockchain.	Vast amounts of computing power are needed for the so-called proof of work algorithm that is used to validate transactions on Blockchain's distributed ledger system.	0.685851
V rámci štúdie sa zverejnil odhad, že bitcoin ako taký je zodpovedný za približne 22 miliónov ton emisií oxidu uhličitého ročne, čo je viac ako celková uhlíková stopa Jordánska.	One recent study estimated that BitCoin alone is responsible for around 22m tonnes of carbon dioxide emissions every year – greater than all the carbon footprint of the whole of Jordan.	0.288
Pozeranie online videí tvorí najväčšiu časť internetového prenosu vo svete, a to 60 %, a vytvorí 300 miliónov ton oxidu uhličitého ročne. ~~~ Podľa francúzskej neziskovej organizácie The Shift Project je to približne 1 % celosvetových emisií.	Watching online videos accounts for the biggest chunk of the world's internet traffic – 60% – and generates 300m tonnes of carbon dioxide a year, which is roughly 1% of global emissions, according to French think tank, The Shift Project.	0.190376
Ak si zapnete televízor, aby ste na ňom mohli pozerať Netflix, približne polovica energie bude napájať televízor a druhá polovica bude napájať Netflix, hovorí Mike Hazas z Lancasterskej univerzity.	If you flip on your television to watch Netflix, around half the power goes into powering the TV and half the energy goes into powering Netflix, says Lancaster University’s Mike Hazas.	0.570968
Napriek tomu niektorí odborníci tvrdia, že energia, potrebná na uchovávanie a vysielanie videí, je menšia ako oveľa viac koncentrované výpočtové aktivity vykonávané dátovými centrami.	Some experts, however, insist that the energy needed to store and stream videos is less than more intensive computational activities performed by data centres.	0.247445
Určité množstvo znečistenia klímy spôsobené činnosťou na internete pochádza z vyhľadávania pornografického obsahu.		-0.3
Pornografia tvorí tretinu videoprenosu pričom vyprodukuje rovnaké množstvo oxidu uhličitého ako Belgicko ročne.	Some of the climate pollution that comes from internet use also comes from some rather dirty browsing.	0.255172
Služby video na požiadanie, akými sú napríklad Amazon Prime a Netflix, sa podieľajú na ďalšej tretine tohto znečistenia.	Pornography accounts for a third of video streaming traffic , generating as much carbon dioxide as Belgium in a year.	0.600638
Posledná tretina znečisťujúceho videoprenosu prislúcha pozeraniu videí na YouTube a videoklipov na sociálnych sieťach.	On-demand video services such as Amazon Prime and Netflix account for another third while the final third of the video streaming carbon footprint includes watching YouTube and clips on social media.	0.321698
Netflix tvrdí, že jeho celosvetová spotreba energie dosiahla 451 000 megawatthodín ročne, čo je dostatok energie na napájanie 37 000 domácností. ~~~ Táto spoločnosť však nezaháľa a chce nakúpiť certifikáty pre energiu z obnoviteľných zdrojov a kompenzačné kredity, aby mohla odškodniť akékoľvek množstvo energie pochádzajúce zo zdrojov fosílnych palív.	Netflix says its total global energy consumption reached 451, 000 megawatt hours per year, which is enough to power 37, 000 homes , but insists it purchases renewable energy certificates and carbon offsets to compensate for any energy that comes from fossil fuel sources.	0.0797455
Vysielanie a sťahovanie hudby má tiež svoj vplyv.	Streaming and downloading music also has an impact.	0.286047
Výskumný pracovník Univerzity vo východnomLondýne a hlavný vedec projektu Eureca financovaného Európskou komisiou Rabih Bashroush vyrátal, že 5 miliárd prehraní dosiahnuté jediným hudobným klipom, a to hitom z roku 2017 s názvom Despacito, spotreboval rovnaké množstvo elektriny ako Čad, Guinejsko-bissauská republika, Somálsko, Sierra Leone a Stredoafrická republika dokopy za jediný rok.	Rabih Bashroush, a researcher at the University of East London and lead scientist at the European Commission-funded Eureca project, calculated that five billion plays clocked up by just one music video – the hit 2017 song Despacito – consumed as much electricity as Chad, Guinea-Bissau, Somalia, Sierra Leone and the Central African Republic put together in a single year.	0.680037
Bashroush dodáva: Celkové emisie za vysielanie tejto pesničky môžu byť viac ako 250 000 ton oxidu uhličitého.	The total emissions for streaming that song could be over 250, 000 tonnes of carbon dioxide, he says.	0.434902
Avšak Hazas zdôraznil, že niektoré zobrazenia na YouTube sú neúmyselné.	However, Hazas points out that some YouTube views are unintentional.	0.830455
Štúdia, ktorú viedla jeho kolegyňa Kelly Widdicksová, sa zaoberala návykmi v oblasti pozerania videí a zistila, že niektorí diváci používajú YouTube ako šum pozadia a niekedy dokonca pri ňom zaspávajú, pričom mimovoľne produkujú uhlík.	A study led by his colleague Kelly Widdicks analysed streaming habits and found that some viewers use YouTube as background noise, and sometimes even fall asleep, generating carbon for no gain.	0.416159
Obmedziť takéto používanie alebo zastaviť videá, ktoré boli neúmyselne spustené v otvorenom prehliadači, keď ich nepozeráte, by mohlo pomôcť znížiť vašu uhlíkovú stopu.	Cutting back on these uses or stopping video from playing unintentionally on an open browser when you are not watching, could help keep your carbon footprint down.	0.280435
Pohrať sa trochu s nastaveniami automatického prehrávania a prepnúť vysoké rozlíšenie na nižšie rozlíšenie, keď to nie je potrebné, tiež dokáže zázraky.	Fiddling with autoplay settings and switching from high definition to a lower resolution when it’s not necessary can also make a difference.	0.53087
Hazas tvrdí, že najefektívnejší spôsob, ako si vychutnať vašu obľúbenú reláciu je počkať, kým ju bude vysielať pozemská digitálna televízia. ~~~ Ďalším spôsobom, ako ochrániť našu klímu, je vysielanie videí radšej cez wi-fi než cez mobilnú sieť.	Hazas says the most efficient way to see your favourite programme is by waiting for it to be on terrestrial TV, or choosing to stream it over wi-fi rather than on a mobile network can also make a difference.	0.0370168
Keď ste na telefóne cez mobilnú sieť, je to asi dvakrát viac energicky náročné ako používanie wi-fi. Najlepšie by bolo počkať s pozeraním YouTube videí, až kým prídete domov, dodáva.	Using a phone over a mobile network is at least twice as energy intensive than using it over wi-fi, so if you can wait until you get home to watch YouTube that’s best, he adds.	0.470471
Jedným z najzábavnejších spôsobov, ako byť environmentálne prospešný, je pozerať filmy a televíziu v jednom.	And, one of the most enjoyable ways to be more environmentally friendly is to watch films and TV together.	0.279775
Celkovo je audio menej problematické, hovorí Hazas, pretože vysielanie zvukového signálu je menej energeticky a tiež uhlíkovo náročné ako zdieľanie obrázkov.	On the whole, audio is less problematic, says Hazas, as streaming audio is less energy and carbon intensive than streaming images.	0.499754
Výskumníci z Univerzity v Osle však zistili, že počúvanie hudby nikdy nemalo taký environmentálny vplyv ako teraz. ~~~ Uhlíková stopa sťahovania skladieb do MP3 prehrávačov dosahuje od 200 do 350 tisíc ton CO2, a to len v Spojených štátoch.	But researchers at the University of Oslo found that environmental impact of listening to music has never been higher, with a footprint of 200,000-350,000 tonnes of CO2 in the US alone for downloading tracks onto MP3 players.	0.0751337
Tiež sa domnievajú, že emisie streamovacích služieb môžu byť ešte vyššie.	It’s thought emissions for streaming services may be even higher.	0.263158
Odhliadnuc od toho, zmenu k lepšiemu dokáže spraviť aj obmedzenie množstva vypočutí danej skladby.	However, the number of times you listen to a piece of music can make a difference.	0.220588
Kúpa fyzického CD alebo platne je výhodná vtedy, keď daný album budete opakovane počúvať. ~~~ Ak však budete danú skladbu počúvať menej ako 27-krát za život, tak streamovanie je určite lepšia voľba.	Buying a physical CD or record can be better if you listen to the same album repeatedly, but if you only listen to a piece of music less than 27 times over your lifetime, then streaming can be better.	0.0324675
(Viac sa o uhlíkovej stope streamovania hudby dočítate tu.)	(Read more about the carbon footprint of streaming music.)	0.294118
Rovnako sa aj environmentálne náklady na sťahovanie videohier považujú za vyššie ako výroba a distribúcia blu-ray diskov do obchodov.	Similarly, the environmental cost of downloading video games is thought to be higher than producing and distributing Blu-Ray disks from shops.	0.281897
Pri prvom pokuse o zmapovanie spotreby energie pri hraní videohier v USA sa zistilo, že vytvára 24 megaton oxidu uhličitého ročne.	The first attempt to map the energy use of gaming in the US found it produces 24 megatonnes of carbon dioxide a year.	1.75312
Výskumníci z Kalifornskej univerzity, ktorí sa podieľali na tejto štúdii stanovili, že americkí gejmeri spotrebujú 2,4 % svojej domácej elektriny, a teda 32 terawatthodín energie ročne, čo je viac ako spotrebujú mrazničky a práčky.	Researchers behind the study at the University of California found US gamers use 2.4% of their household electricity – 32 terawatt hours of energy every year – which is more than freezers or washing machines.	1.20171
Ďalej poukázali na to, že streamovanie videohier využíva oveľa viac energie. ~~~ Uhlíková stopa videohier sa môže zhoršovať, keďže viac a viac ľudí si osvojuje hry, v ktorých je výpočtová aktivita vykonávaná skôr na diaľku než na jednotlivých konzolách, akou je napríklad Stadia od Googlu.	They also showed that streaming games uses more energy, so gaming carbon emissions may worsen as more people adopt games where the computational work is being done remotely rather than on individual consoles, such as with devices like Google’s Stadia.	-0.0225352
Hazas to však vidí ružovo.	But Hazas is more optimistic.	0.76087
Uhlíková stopa hrania hier medzi dvomi a viacerými hráčmi, ako napríklad Fortnite, nie je až taká zlá, vysvetľuje.	The carbon footprint of playing multiplayer games like Fortnite isn’t too bad, he says.	0.208
Sú navrhnuté tak, aby boli prispôsobivé a nevyžadovali také množstvo dátového prenosu.	They are designed to be responsive so they don’t require too much data traffic.	0.259701
Zoberte si napríklad viditeľnosť hráča na mape, alebo fakt, že niekto práve vystrelil. ~~~ Ani jedna z týchto skutočností nevyžaduje veľa dát k prenosu.	For example, you get a position of a character on a map, or the fact someone’s shooting, but it doesn’t take too much data to communicate that.	-0.0139831
Druhou stranou mince je fakt, že aktualizácia hier je uhlíkovo náročnejšia.	However, updating games is more carbon intensive.	0.15
Strategické hry ako Fortnite alebo Call of Duty vyžadujú veľké množstvo aktualizácií, takže sa kvôli ich sťahovaniu raz za pár týždňov pozeráme na gigabajty prenesených dát.	Flagship games like Fortnite or Call of Duty require lots of updates so you're looking at gigabytes every couple of weeks for downloads, which add new features.	0.713333
S každou takouto aktualizáciou hra získava nové funkcie.		-0.3
Ak patríte k ľuďom, ktorí radi trávia čas na sociálnych sieťach, máme pre vás dobré správy.	For those who enjoy flicking through their social media, there is some good news.	0.265217
Je to zrejme tá najmenej uhlíkovo nebezpečná forma digitálnej zábavy.	It is arguably the least carbon intensive form of digital entertainment.	0.290164
Podľa správy o udržateľnosti, ktorú zverejnil Facebook, ročná uhlíková stopa jedného používateľa je 299 gramov CO2, čo je menej, ako uvariť si vodu na jeden čaj.	According to Facebook’s sustainability report, a user’s annual carbon footprint is 299g CO2, which is less than boiling the water for a pot of tea.	0.383933
No, ak zoberieme do úvahy fakt, že túto platformu využíva viac ako 1 miliarda používateľov, tak už hovoríme o desiatkach litrov čaju.	But if you consider the platform has more than one billion users, that’s a lot of pots of tea.	0.15974
Jednou z možností, ako šetriť uhlík, je zablokovať niektoré funkcie sociálnych sietí a ostatných aplikácií.	It’s possible to save carbon by disabling some features for social media and other apps.	0.224
Zistili sme, že aktualizácie a automatická záloha v službe cloud tvorí 10 % celkového prenosu mobilných zariadení, tvrdí Hazas.	We've found that app updates and automatic cloud backups are about 10% of traffic from mobile phones, says Hazas.	0.55625
To znamená, že ak vypnete nepotrebné zálohovanie súborov a automatické aktualizácie, táto spotreba sa zníži.	So, switching off unnecessary cloud backups and switching off automatic downloads for app updates are good things to do.	0.274737
Tento problém je však väčší ako my. Potrebné sú tiež zmeny v rámci priemyslu, a teda zabezpečenie zníženia uhlíkových emisií, dodáva Elizabeth Jardimová, vedúca podniková aktivistka environmentálnej kampane organizácie Greenpeace.	But while changes in our personal online behaviour will only take us so far, there also needs to be change within the industry to ensure that carbon emissions can be reduced, says Elizabeth Jardim, a senior corporate campaigner at environmental campaign group Greenpeace.	0.548738
Predpokladá sa, že do roku 2040 budú emisie skleníkových plynov IT priemyslu tvoriť 14 % celkových emisií. ~~~ V dôsledku toho Medzinárodná telekomunikačná únia, patriaca pod OSN, stanovila tomuto sektoru cieľ, aby v priebehu najbližších 10 rokov zredukoval svoje emisie o 45 %.	The IT industry’s greenhouse gas emissions are predicted to reach 14% of global emissions by 2040 but at the same time the UN's International Telecommunication's Union has set the industry the target of reducing its emissions by 45% over the next decade.	-0.0154206
Je potrebné zabezpečiť, aby spoločnosti, ktoré vytvárajú internet, išli príkladom a postupne vymieňali fosílne palivá za energie z obnoviteľných zdrojov, hovorí Jardimová.	It’s more important to make sure the companies building the internet are switching to renewable and phasing out fossil fuels, says Jardim.	0.216102
Až vtedy budeme môcť vyhľadávať bez pocitu viny.	That's when searching will be more guilt free.	0.285
Predstavme si planétu Zem bez vírusov.	Let’s imagine planet Earth without viruses.	0.255882
Mávneme prútikom a všetky zmiznú.	We wave a wand, and they all disappear.	0.77
Vírus besnoty je zrazu preč.	The rabies virus is suddenly gone.	0.24
Vírus detskej obrny je preč.	The polio virus is gone.	0.242857
Nesmierne smrteľný vírus eboly je preč.	The gruesomely lethal Ebola virus is gone.	0.282857
Vírus osýpok, mumpsu a rôzne nákazy sú preč.	The measles virus, the mumps virus, and the various influenzas are gone.	0.110526
Množstvo ľudského utrpenia a smrti klesne.	Vast reductions of human misery and death.	0.291892
HIV zmizne, AIDS katastrofa sa nikdy nestala.	HIV is gone, and so the AIDS catastrophe never happened.	0.99
Vírusy nipah, hendra, machupo a sin nombre sú preč, napriek chaosu, ktorý spôsobili.	Nipah and Hendra and Machupo and Sin Nombre are gone — never mind their records of ugly mayhem.	0.275342
Horúčka dengue zmizla.	Dengue, gone.	0.115385
Všetky rotavírusy sú preč, veľké šťastie pre státisíce detí z rozvojových krajín, ktoré na tieto vírusy umierajú každoročne.	All the rotaviruses, gone, a great me rcy to children in developing countries who die by the hundreds of thousands each year.	0.291429
Zika vírus je preč.	Zika virus, gone.	1.03125
Vírus žltej horúčky je preč.	Yellow fever virus, gone.	0.273913
Herpes B, prenášaný niektorými opicami, a pri prenose na človeka často smrteľný, je preč.	Herpes B, carried by some monkeys, often fatal when passed to humans, gone.	0.667634
Už nikto netrpí ovčími kiahňami, hepatitídou, pásovým oparom a ani obyčajnou chrípkou.	Nobody suffers anymore from chicken pox, hepatitis, shingles, or even the common cold.	0.296
Ovčie kiahne, zástupcovia osýpok?	Variola, the agent of smallpox?	0.267857
Ten vírus bol vo voľnej prírode vyhubený do roku 1977, teraz zmizne aj z prísne strážených mrazničiek, kde sú uložené posledné vzorky.	That virus was eradicated in the wild by 1977, but now it vanishes from the high - security freezers where the last spooky samples are stored.	0.419908
Vírus SARS z roku 2003, alarm, ktorý ako už teraz vieme, signalizoval modernú pandemickú éru, je preč.	The SARS virus of 2003, the alarm that we now know signaled the modern pandemic era, gone.	0.585333
A samozrejme, zákerný SARS-CoV-2 vírus, pôvodca COVIDU 19, zradný, nebezpečný, a veľmi prenosný je preč.	And of course the nefarious SARS-CoV-2 virus, cause of COVID-19 and so bewilderingly variable in its effects, so tricky, so dangerous, so very transmissible, is gone.	0.319368
Cítite sa lepšie?	Do you feel better?	0.28125
Necíťte sa.	Don’t.	0.128571
Takýto scenár je nejasnejší, než si myslíte.	This scenario is more equivocal than you think.	0.284615
Faktom je, že žijeme vo svete vírusov – vírusov ktoré sú neuveriteľne rozmanité, rozšírené všade okolo nás.	The fact is, we live in a world of viruses — viruses that are unfathomably diverse, immeasurably abundant.	0.293333
Samotné oceány môžu obsahovať viac vírusových častíc ako hviezdy v pozorovateľnom vesmíre.	The oceans alone may contain more viral particles than stars in the observable universe.	0.284211
Cicavce môžu prenášať prinajmenšom 320 000 rôznych druhov vírusov.	Mammals may carry at least 320, 000 different species of viruses.	0.583929
Keď pridáte vírusy napádajúce necicavčie zvieratá, rastliny, suchozemské baktérie a každého možného hostiteľa, celkový počet sa rovná . . . množstvám.	When you add the viruses infecting nonmammalian animals, plants, terrestrial bacteria, and every other possible host, the total comes to … lots.	0.283065
A za veľkými množstvami sa skrývajú veľké následky. Mnohé z týchto vírusov prinášajú životu na Zemi, vrátane ľudského života, viac osohu ako škody.	And beyond the big numbers are big consequences: Many of those viruses bring adaptive benefits, not harms, to life on Earth, including human life.	0.295161
Bez nich by sme nemohli žiť.	We couldn’t continue without them.	0.2125
Bez nich by sme sa nevyvinuli z pôvodnej formy života.	We wouldn’t have arisen from the primordial muck without them.	0.247826
Existujú dve dĺžky DNA, ktoré pochádzajú z vírusov a teraz sú súčasťou genómov ľudí a ďalších primátov, bez ktorých by – prekvapivý fakt – nebolo možné otehotnieť.	There are two lengths of DNA that originated from viruses and now reside in the genomes of humans and other primates, for instance, without which — an astonishing fact — pregnancy would be impossible.	0.234783
Existuje vírusová DNA uhniezdená medzi génmi suchozemských zvierat, ktorá pomáha baliť a ukladať spomienky – ešte prekvapivejšie – do drobných proteínových bubliniek, je to ohromujúce.	There’s viral DNA, nestled among the genes of terrestrial animals, that helps package and store memories — more astonishment — in tiny protein bubbles.	0.225581
Ďalšie gény, kooptované z vírusov, prispievajú k rastu embryí, regulujú imunitný systém, odolávajú rakovine – to všetko sú dôležité javy, ktorým iba teraz začíname rozumieť.	Still other genes co-opted from viruses contribute to the growth of embryos, regulate immune systems, resist cancer — important effects only now beginning to be understood.	0.411331
Ukázalo sa, že vírusy zohrali dôležitú úlohu pri spúšťaní dôležitých evolučných zmien.	Viruses, it turns out, have played crucial roles in triggering major evolutionary transitions.	0.272368
Ak by ste zlikvidovali všetky vírusy, ako v našom myšlienkovom experimente, obrovská biologická rozmanitosť, ktorá zdobí našu planétu, by sa zrútila ako krásny drevený domček, v ktorom by ani klinec nezostal na mieste.	Eliminate all viruses, as in our thought experiment, and the immense biological diversity gracing our planet would collapse like a beautiful wooden house with every nail abruptly removed.	0.251553
Potápač pri plávajúcom žralokovi v Akváriu Tichého oceánu v Long Beach v Kalifornii ukazuje obrázok bakteriofága, je to druh vírusu napádajúci baktériu.	As a zebra shark cruises by, a diver at Aquarium of the Pacific in Long Beach, California, displays an image of a bacteriophage, a type of virus that infects bacteria.	0.414526
Baktériofágy sú neškodné pre rastliny a zvieratá a nesmierne dôležité pre zdravý morský ekosystém.	Harmless to plants and animals, bacteriophages are critical for healthy marine ecosystems.	0.2775
Oceány na Zemi sa takýmito a inými vírusmi hemžia.	The Earth’s oceans teem with these and other viruses.	0.27907
Akváriá Tropical Reef Habitat a Coral Garden obsahujú 1 389 874 litrov vody a približne 5,32 biliárd vírusov.	The aquarium’s Tropical Reef Habitat and Soft Coral Garden hold 367, 166 gallons of water, with an estimated 5.32 quadrillion viruses.	1.01851
Ak by boli zoradené vedľa seba, tieto vírusy by Zem obišli takmer osemkrát.	If lined up side by side, those viruses would circle the Earth almost eight times.	0.490848
Alexandru Rae Santorovú, doktorandku pracujúcu s Jedom Fuhrmanom, profesorom na Univerzite v Južnej Kalifornie sme poprosili, aby spočítala vírusy v Tichomorskom akváriu Tropical Reef Habitat a v Soft Coral Garden.	To count viruses in the Aquarium of the Pacific’s Tropical Reef Habitat and Soft Coral Garden, we enlisted Alexandra Rae Santora, a doctoral student working with Jed Fuhrman, a professor at the University of Southern California.	0.964516
Prefiltrovala vzorku cez 0,02 mikrónový filter, ktorý zachytáva baktérie a vírusy.	She ran a sample through a 0.02-micron filter, which catches bacteria and viruses.	0.791549
Použila farbivo na DNA, aby boli viditeľné pod epifluorescenčným mikroskopom.	She used a DNA-binding stain to make them visible under an epifluorescence microscope.	0.273913
Väčšie organizmy sú baktérie, menšie bodky sú vírusy.	The larger organisms are bacteria; the dots are viruses.	0.287234
Pomocou počítacej mriežky určila počet vírusov v zornom poli.	With a counting grid, she determined the number of viruses in the field of view.	0.227778
Vďaka poznaniu veľkosti filtra a objemu vody mohla vypočítať populáciu na liter.	Knowing the filter size and the volume of water allowed her to calculate the population per gallon.	0.24
Áno, vírus je parazit, občas je však ten parazitizmus podobnejší symbióze, vzájomnej závislosti, z ktorej ťaží hosť aj hostiteľ.	A virus is a parasite, yes, but sometimes that parasitism is more like symbiosis, mutual dependence that profits both visitor and host.	0.289189
Vírus je ako oheň, v žiadnom prípade nie je ani úplne dobrý, ani úplne zlý; môže priniesť úžitok aj skazu.	Like fire, viruses are a phenomenon that’s neither in all cases good nor in all cases bad; they can deliver advantage or destruction.	0.218182
Všetko záleží: záleží na víruse, na situácii, na vášom uhle pohľadu.	Everything depends: depends on the virus, on the situation, on your point of reference.	0.218644
Sú padlými anjelmi evolúcie, ohromné a hrozivé.	They are the dark angels of evolution, terrific and terrible.	0.221429
Preto sú zaujímavé.	That’s what makes them so interesting.	0.0333333
Aby sme dokázali oceniť rozmanitosť vírusov, musíme začať od základov s tým, čo sú a čo nie.	To appreciate the multifariousness of viruses, you need to start with the basics of what they are and what they are not.	0.21039
Je jednoduchšie povedať, čo nie sú.	It’s easier to say what they are not.	0.3
Nie sú to žijúce bunky.	They are not living cells.	0.255
Bunka, ktorá sa zhromažďuje do obrovských množstiev, aby vytvorila moje alebo vaše telo alebo telo chobotnice či prvosienky, obsahuje prepracované mechanizmy na tvorbu proteínov, zhromažďovanie energie a vykonávanie iných špecializovaných funkcií, v závislosti od toho, či ide o svalovú bunku, o bunku v dužine rastliny alebo o neurón.	A cell, of the sort assembled in great number to make up your body or mine or the body of an octopus or a primrose, contains elaborate machinery for building proteins, packaging energy, and performing other specialized functions — depending on whether that cell happens to be a muscle cell or a xylem cell or a neuron.	0.331567
Aj baktéria je bunka s podobnými vlastnosťami, hoci je oveľa jednoduchšia.	A bacterium is also a cell, with similar attributes, though much simpler.	0.290476
Vírus nie je nič z toho.	A virus is none of this.	0.3
Určiť, čo je vírus, bolo také komplikované, že jeho definície sa za posledných 120 rokov neustále menili.	Saying just what a virus is has been complicated enough that definitions have changed over the past 120 - some years.	2.10667
