Podvedomie je podivuhodný úkaz.	Consciousness is a strange beast.	0.289655
Presnejšie určili príčiny nesprávneho fungovania špecifickej oblasti mozgu a teraz riešia otázku, ako môžu tieto poruchy viesť k takmer nadprirodzeným zážitkom, kedy opustíme vlastné telo a sledujeme ho zvonka.	They have narrowed down the cause to malfunctions in a specific brain area and are now working out how these lead to the almost supernatural experience of leaving your own body and observing it from afar.	0.377059
Tiež využívajú mimotelové zážitky v súvislosti s riešením dlhodobého problému: ako dokážeme vytvoriť a udržať si zmysel pre svoje vlastné ja.	They are also using out-of-body experiences to tackle a long- standing problem: how we create and maintain a sense of self.	0.384441
Celú situáciu zdramatizovali aj autori ako Dostojevský, Wilde, de Maupassant and Poe, z ktorých niektorí písali o mimotelových zážitkoch z vlastnej skúsenosti ako o zážitkoch väčšinou spojených s epilepsiou, migrénou, mŕtvicou, nádorom v mozgu, užívaním drog alebo dokonca zážitkom blízko smrti.	Dramatised to great effect by such authors as Dostoevsky, Wilde, de Maupassant and Poe – some of whom wrote first-hand-knowledge – out-of-body experiences are usually associated with epilepsy, migraines, strokes, brain tumours, drug use and even near-death experiences.	0.578079
Zároveň je však bežné, že mimotelový zážitok môžu mať aj ľudia bez akýchkoľvek zreteľných neurologických porúch.	It is clear, though, that people with no obvious neurological disorders can have an out-of-body experience.	0.283871
Takýto stav zažije počas svojho života odhadom asi 5 % zdravých ľudí.	By some estimates, about 5 percent of healthy people have one at some point in their lives.	2.75202
Ako presne môžeme definovať mimotelový stav?	So what exactly is an out-of-body experience?	0.3
Nedávna definícia odhalila, že daný stav zahŕňa niekoľko nezvyčajných skúseností.	A definition has recently emerged that involves a set of increasingly bizarre perceptions.	0.275342
Najmenej závažná z nich je doppelgänger (dvojník): cítite prítomnosť osoby, alebo vidíte osobu, o ktorej viete, že ste to vy, hoci vy ste stále vo svojom tele.	The least severe of these is a doppelgänger experience: your sense the presence of or see a person you know to be yourself, though you remain rooted in your own body.	0.507569
Tento stav často prechádza do ďalšieho štádia, kedy váš zmysel pre vaše vlastné ja putuje medzi vaším skutočným telom a vaším dvojníkom.	This often progresses to stage 2, where your sense of self moves back and forth between your real body and your doppelgänger.	0.268571
Presne to sa prihodilo Bruggerovmu mladému pacientovi.	This was what Brugger's young patient experienced.	0.273333
Nakoniec vaše druhé ja celkom opúšťa vaše telo a sleduje ho zvonka, často z vyvýšenej polohy, akou je napríklad strop.	Finally, your self leaves your body altogether and observes it from outside, often an elevated position such as the ceiling.	0.282
Takéto odlúčenie je najzvláštnejší prejav mimotelového zážitku, hovorí Olaf Blanke, neurológ zo Švajčiarskeho federálneho technologického inštitútu v Lausanne.	This split is the most striking feature of an out- of-body experience, says Olaf Blanke, a neurologist at the Swiss Federal Institute of Technology in Lausanne.	0.758243
Prekvapivo príjemné	Surprisingly pleasant	0.268421
Niektoré mimotelové zážitky zahŕňajú len jedno z týchto štádií, iné všetky tri postupne.	Some out-of-body experiences involve just one of these stages: some all three, in progression.	0.280519
Je zvláštne, že mnohí ľudia tieto zážitky opísali ako príjemné.	Bizarrely, many people who have one report it as a pleasant experience.	0.267273
Čo sa teda mohlo diať v mozgu, ktorý vytvoril tak zdanlivo nemožný vnem?	So what could be going on in the brain to create such a seemingly impossible sensation?	0.240984
Prvá hmatateľná stopa sa objavila v roku 2002, kedy Blankov výskumný tím náhodne prišiel na to, ako privodiť úplný mimotelový zážitok.	The first substantial clues came in 2002, when Blankes team stumbled across a way to induce a full-blown out-of-body experience.	0.429221
Práve vykonávali operáciu mozgu 43-ročnej ženy s vážnou epilepsiou, aby určili, ktorú časť jej mozgu musia za účelom liečby odstrániť.	They were performing exploratory brain surgery on a 43-year-old woman with severe epilepsy to determine which part of her brain to remove in order to cure her.	0.253448
Po stimulácií tzv. temporoparietálneho spojenia v oblasti pri temene hlavy žena oznámila, že sa vznášala nad jej vlastným telom a pozerala sa naň.	When they stimulated a region near the back of the brain called the temporoparietal junction (TPJ), the woman reported that she was floating above from her own body and looking down on herself.	0.3362
Táto situácia má neurologický význam.	This makes some kind of neurological sense.	0.264706
Temporoparietálne spojenie spracováva zrakové a hmatové signály, rovnováhu a priestorové informácie z vnútorného ucha a proprioceptívne vnemy z kĺbov, šliach a svalov, vďaka ktorým vieme rozlíšiť vzájomnú polohu jednotlivých častí nášho tela.	The TPJ processes visual and touch signals, balance and spatial information from the inner ear, and the proprioceptive sensations from joints, tendons and muscles that tell us where our body parts are in relation to one another.	0.270466
Jeho úlohou je spojiť tieto informácie, aby vytvorili pocit sebauvedomenia: zmysel pre vnímanie polohy svojho tela, schopnosť odlíšiť ho od okolia a rozlíšiť, kde sa končí a kde začína zvyšok sveta.	Its job is to meld these together to create a feeling of embodiment: a sense of where your body is, and where it ends and the rest of the world begins.	0.371926
Blanke a jeho kolegovia predpokladali, že mimotelový stav nastáva vtedy, keď z akéhosi dôvodu temporoparietálne spojenie zlyhá a prestane správne fungovať (Nature, roč. 419, s. 269).	Blanke and colleagues hypothesised that out-of-body experiences arise when, for whatever reason, the TPJ fails to do this properly (Nature, vol 419, p 269).	0.726269
Neskôr väčšie množstvo dôkazov ukázalo, že nesprávne fungovanie temporoparietálneho spojenia tvorí gro mimotelového stavu.	More evidence later emerged that a malfunctioning TPJ was at the heart of the out- of-body experience.	0.22069
V roku 2007 sa napríklad Dirk De Ridder z belgickej Univerzitnej nemocnice v Antwerpách snažil pomôcť 63-ročnému mužovi s ťažkou formou tinitu.	In 2007, for example, Dirk De Ridder of University Hospital Antwerp in Belgium was trying to help a 63-year-old man with intractable tinnitus.	0.686346
V poslednom pokuse o utíšenie hučania v ušiach Ridderov tím pacientovi implantoval elektródy blízko jeho temporoparietálnej oblasti, čo síce pacientov tinitus nevyliečilo, no takmer mu to privodilo mimotelový stav: cítil, ako sa jeho druhé ja posunulo o 50 centimetrov dozadu a potom vľavo od jeho tela.	In a last-ditch attempt to silence the ringing in his ears, Ridders team implanted electrodes near the patient's TPJ. ~~~ It did not cure his tinnitus, but it did lead to him experiencing something close to an out-of-body experience: he would feel his self shift about 50 centimeters behind and to the left of his body.	0.398143
Tento pocit trval viac než 15 sekúnd, čo je dostatočne dlho na zachytenie PET snímky jeho mozgu.	The feeling would last more than 15 seconds, long enough to carry out PET scans of his brain.	2.28442
Tím samozrejme zistil, že temporoparietálne spojenie bolo počas tejto skúsenosti aktivované.	Sure enough, the team found that TPJ was activated during the experiences.	0.210938
Poznatky o neurologických poruchách či operáciách sú síce široké, avšak nemožno ich brať relevantne, keďže takéto prípady sú ojedinelé.	Insights from neurological disorders or brain surgery can only take you so far, however, not least because cases are rare.	0.259615
Požiadavka rozsiahlejších štúdií viedla Blanka a jeho tím používať techniku zvanú úlohy transformácie vlastného tela, aby prinútili mozog pracovať tak, ako počas mimotelového stavu.	Larger-scale studies are required, and to achieve this Blanke and others have used a technique called own-body transformation tasks to force the brain to do things that is seemingly does during an out-of-body experience.	0.365283
V týchto experimentoch sú účastníkom zobrazované záblesky postavičiek s rukavicou na jednej ruke.	In these experiments, subjects are shown a sequence of brief glimpses of cartoon figures wearing a glove on one hand.	0.254651
Niektoré z týchto postavičiek sú otočené k účastníkovi tvárou, iné chrbtom (všimnite si diagram nižšie).	Some of the figures face the subject, others have their back turned (see diagram, below).	0.240789
Úlohou je predstaviť si seba v pozícií kreslenej postavičky a cvičiť s tou rukou, na ktorej je rukavica.	The task is to imagine yourself in the position of the cartoon figure in order to work out with hand the glove is on.	0.276136
Môže sa vám stať, že sa v mysli otáčate spolu so striedajúcimi sa postavičkami.	To do this, you may have to mentally rotate you own body as one image succeeds another.	0.277612
Počas vykonávania týchto úloh výskumníci mapovali u dobrovoľníkov mozgovú aktivitu s EEG prístrojom a zistili, že temporoparietálne spojenie sa aktivovalo vtedy, keď si dobrovoľníci predstavili samých seba v mimotelovej pozícií, a teda pozícií inej, než sa v danej chvíli nachádzali.	As volunteers performed these tasks, the researches mapped their brain activity with an EEG and found that the TPJ was activated when the volunteers imagined themselves in a position different from their actual orientation – an out-of- body position.	0.40493
Tím tiež aktivoval temporoparietálne spojenie pomocou transkraniálnej magnetickej stimulácie, neinvazívnej techniky, ktorá dočasne vyradí z funkcie niektoré časti mozgu.	The team also zapped the TPJ with transcranial magnetic stimulation, a non- invasive technique that can temporarily disable parts of the brain.	0.229268
Dobrovoľníkom s porušeným temporoparietálnym spojením trvalo omnoho dlhšie vykonávať úlohy transformácie vlastného tela (The Journal of Neuroscience, roč. 25, s. 550).	With a disrupted TPJ, volunteers took significantly longer to do the own-body transformation task (The Journal of Neuroscience, vol 25, p 550).	1.05721
Ostatné časti v mozgu, vrátane častí blízko temporoparietálneho spojenia, tiež preukazujú aktivitu.	Other brain regions have been implicated too, including ones close to the TPJ.	0.201493
Všeobecná zhoda nastáva vtedy, keď tieto oblasti fungujú správne a cítime sa ako vo svojom tele.	The emerging consensus is that when these regions are working well, we feel at one with our body.	0.296296
No akonáhle sa porušia, náš cit pre vnímanie vlastného tela sa vytráca.	But disrupt them, and our sense of embodiment can float away.	0.248077
To však nevysvetľuje zvláštnu záhadu mimotelového zážitku.	This does not, however, explain the most striking feature of out-of-body experiences.	0.175472
Je veľkou hádankou, prečo si ľudia v mimotelovej pozícií predstavujú nielen ich vlastné telo, ale aj veci okolo nich, ako napríklad druhých ľudí, hovorí Brugger.	It's a great puzzle why people, from their out-of-body locations, visualise not only their bodies but things around them, such as other people, says Brugger.	0.406429
Odkiaľ pochádza táto informácia?	Where does this information come from?	0.26
Jedna skupina dôkazov súvisí s tzv. spánkovou paralýzou, kedy sa zdravý človek nemôže hýbať, akoby práve spal, a to aj napriek tomu, že nespí (Pozri Zóna šera).	One line of evidence comes from the condition known as sleep paralysis, in which healthy people find their body immobilised as in sleep despite being conscious (See The twilight zone).	0.253333
Allan Cheyne z kanadskej Univerzity of Waterloo v Ontáriu počas prieskumu na vzorke takmer 12 000 ľudí so spánkovou paralýzou zistil, že mnohí z nich nahlásili dojmy podobné mimotelovým zážitkom.	In a survey of nearly 12, 000 people who had experienced sleep paralysis, Allan Cheyne of the University of Waterloo in Ontario, Canada, found that many reported sensations similar to out-of-body experiences.	0.76411
Medzi nimi boli javy ako vznášanie sa nad vlastným telom, sledovanie ho a otáčanie sa za ním.	These included floating of of their body and turning back to look at it.	0.21
Cheyne tvrdí, že príčinou môže byť rozpor medzi informáciami v mozgu.	Cheyne suggests that this might be the result of conflicts of information in the brain.	0.48
Počas spánkovej paralýzy je možné dosiahnuť stav podobný REM spánku, kedy sa v snoch hýbete alebo lietate.	During sleep paralysis, it is possible to enter a REM-like state in which you dream of moving or flying.	0.286207
Za týchto okolností vnímate pohyb, no mozog si uvedomuje, že vaše telo sa nemôže hýbať.	Under these circumstances you are conscious of a sensation of movement, yet your brain is aware that your body cannot move.	0.178378
Mozog v snahe vyriešiť tento spor medzi zmyslami pozastaví cit pre vnímanie nášho vlastného ja (Cortex, roč. 45, s. 201).	In an attempt to resolve this sensory conflict, the brain cuts the sense of self loose (Cortex, vol 45, p 201).	0.692702
Mozog to rieši tak, že rozdelí naše ja od tela.	It resolvess by splitting the self from its body, says Cheyne.	0.192308
Zdá sa, že naše ja ide s pohybom, zatiaľ čo telo zostáva v úzadí, hovorí Cheyne.	The self seems to go with the movement and the body gets left behind.	0.252632
Možno sú podobné zmyslové rozpory príčinou klasického mimotelového zážitku.	Perhaps similar sensory conflicts cause classic out-of-body experiences.	0.290909
Medzitým Brugger na základe tvrdení jedného z jeho pacientov, ktorý zažil mimotelový stav, upozorňuje na fakt, že niekto dokáže vidieť veci aj vtedy, keď má zavreté oči.	Brugger, meanwhile, has a suggestion for how someone might see things even though their eyes are shut, based on one of his patients who reported an out-of-body experience.	0.297917
Pacientov otec, ktorý sedel pri jeho posteli, tvrdí, že chlapec mal zavreté oči.	According to this patient's father, who was sitting by the bedside, he had his eyes closed.	0.265217
Mladík neskôr povedal, že videl z perspektívy nad posteľou, ako ide otec do kúpeľne, vracia sa s vlhkým uterákom a utiera mu čelo.	Yet he later reported seeing, from a perspective above his bed, his father going to the bathroom, returning with a wet towel and towelling his forehead.	0.372706
Pacient zrejme počul svojho otca odkráčať do kúpeľne, kde púšťal vodu a musel cítiť na hlave vlhký uterák.	The patient presumably heard his father walk to the bathroom and run some water, and must have felt the wet towel on his head.	0.253333
Brugger sa domnieva, že jeho mozog premenil tieto stimuly do vizuálnej podoby podobne ako počas synestézie, čo však stále nevysvetľuje perspektívu zvonka.	Brugger speculates that his brain converted those stimull into a visual image, not unlike what happens in synaesthesia. ~~~ This still does not, however, explain the external vantage point.	0.0338017
Nie je jasné, ako to mozog vytvára, hovorí kognitívny filozof Thomas Metzinger z nemeckej Univerzity Johannesa Gutenberga v Mainze.	Its not clear how the brain constructs that, says cognitive philosopher Thomas Metzinger of the Johannes Gutenberg University in Mainz, Germany.	0.571053
Metzinger uvádza teóriu.	Metzinger does have a suggestion.	0.958696
Spomeňte si na nejaký zážitok z nedávnej dovolenky.	Imagine an episode from a recent holiday.	0.225
Predstavujete si ju z pohľadu prvej osoby alebo z pohľadu tretej osoby s vami na scéne?	Do you visualise it from a first-person perspective, or from a third-person perspective with yourself in the scene?	0.193151
Pre väčšinu z nás prekvapivo platí druhá možnosť.	Surprisingly, most of us do the latter.	0.220588
Pri kódovaní vizuálnych spomienok používa mozog vonkajšiu perspektívu, hovorí Metzinger.	In encoding visaul memories, the brain already uses an external perspective, says Metzinger.	0.568977
Nevieme povedať prečo a ako, ale ak mozog počas mimotelovej skúsenosti čerpá z takejto databázy, môže byť prostriedkom pre vnímanie seba z vonkajšej perspektívy.	We don't know much about why and how, but if something is extracted from such a database (during an out-of-body experience), there may be material for seeing oneself from the outside.	0.387626
Bez ohľadu na tento mechanizmus skúmanie mimotelových skúseností so sebou prináša prísľub pomoci s riešením vážnej otázky z oblasti neurovedy a filozofie: ako sa vytvára vedomie vlastného ja?	Whatever the mechanism, the study of out-of-body experiences promises to help answer a profound question in neuroscience and philosophy: how does self- consciousness emerge?	0.392185
Je viac než jasné, že máme zmysel pre vlastné ja, ktoré väčšinu času prebýva v našom tele.	Its abundantly clear to us that we have a sense of self that resides, most of the time, in our bodies.	0.268
No z mimotelových skúseností je tiež jasné, že zmysel pre ja sa môže zdanlivo oddeliť od nášho fyzického bytia.	Yet it is also clear from out-of-body experiences that the sense of self can seemingly detach from your physical body.	0.280851
Ako sú teda naše ja a naše telo prepojené?	So how are the self and the body related?	0.291176
Na zodpovedanie tejto otázky začal Metzinger spolupracovať s Blankom a jeho kolegami na experimente súvisiacom s mimotelovými zážitkami.	To address that question, Metzinger has teamed up with Blanke and his colleagues in an experiment that induces an out-of-body experience in healthy volunteers.	0.415395
Experiment vykonávali na zdravých dobrovoľníkoch. ~~~ Každého dobrovoľníka natáčali zozadu a obraz im premietali na obrazovke pripevnenej k ich hlave v dvojmetrovej vzdialenosti.	They film each volunteer from behind and project the image into a head- mounted display worn by the volunter so that they see an image of themselves standing about 2 metres in front.	0.0255352
Experimentátori ich potom udreli do chrbta, čo u nich vyvolalo pocit, akoby udreli ich virtuálne ja.	The experimenters then stroke the volunteers back – which the volunteers see being done to their virtual self.	0.272093
To spôsobilo zmyslový konflikt a viacerí mali pocit, že ich zmysel pre vlastné ja prechádza z fyzického tela do virtuálneho ja (Science, roč. 317, s. 1096).	This creates sensory conflict, and many reported feeling their sense of self migrating out of their physical bodies and towards the virtual one (Science, vol 317, p 1096).	0.603788
Pre Metzingera sú tieto experimenty dôkazom, že vedomie vlastného ja je späté s pocitom vlastnenia tela, no je v tom viac než len o obyčajný pocit stelesnenia.	To Metzinger, these experiments demonstrate that self-consciousness begins with the feeling of owning a body, but there is more to self – consciousness than the mere feelings of emodiment.	0.239552
Pocit vlastného ja má mnoho zložiek, hovorí Metzinger.	Selfhood has many components, says Metzinger.	0.677352
Snažíme sa ich postupne poskladať, staviame tehlu po tehle.	We are trying to fill them in, building block by building block.	0.288462
Toto je len začiatok.	This is just the beginning.	0.221053
V úlohách transformácie vlastného tela sú účastníkom na obrazovke premietané záblesky kreslených postavičiek, ktoré sa každú sekundu striedajú vždy po jednej v náhodnom poradí.	In an own-body transformation task, cartoon figures are flashed onto a screen, one at a time, at random, every second.	0.138
Úlohou dobrovoľníkov je predstaviť si seba v pozícií kreslenej postavičky a cvičiť s tou rukou, na ktorej je rukavica.	Volunteers are asked to put themselves in the position of the character to work out which hand the glove is on.	0.270652
Úloha si vyžaduje, že účastníci sa musia akoby otáčať v priestore a tým vzniká obraz mozgovej aktivity podobný obrazu mimotelového stavu.	The task requires them to mentally rotate their body in space and causes patterns of brain activity similar to that of an out-of-body experience.	0.287288
Anil Ananthaswamy je prispievajúci redaktor časopisu New Scientist.	Anil Ananthaswamy is a contributing editor for New Scientist.	1.59444
Hypnóza Pozrite sa mi do očí môže odhaliť nezvyčajné spôsoby zlého fungovania nášho mozgu, hovorí Nicola Jonesová.	Look into my eyes Hypnosis can reveal the bizzare ways in which our brains misbehave, says Nicola Jones.	0.429167
Práve mi idú znehybniť ľavú nohu, neznáma sila prevezme kontrolu nad mojím ramenom a je dosť možné, že oslepnem.	I am about to have my left leg paralysed, my arm taken over by an alien force and, quite possibly, be made blind.	0.290217
Priznávam, že som trocha nervózna, no zároveň dúfam, že to všetko bude fungovať.	I confess I'm a bit nervous. ~~~ But also, strangely, I hope it all works.	-0.0225
Tieto ujmy na mojom tele nespôsobí skalpel, ale hypnóza.	These insults to my body will not be inflicted with a scalpel, but instead induced using hypnosis.	0.0918367
Môj hypnotizér David Oakley ma uisťuje, že ak sa objavia účinky, budú len dočasné.	The effects, if they occur, will only be temporary, my hypnotist, David Oakley, reassures me.	0.457143
Toto všetko sa vykonáva v záujme vedy.	Its all being done in the interest of science.	0.245455
Oakley je bývalý profesor Londýnskej univerzity.	Oakley is an emeritus professor at University College London.	0.66039
Ako jeden z mála výskumníkov dúfa, že ak ľudia začnú brať hypnózu vážne, prestane sa vnímať ako akási šarlatánska veda (Pozri Čo je hypnóza?).	He is one of a handful of researchers who hope that by taking hypnosis seriously, they will help to dispel its quackerytainted image (see What's hypnosis?).	0.27
Myslím si, že hypnóza je všeobecne odmietaná a podceňovaná, hovorí Irvin Kirsch, psychológ z Univerzity v Hulle, Spojené Kráľovstvo.	I think hypnosis is underaccepted and undervalued, says psychologist Irving Kirsch at the University of Hull, UK.	0.247959
Čiastočne za to môžu strašné príbehy zverejnené v knihách a filmoch, vďaka ktorým ľudia vnímajú hypnózu ako čudný a neuveriteľný jav, z ktorého si ešte stále mnoho ľudí robí posmech.	Partly because of lurid tales published in books and movies, which lead to views of hypnosis as a strange and unbelievable state.Still many pepole scoff.	0.475385
Oakley sa snaží nielen napraviť reputáciu hypnózy, ale aj zlepšiť chápanie niektorých najzvláštnejších neurologických otázok.	Aside from improving the reputation of hypnosis, Oakley also aims to better understand some of the strangest neurological conditions out there.	0.455357
Pointou je privodiť pomocou hypnózy symptómy inak zdravým ľuďom.	The idea is to use hypnosis to induce symptoms in otherwise healthy people.	0.263158
To umožňuje, že sa symptómy u tzv. virtuálnych pacientov spúšťajú a miznú doslova lusknutím prstov, vďaka čomu sa ľahšie skúma abnormálna mozgová aktivita zodpovedná za ich vznik.	This creates virtual patients with symptoms that can literally be switched on and off with a snap of the fingers, making it easier to study the abnormal brain activity that causes them.	0.405195
Je to ako spätné inžinierstvo, hovorí Peter Halligan, neuropsychológ z Cardiffskej univerzity (Spojené Kráľovstvo), ktorý pracuje s Oakleym.	It's like reverse engineering, says Peter Halligan, a neuropsychologist at Cardiff University, UK, who works with Oakley.	0.58239
Až keď sa veci pokazia, začnete si vážiť príslušný mechanizmus.	It's only when things break down that you appreciate the mechanism involved.	0.24
V tomto experimente sa Halligan a Oakley zamerali na rad abnormálnych stavov, ako hysterická slepota (človek nevidí napriek tomu, že jeho oči ani mozog nepreukazujú žiadne známky poškodenia), hysterická paralýza (neschopnosť hýbať časťou tela aj napriek tomu, že človek nemá žiadne zranenie, pričom danou končatinou môže počas spánku hýbať), prospagnózia (neschopnosť rozoznávať tváre aj napriek tomu, že zrak je poriadku), syndróm cudzej končatiny (pocit, že ruka alebo noha sa hýbe sama od seba), obmedzenosť zrakového vnímania (človek vníma zrakové pole iba z polovice) a Capgrasov syndróm (viera, že blízku osobu nahradil podvodník).	For their experiments, Halligan and Oakley have focused on a range of rare and bizzare conditions. ~~~ They include hysterical blindness (the person cannot see but has no perceptible damage to their eyes or brain), hysterical paralysis (an inability to move a part of the body despite having no physical injury – the same limb may move while the person is asleep), prospagnosia (an inability to recognise faces despite having good sight), alien limb syndrome (the feeling that an arm or leg is acting of its own accord), visual neglect (total lack of awareness of half of the visual field) and Capgras syndrome (a delusional belief that a loved one has been replaced by an imposter).	0.0264994
Výskumníci veria, že všetky tieto stavy môžu byť u zdravých ľudí navodené pomocou hypnózy.	These are all conditions that the researchers believe can be recreated in healthy people using hypnosis.	0.253846
Mnohé z nich sú somatoformné poruchy, kedy sa u ľudí rozvíjajú fyzické symptómy bez zjavných fyzických príčin.	Many of them are somatoform disorders, in which people develop physical symptoms in the absence of an identifiable physical cause.	0.246316
Všetky tieto prípady sú ojedinelé a často sa objavujú u ľudí trpiacich inými problémami, akými sú depresia či schizofrénia, čo sťažuje výskum.	All are rare, and when they occur it is often in peopole with other problems, such as depression or schizophrenia, making them hard to study.	0.289831
Aby som zistila, aké sú tieto stavy a aký je to pocit byť zhypnotizovaný, prišla som, hoci trocha znepokojená, až na psychologickú fakultu University College London.	To get a sense of what these conditions are like and how it feels to be hypnotised I have come, with some trepidation, to University College London's psychology department.	0.735934
Kým sedíme v obyčajnej kancelárií, Oakley ma oboznamuje s relaxačnou procedúrou. Začína sa tým, že mi povie, aby som si predstavila známe, obľúbené miesto.	As we sit in an ordinary office, Oakley guides me through a relaxation procedure, starting by asking me to imagine that I am in a happy familiar place.	0.4008
Onedlho sa cítim presne ako na konci hodiny jogy – uvoľnená a pokojná.	I soon feel much as I do at the end of a yoga class – calm and relaxed.	0.706753
Myslela som si, že sa budem cítiť slabá a omámená, alebo že možno zabudnem, kde som, no stále počujem ruch z ulice a cítim sa normálne.	I expected to feel dizzy or drunk, or perhaps to forget where I was, but the street traffic is still audible and I feel normal.	0.279808
Potom Oakley prikáže, aby moja ľavá noha znehybnela a ja v nej naozaj cítim mravčenie, začína mi tŕpnuť.	Then Oakley suggests that my left leg is unable to move, and my leg starts to tingle with pins and needles.	0.457895
Som prekvapená, ale poddám sa tomu.	I am surprised by this, but go with it.	0.290323
Keď ma požiada, aby som zdvihla nohu, dokážem ju zdvihnúť ale iba pomaly, nemotorne a s ťažkosťou.	When he asks me to lift my leg, I can do it, but only slowly, awkwardly and with difficulty.	0.268
Znamená to, že metóda čiastočne zabrala, pravdepodobne som tesne nad priemernou hranicou zhypnotizovania, hovorí Oakley (pozri Do akej miery ste zhypnotizovateľný?).	This means the procedure has partially worked, I'm probably slightly above average on the hypnotisability scale, says Oakley (see How hypnotisable are you?).	0.414305
Ak by som patrila medzi tých 10 % ľudí s vysokou mierou zhypnotizovania, prestala by som vnímať zvuky z ulice a nedokázala by som vôbec zdvihnúť nohu.	Had I been in the 10 percent of people who are highly hypnotisable I would have ceased to hear the traffic and been unable to lift my leg at all.	1.45806
Hypnotická elita Julia Russellová, učiteľka v škole a Oakleyho bývalá študentka, je jednou z hypnotickej elity.	Hypnotic elite Julia Russell, a schoolteacher and former student of Oakley's, is one of the hypnotic elite.	0.636637
Russellová sa zúčastnila jedného z Oakleyho nedávnych experimentov týkajúcich sa syndrómu cudzej končatiny.	Russell participated in one of Oakleys recent alien limb experiments.	0.127869
Jeden zážitok opisuje ako dosť nevšedný.	She describes one experience as quite extraordinary.	0.208333
Počas hypnózy hýbali jej rukou, spočiatku manuálne.	During hypnosis, Russells arm was moved in a number of ways, first manually.	0.176087
Potom jej vnukli myšlienku, že v miestnosti sa zjaví experimentátorka, ktorá chce, aby sa jej ruka pohla.	Then the idea was suggested to her that an experimenter would enter the room who wanted her arm to move.	0.286047
Keď sa experimentátorka objavila, Russelova údajne zažila celkom zvláštny pocit.	When the experimenter appeared, Russell says she felt a bizarre sensation.	0.267692
Išlo to úplne mimo mňa.	I was being bypassed.	0.284211
Chcela, aby sa moja ruka pohla, tak sa pohla, pričom ja som sa vôbec na tomto pohybe nepodieľala, hovorí.	She wanted my hand to move, so it did, and I wasnt involved in the movement at all, she says.	0.248
Akoby jej myšlienky priamo ovplyvňovali moje správanie, bez môjho zásahu.	It was as if her thoughts were affecting my behaviour directly, without my thoughts intervening.	0.216923
Môže aktivita zhypnotizovaného mozgu naozaj napodobňovať stavy, ktoré prebiehajú počas skutočných porúch?	Can the activity in a hypnotised brain really mimic what's going on in someone with a real disorder?	0.260714
Ak aj áno, čo sa z toho môžeme naučiť?	And, if it can, what can it teach us?	0.29
Oakley a Halligan sú presvedčení, že ich virtuálni pacienti prežívajú podobné zmeny v mozgu ako ľudia so skutočnými poruchami.	Oakley and Halligan are convinced their virtual patients are experiencing some of the same brain changes as people with genuine disorders.	0.572477
Halligan rozpráva o tom, ako raz pomocou sugescie privodili u dobrovoľníka stav obmedzenosti zrakovej vnímavosti, kedy ľavá časť jeho zrakového poľa prestala existovať.	Halligan tells how they once induced a case of visual neglect in a volunteer by suggesting that the left side of his visual field would cease to exist.	0.3722
Potom ho požiadali, aby opísal obraz pomocou niekoľkých predmetov rozptýlených po strane.	They then asked him to copy a picture with a dozen objects scattered on the page.	0.246269
Väčšina zhypnotizovaných ľudí by po týchto inštrukciách opísala iba predmety z pravej časti strany, tak ako to robí aj väčšina skutočných pacientov trpiacich obmedzenosťou zrakovej vnímavosti.	Most hypnotised pepole given this instruction would copy only the objects on the right hand side of the page, as most people with visual neglect do.	0.193548
Tento dobrovoľník však nakreslil pravú stranu každého predmetu na strane.	But this volunteer drew the right-hand side of every object on the page.	0.280328
Niečo také by ste nečakali, hoci sa to stáva aj skutočným pacientom, hovorí Halligan.	That's not something you would intuitively expect, says Halligan, but it is also seen in real patients.	0.238356
V mozgu podľa jeho slov vzniká podobnosť.	The similarities reach into brain, he says.	0.283333
Halligan spolu s kolegami uspal 12 vysoko zhypnotizovateľných študentov.	Halligan and colleagues put 12 highly hypnotisable students under an then either suggested that their left leg was paralysed, or told them to merely pretend that their left leg was paralysed, with the promise of a reward if they managed to fool an investigator, unaware of which group the participants were in, couldn't tell who was faking paralysis – until they saw scans of the volunteers brains.	2.66308
Niektorým študentom vsugerovali, že ich ľavá noha ostane paralyzovaná, druhí to mali iba predstierať.	There were clear differences in brain activity.	-0.0357143
Sľúbili im odmenu, ak dokážu obalamutiť vyšetrovateľa, ktorý nevedel, v ktorej skupine dobrovoľníkov sa nachádza.		-0.3
Nevedel teda, kto paralýzu iba predstiera, až kým neuvidel obrazy mozgovej aktivity dobrovoľníkov, ktoré sa jednoznačne líšili.		-0.3
U jedincov pod hypnotickou paralýzou bol pravý orbitofrontálny kortex jednou z vysoko-aktívnych, až rozsvietených oblastí mozgu. Táto oblasť je považovaná za oblasť zadržiavania emócií a podľa záznamov sa aktivuje aj pri hysterickej paralýze.	One of the brain areas that was highly active, or lit up, in the hypnotically paralysed volunteers was the right orbifrontal cortex – a region thought to be involved with emotional inhibition, and which has also been seen to light up in hysterical paralysis.	0.381126
Yann Cojan zo ženevskej univerzity vo Švajčiarsku sa nedávno pokúšal o podobný experiment, kedy bola ľavá ruka dobrovoľníkov paralyzovaná za pomoci hypnózy.	Yann Cojan at the University of Geneva in Switzerland recently tried a similar experiment where volunteers left hands were paralysed by hypnosis.	0.53447
Spolu s kolegami zistili, že mozgové snímky u dobrovoľníkov, ktorí hypnózu len predstierali, sú odlišné.	He and his colleagues also found that brain scans distinguished those under hypnotic suggestion from the fakers.	0.28022
