Jedného dňa, asi o 5 miliónov rokov neskôr, v tomto Raji fúkal studený vietor.	One day, perhaps five million years later, a cold wind blew through this Eden.	0.3
Hoci nemáme žiadne informácie o čase, kedy vstúpila do pustovne, všetko nasvedčuje tomu, že to bolo krátko po tom, ako došlo k samotným zjaveniam. ~~~ Z testamentov sa dozvedáme, že od tých čias sa spolu so slúžkami Alice a Sarou rozhodla pre uzavretý život v cele susediacej s farským kostolom sv. Juliána z Norwichu, oproti domu Rádu sv. Augustína.	Though there is no information about the time she entered the anchorhold, it seems plausible that it was only after the revelations took place that she started to live an enclosed life, along with two maidservants, Alice and Sara, as we learn from the wills, in a cell adjacent to the parish Church of St. Julian at Norwich, opposite the house of the Augustinian Friars.	0.0522945
I keď sväté prijímanie mohla prijať len párkrát do roka, cez okno cely videla na oltár, a tak sa hocikedy mohla zúčastňovať na slávení svätej omše.	Though she was allowed to receive Holy Communion only a couple of times a year, through the window of her cell she could look onto the altar and participate in the celebration of Holy Mass.	0.330623
Väčšinu dňa sa modlila, rozjímala nad Bibliou a inými duchovnými či teologickými textami, spracovávala vlastné vízie a rozprávala sa s ľuďmi, ktorí potrebovali s niečím poradiť, ako napr. Margery Kempeová. ~~~ Kde bolo, tam bolo, bola raz krajina škriatkov. ~~~ Jej obyvatelia medzi sebou radi súperili.	She spent most of her day in prayer, in the contemplation of the Bible and other spiritual and theological texts, in editing her own visions, and in giving counsel to people, as the case of Margery Kempe shows.	-0.0694661
Jedného dňa sa škriatkovia zo Západnej ríše vracali z turnaja proti bratrancom z Jazernej ríše. ~~~ Tri dni a tri noci odpočívali v Doorskom lese. ~~~ Cez deň hodovali a celé noci pretancovali v mesačnom svite.	Once upon a time the fairies of the west, going home from a hurling-match with the fairies of the lakes, rested in Dooros Wood for three days and three nights.	-0.053047
Tancovali tak vytrvalo, až si zodrali topánočky a ešte týždeň po oslave mali obuvníčkovia plné ruky práce s výrobou náhradných. ~~~ Vtedy sa vo dne v noci z obuvníckych dielní všade navôkol rozliehal zvonivý zvuk kladiviek. ~~~ Buch- buch, buch-buch. ~~~ Škriatkovia si pochutnávali na červených bobuľkách, ktoré by ste si pri letmom pohľade mohli veľmi ľahko spliesť s plodmi jarabiny. ~~~ Tieto bobuľky sú čarovné a rastú iba v ríši škriatkov.	They spent the days feasting and the nights dancing in the light of the moon, and they danced so hard that they wore the shoes off their feet, and for a whole week after the leprechauns, the fairies’ shoemakers, were working night and day making new ones, and the rip, rap, tap, tap of their little hammers were heard in all the hedgerows.	-0.208723
Sú oveľa sladšie ako akékoľvek ovocie v našom svete. ~~~ Ak by bobuľu zjedol šedivý zhrbený starček, razom by omladol, zmužnel a zmocnel. ~~~ Ak by bobuľku zjedla chradnúca vráskavá starenka, omladla by, opeknela a zosilnela. ~~~ A keby z bobuliek odjedlo nepekné dievčatko, nevyrovnal by sa jej ani ten najkrajší kvet.	The food on which the fairies feasted were little red berries, and were so like those that grow on the rowan tree that if you only looked at them you might mistake one for the other; but the fairy berries grow only in fairyland, and are sweeter than any fruit that grows here in this world, and if an old man, bent and grey, ate one of them, he became young and active and strong again; and if an old woman, withered and wrinkled, ate one of them, she became young and bright and fair; and if a little maiden who was not handsome ate of them, she became lovelier than the flower of beauty.	-0.271079
Škriatkovia si bobuľky strážili tak starostlivo, ako si len lakomec stráži svoje zlato. ~~~ Ak niektorý z drobných obyvateľov opúšťal ríšu, musel pred kráľom i kráľovnou prisahať, že ani jedna bobuľka sa nedostane do rúk smrteľníkov a ani jedna nespadne na zem. Keby sa tak stalo, razom by na mieste vyrástol rozkonárený stromček rodiaci strapce bobuliek a nejeden smrteľník by ich mohol ochutnať.	The fairies guarded the berries as carefully as a miser guards his gold, and whenever they were about to leave fairyland they had to promise in the presence of the king and queen that they would not give a single berry to mortal man, nor allow one to fall upon the earth; for if a single berry fell upon the earth a slender tree of many branches, bearing clusters of berries, would at once spring up, and mortal men might eat of them.	0.00476744
Ale pri tancovačkách, zabávačkách, radostiach a bujarostiach v Doorskom lese sa ktorýsi škriatok, taký drobec, čo by sa sotva na prst zmestil, pozabudol a kdesi zapatrošil čarovnú bobuľku.	But it chanced that this time they were in Dooros Wood they kept up the feasting and dancing so long, and were so full of joy because of their victory over the lake fairies, that one little, weeny fairy, not much bigger than my finger, lost his head, and dropped a berry in the wood.	0.277522
Keď už bolo po zábavách a radovánkach, škriatkovia sa vrátili do svojej krajiny a stratu drobčekovej bobuľky odhalili až po týždni. ~~~ Teraz vám rozpoviem, ako na to prišli.	When the feast was ended the fairies went back to fairyland, and were at home for more than a week before they knew of the little fellow’s fault, and this is how they came to know of it.	0.0640722
Plánovala sa veľká svadba a kráľovná škriatkov poslala šesť sluhov do Doorskeho lesa, aby jej na výrobu šiat chytili päťdesiat motýľov so zlatými bodkami na fialových krídlach, päťdesiat bielych motýľov bez škvŕn a bodiek a päťdesiat motýľov zlatožltých ako prvosienky.	A great wedding was about to come off, and the queen of the fairies sent six of her pages to Dooros Wood to catch fifty butterflies with golden spots on their purple wings, and fifty white without speck or spot, and fifty golden, yellow as the cowslip, to make a dress for herself, and a hundred white, without speck or spot, to make dresses for the bride and bridesmaids.	0.350238
Na šaty pre nevestu a družiĉky museli pochytať sto bielych motýľov bez škvŕn a bodiek.	When the pages came near the wood they heard the most wonderful music, and the sky above them became quite dark, as if a cloud had shut out the sun.	0.294349
Keď sa sluhovia blížili k lesu, začuli prenádhernú hudbu. ~~~ Zrazu sa obloha nad nimi zatiahla, akoby mrak zakryl slnko.	They looked up, and saw that the cloud was formed of bees, who in a great swarm were flying towards the wood and humming as they flew.	-0.0102941
Pozreli nahor, no namiesto mračna uvideli obrovský bzučiaci roj včiel ako letí lesom. ~~~ Veľmi ich vystrašil a triasli sa, až kým sa včely neusadili na strome.	Seeing this they were sore afraid until they saw the bees settling on a single tree, and on looking closely at the tree they saw it was covered with fairy berries.	0
Keď sa mu však bližšie prizreli, uvideli strom posiaty čarovnými bobuľkami. ~~~ Včely si škriatkov nevšímali a sluhovia sa prestali báť.	The bees took no notice of the fairies, and so they were no longer afraid, and they hunted the butterflies until they had captured the full number of various colours.	-0.0284483
Usilovne hľadali motýle, kým nepochytali dosť z každého druhu. ~~~ O včelách a bobuľkách utekali povedať kráľovnej.	Then they returned to fairyland, and they told the queen about the bees and the berries, and the queen told the king.	-0.00309278
Tá hneď správu zvestovala kráľovi. ~~~ Kráľ sa veľmi nahneval. ~~~ Vyslal poslov do každého kúta ríše, aby pred neho zvolali poddaných, lebo čím skôr chcel nájsť vinníka.	The king was very angry, and he sent his heralds to the four corners of fairyland to summon all his subjects to his presence that he might find out without delay who was the culprit.	-0.135455
Zhromaždili sa všetci, okrem drobčeka, ktorému bobuľka spadla. ~~~ Pravdaže bolo každému jasné, že len vinník nemá odvahu ukázať sa.	They all came except the little weeny fellow who dropped the berry, and of course every one said that it was fear that kept him away, and that he must be guilty.	-0.0238938
Poslovia sa ho hneď vydali hľadať. ~~~ Zanedlho ho našli skrývať sa v papradí a predviedli ho pred kráľa.	The heralds were at once sent in search of him, and after a while they found him hiding in a cluster of ferns, and brought him before the king.	-0.0453297
Úbohý škriatok sa tak veľmi bál, že by zo seba len ťažko vydal hláska, ale po chvíľke sa odhodlal prehovoriť. ~~~ Povedal, že nikdy nestratil ani jednu bobuľku, až kým sa po oslave nevrátil do ríše.	The poor little fellow was so frightened that at first he could scarcely speak a word, but after a time he told how he never missed the berry until he had returned to fairyland, and that he was afraid to say anything to anyone about it.	-0.0266871
Vtedy zistil, čo vykonal a bál sa priznať. ~~~ Kráľ nechcel výhovorky ani počuť a potrestal malého vinníka vyhostením do krajiny obrov za horami, aby tam našiel strážcu čarovného stromu.	The king, who would hear of no excuse, sentenced the little culprit to be banished into the land of giants beyond the mountains, to stay there for ever and a day unless he could find a giant willing to go to Dooros Wood and guard the fairy tree.	0.0280544
Po vynesení rozsudku sa ríša škriatkov ponorila do smútku, pretože si tohto mužíčka všetci obľúbili.	When the king had pronounced sentence everyone was very sorry, because the little fellow was a favourite with them all.	0.251724
Žiadny harfista na harfe, žiadny gajdoš na gajdách, ani žiadny huslista na husličkách nehral tak ľubozvučne, ako hral tento drobček na brečtanovom liste. ~~~ Pri spomienke na všetky tie nádherné noci, ktoré pretancovali pri jeho muzike, a pri predstave, že im už nikdy nebude do tanca vyhrávať, ich zaboleli srdiečka.	No fairy harper upon his harp, or piper upon his pipe, or fiddler upon his fiddle, could play half so sweetly as he could play upon an ivy leaf; and when they remembered all the pleasant moonlit nights on which they had danced to his music, and thought that they should never hear or dance to it any more, their little hearts were filled with sorrow.	-0.0100746
Tak ako poddaní, aj kráľovná žialila, ale kráľovmu rozkazu sa nemohla vzoprieť.	The queen was as sad as any of her subjects, but the king’s word should be obeyed.	0.291045
Nastal čas drobčekovho odchodu. ~~~ Kráľovná za ním poslala sluhu s plnou hrsťou ĉarovných bobuliek.	When the time came for the little fellow to set out into exile the queen sent her head page to him with a handful of berries.	-0.0261628
Obri niesli odkaz, že tieto dobroty bude môcť strážca čarovného stromu jesť od svitu do mrku. ~~~ Vydal sa na cestu a takmer všetci kamaráti ho nasledovali k hraniciam ríše.	These the queen said he was to offer to the giants, and say at the same time that the giant who was willing to guard the tree could feast on berries just as sweet from morn till night.	-0.00416667
Keď ho videli stúpať ku krajine obrov, sňali si červené čiapočky a mávali mu, kým sa im nestratil z dohľadu. ~~~ Putoval dňom i nocou a na svitaní bol už na vrchole hory.	As the little fellow went on his way nearly all the fairies followed him to the borders of the land, and when they saw him go up the mountain towards the land of the giants, they all took off their little red caps and waved them until he was out of sight.	-0.0728261
Uvidel krajinu obrov v údolí rozprestierajúcom sa ďaleko pod ním. ~~~ Ešte pred zostupom sa obrátil, aby poslednýkrát uzrel svoju milovanú ríšu, ale veľké mračno mu zabránilo vo výhľade.	On he went walking all day and night, and when the sun rose on the morrow he was on the top of the mountain, and he could see the land of the giants in the valley stretched far below him.	-0.0090604
Bol veľmi smutný, unavený a malé nôžky ho už nevládali niesť.	Before beginning his descent he turned round for a last glimpse of fairyland; but he could see nothing, for a thick, dark cloud shut it out from view.	0.134615
Ako sa predieral nerovným povrchom hôr, myslel iba na mäkkučký zelený les a machom obrastené chodníčky utešenej krajiny, ktorú opustil. ~~~ Škriatka prebudilo chvenie zeme a začul ohlušujúci zvuk ako hrom.	He was very sad, and tired, and footsore, and as he struggled down the rough mountain side, he could not help thinking of the soft, green woods and mossy pathways of the pleasant land he had left behind him.	-0.00441176
Zdvihol zrak a uvidel, ako k nemu prichádza hrôzostrašný obor.	When he awoke the ground was trembling, and a noise that sounded like thunder fell on his ears.	0.433838
Uprostred čela mal jedno oko blčiace ako žeravé uhlíky, ústa široké od ucha k uchu, dlhé krivé zuby, pleť čiernu ako noc, hruď aj ruky zarastené čiernymi hustými chlpmi a okolo tela opásaný železný remeň, z ktorého visel ozrutný kyjak so železnými hrotmi. ~~~ Jedným švihnutím kyjaka mohol rozbiť kameň na márne kúsky.	He looked up and saw coming towards him a terrible giant, with one eye that burned like a live coal in the middle of his forehead, his mouth stretched from ear to ear, his teeth were long and crooked, the skin of his face was as black as night, and his arms and chest were all covered with black, shaggy hair; round his body was an iron band, and hanging from this by a chain was a great club with iron spikes.	-0.0360902
Oheň by ho nepopálil, voda by ho nepotopila a ani žiadna zbraň by ho nezranila. ~~~ Nič by ho neznieslo zo sveta, iba tri údery tohto kyjaka.	With one blow of this club he could break a rock into splinters, and fire could not burn him, and water could not drown him, and weapons could not wound him, and there was no way to kill him but by giving him three blows of his own club.	0.0271739
Bol taký zlostný, že ho obri volali Šarvan Mrzutý.	And he was so bad-tempered that the other giants called him Sharvan the Surly.	0.139535
Keď obor uvidel škriatkovu červenú čiapočku, vydal zo seba výkrik ohlušujúci ako hrom.	When the giant spied the red cap of the little fairy he gave the shout that sounded like thunder.	0.28
Úbohý škriatok sa celý roztriasol od strachu.	The poor fairy was shaking from head to foot.	0.284211
Čo ťa sem privádza? okríkol ho obor.	What brought you here? said the giant.	0.280645
Prosím, pán obor, odpovedal škriatok, kráľ škriatkov ma sem vyhnal a musím tu zostať, kým neprídete a nebudete strážiť čarovný strom v Doorskom lese.	Please, Mr. Giant, said the fairy, the king of the fairies banished me here, and here I must stay for ever and a day, unless you come and guard the fairy tree in Dooros Wood.	0.386929
Kým čo? zreval obor a nohou sotil mužíčka, až sa skotúľal z kopca.	Unless what? roared the giant, and he gave the fairy a touch of his foot that sent the little fellow rolling down head over heels.	0.230649
Chudák škriatok ležal na zemi ako mŕtvy. ~~~ Obra zamrzelo, čo vykonal a jemne škriatka chytil medzi palec a ukazovák.	The poor fairy lay as if he were dead, and then the giant, feeling sorry for what he had done, took him up gently between his finger and thumb.	-0.0257576
Neboj sa, maličký, prihovoril sa mu obor, a prezraď mi všetko o tom strome.	Don’t be frightened, little man, said he, and now, tell me all about the tree.	0.290476
Je to strom s ĉarovnými bobuľkami a rastie v Doorskom lese, povedal škriatok, niekoľko bobuliek mám aj so sebou.	It is the tree of the fairy berry that grows in the Wood of Dooros, said the fairy, and I have some of the berries with me.	0.290526
Ach, naozaj? spýtal sa obor.	Oh, you have, have you? said the giant.	0.204
Ukáž mi ich!	Let me see them.	0.218182
Škriatok vybral z vrecka zeleného kabátika tri bobuľky a podal ich obrovi.	The fairy took three berries from the pocket of his little green coat, and gave them to the giant.	0.220312
Obor si ich poobzeral.	The giant looked at them for a second.	0.12
Všetky naraz prehltol. ~~~ Okamžite ho zaplavil pocit šťastia a začal od radosti vykrikovať a tancovať.	He then swallowed the three together, and when he had done so, he felt so happy that he began to shout and dance for joy.	-0.0170455
Chcem viac, ty malý zlodej! skríkol.	More, you little thief! said he.	0.257143
Oveľa viac, ty malý – ako sa vlastne voláš? opýtal sa obor.	More, you little–––what’s your name? said the giant.	0.280435
Pinklík, prosím, pán obor, odvetil škriatok potom, ĉo sa zriekol všetkých bobuliek.	Pinkeen, please, Mr. Giant, said the fairy, as he gave up all the berries.	0.246774
Obor zreval ešte hlasnejšie ako predtým. ~~~ Výkriky tentoraz zaĉuli aj ostatní obri a hneď za ním bežali.	The giant shouted louder than before, and his shouts were heard by all the other giants, who came running towards him.	-0.0168539
Keď ich Šarvan uvidel prichádzať, dobehol Pinklíka a vložil si ho do kapsy, aby ho nikto z nich neuvidel.	When Sharvan saw them coming, he caught up Pinkeen, and put him in his pocket, that they shouldn’t see him.	0.296591
Prečo si tak reval? opýtali sa ho obri.	What were you shouting for? said the giants.	0.254545
Lebo mi tamtá skala spadla na nohu, odpovedal obor.	Because, said Sharvan, that rock there fell down on my big toe.	0.238636
Nekričal si ako niekto zranený, vyčítali mu obri.	You did not shout like a man that was hurt, said they.	0.293023
A ako som, podľa vás, kričal? oboril sa na nich Šarvan.	What is it to you what way I shouted? said he.	0.227027
Mohol by si odpovedať slušne na slušnú otázku? napomenuli ho. Ty vždy ostaneš Šarvan Mrzutý, dodali a odišli.	You might give a civil answer to a civil question, said they; but sure you were always Sharvan the Surly; and they went away.	0.425637
Keď už boli obri v nedohľadne, Šarvan vybral Pinklíka z kapsy.	When the giants were out of sight, Sharvan took Pinkeen out of his wallet.	0.249057
Daj mi viac bobúľ, ty malý zlodej – myslím tým malý Pinklík, okríkol ho obor.	Some more berries, you little thief––I mean little Pinkeen, said he.	0.274576
Viac už nemám, odvetil Pinklík, ale ak sa staneš strážcom stromu v Doorskom lese, môžeš sa na nich hostiť od svitu do mrku.	I have not any more, said Pinkeen; but if you will guard the tree in Dooros Wood you can feast on them from morn till night.	0.294
Budem strážiť všetky stromy v lese, ak budem môcť jesť bobule, vyhlásil obor.	I’ll guard every tree in the wood, if I may do that, said the giant.	0.24
Musíš strážiť iba jeden, poznamenal Pinklík.	You’ll have to guard only one, said Pinkeen.	0.284211
Ako sa k nemu dostanem? opýtal sa Šarvan.	How am I to get to it? said Sharvan.s	0.25
Najskôr so mnou musíš ísť k ríši škriatkov, odpovedal drobĉek.	You must first come with me towards fairyland, said the fairy.	0.29434
Dobre teda, povedal Šarvan, poďme!	Very well, said Sharvan; let us go.	0.29
Strčil si škriatka do kapsy a zakrátko prišli na vrchol hory. ~~~ Obor sa ešte raz obzrel na svoju krajinu, ale čierny mrak mu zabránil vo výhľade.	And he took up the fairy and put him into his wallet, and before very long they were on the top of the mountain.	-0.0485294
Na údolie rozprestierajúce sa pred ním dopadali slnečné lúče a v diaľke videl zelené lesy a ligotajúce sa vody ríše škriatkov.	Then the giant looked around towards the giant’s land; but a black cloud shut it out from view, while the sun was shining on the valley that lay before him, and he could see away in the distance the green woods and shining waters of fairyland.	0.17842
Neprešlo veľa času a prišiel k hraniciam ríše, ale keď sa ich pokúsil prekročiť, nohy sa mu zaborili do zeme a nemohol sa ani len pohnúť.	It was not long until he reached its borders, but when he tried to cross them his feet stuck to the ground and he could not move a step.	0.400102
Šarvan vydal tri prenikavé výkriky, ktoré sa rozľahli celou ríšou, až sa stromy zatriasli, akoby sa lesom prehnala zúrivá víchrica.	Sharvan gave three loud shouts that were heard all over fairyland, and made the trees in the woods tremble, as if the wind of a storm was sweeping over them.	0.257522
Ach, prosím vás, pán obor, pustite ma von! prosíkal Pinklík.	Oh, please, Mr. Giant, let me out, said Pinkeen.	0.219512
Šarvan vybral mužíčka z kapsy. ~~~ Ten, hneď ako zbadal, že je na hraniciach milovanej ríše, utekal, čo mu nohy stačili. ~~~ Ani len pár krokov neprešiel a stretol všetkých kamarátov, ktorí sa hrnuli z papradia zistiť, kto to tak kričal.	Sharvan took out the little fellow, who, as soon as he saw he was on the borders of fairyland ran as fast as his legs could carry him, and before he had gone very far he met all the little fairies who, hearing the shouts of the giant, came trooping out from the ferns to see what was the matter.	-0.141071
Pinklík im vysvetlil, že výkriky patrili strážcovi čarovného stromu, ktorý na hraniciach zapadol hlboko do zeme a ktorého sa nemusia báť.	Pinkeen told them it was the giant who was to guard the tree, shouting because he was stuck fast on the borders, and they need have no fear of him.	0.297458
Škriatkovia sa veľmi tešili, že sa im Pinklík vrátil. ~~~ Zodvihli ho na plecia a niesli ho do kráľovského paláca. ~~~ Všetci harfisti, gajdoši a huslisti pochodovali pred nimi a hrali tú najveselšiu hudbu, akú ste kedy počuli.	The fairies were so delighted to have Pinkeen back again, that they took him up on their shoulders and carried him to the king’s palace, and all the harpers and pipers and fiddlers marched before him playing the most jocund music that was ever heard.	-0.145775
Kráľ s kráľovnou boli na trávniku pred palácom, keď k nim natešený sprievod dorazil.	The king and queen were on the lawn in front of the palace when the gay procession came up and halted before them.	0.2125
Kráľovnine oči sa rozžiarili radosťou, keď zbadala svojho malého obľúbenca. ~~~ Aj kráľ sa v hĺbke srdca zaradoval, ale vyzeral veľmi vážne, keď vyhlásil: Prečo si sa vrátil, chlapče?	The queen’s eyes glistened with pleasure when she saw the little favourite, and the king was also glad at heart, but he looked very grave as he said: Why have you returned, sirrah?	-0.00604027
Pinklík oznámil jeho veliĉenstvu, že z ríše obrov priviedol strážcu čarovného stromu.	Then Pinkeen told his majesty that he had brought with him a giant who was willing to guard the fairy tree.	0.248
Kto je to a kde je? opýtal sa kráľ.	And who is he and where is he? asked the king.	0.203571
Obri ho volajú Šarvan Mrzutý, odpovedal Pinklík, a teraz je pred bránami ríše uväznený v zemi.	The other giants called him Sharvan the Surly, said Pinkeen, and he is stuck fast outside the borders of fairyland.	0.23625
V poriadku, vyhlásil kráľ, je ti odpustené.	It is well, said the king, you are pardoned.	0.291892
Keď to škriatkovia počuli, vyhodili červené čiapoĉky do vzduchu a zajasali tak hlasno, že včela, čo visela na ružovom púčiku, spadla omráčená na zem.	When the fairies heard this they tossed their little red caps in the air, and cheered so loudly that a bee who was clinging to a rose-bud fell senseless to the ground.	0.516378
Kráľ jednému zo sluhov rozkázal, aby Šarvanovi zaniesol za hrsť bobuliek a ukázal mu cestu do Doorskeho lesa.	Then the king ordered one of his pages to take a handful of berries, and to go to Sharvan and show him the way to Dooros Wood.	0.432088
Ten sa s bobuľami vybral za Šarvanom, ktorého rev chudáka škriatka vyplašil takmer na smrť.	The page, taking the berries with him, went off to Sharvan, whose roaring nearly frightened the poor little fellow to death.	0.196154
Hneď ako obor ochutnal sladké plody, jeho nálada sa vylepšila a spýtal sa sluhu, či môže zrušiť moc kúzla.	But as soon as the giant tasted the berries he got into good humour, and he asked the page if he could remove the spell of enchantment from him.	0.205618
Áno, môžem, prisvedčil škriatok, a aj tak urobím, ak sľúbiš, že sa nepokúsiš prekročiť prah našej ríše.	I can, said the page, and I will if you promise me that you will not try to cross the borders of fairyland.	0.293023
Z celého srdca ti to sľubujem, povedal obor.	I promise that, with all my heart, said the giant.	0.268421
Ale ponáhľaj sa, môj maličký, lebo si už nohy necítim.	But hurry on, my little man, for there are pins and needles in my legs.	0.221739
Škriatok odtrhol prvosienku a z kalíšteka vytrhol päť karmínovočervených lupienkov. ~~~ Jeden hodil smerom na sever, druhý na juh, tretí na východ, štvrtý na západ a posledný vyhodil vysoko do nebies.	The page plucked a cowslip, and picking out the five little crimson spots in the cup of it, he flung one to the north, and one to the south, and one to the east, and one to the west, and one up into the sky, and the spell was broken, and the giant’s limbs were free.	0.0343697
Kúzlo sa stratilo a obor si konečne vyslobodil nohy. ~~~ Potom sa Šarvan s drobným sluhom vydali do Doorskeho lesa a zakrátko zbadali čarovný strom.	Then Sharvan and the fairy page set off for Dooros Wood, and it was not long until they came within view of the fairy tree.	-0.036
Keď Šarvan uvidel čarovné bobuľky ligotajúce sa na slniečku, zakvílil tak nahlas a silno, až škriatka odfúklo späť do ríše.	When Sharvan saw the berries glistening in the sun, he gave a shout so loud and strong that the wind of it blew the little fairy back to fairyland.	0.4
Ale musel sa vrátiť do lesa, aby obrovi pripomenul, že cez deň musí sedieť pri kmeni stromu, pripravený bojovať s každým, kto by sa ulakomil na bobuľky a v noci musí spať v korune stromu.	But he had to return to the wood to tell the giant that he was to stay all day at the foot of the tree ready to do battle with anyone who might come to steal the berries, and that during the night he was to sleep amongst the branches.	0.320996
Dobre teda, zamrmlal obor s plnými ústami bobuliek.	All right, said the giant, who could scarcely speak, as his mouth was full of berries.	0.12
