Závisí.	They do.	0.3
Katalóg zbierky úryvkov z Dlhého vydania, Parížsky rukopis Anglais 40, ktorý sa nachádza vo Francúzskej národnej knižnici, je zo šestnásteho storočia.	Of the Long Text there is an anthology of extracts in the Paris Manuscript Anglais 40 of the Bibliothèque Nationale that the catalogue dates to the 16th century.	0.427203
Je to najdôležitejší rukopis z Dlhého vydania, ktorý bol napísaný pred zrušením kláštorov v Anglicku. ~~~ Práve to mohlo slúžiť Cressymu ako dôkazový materiál v časoch, keď bol kaplánom v anglickom benediktínskom kláštore pre mníšky v exile v Paríži.	It is the most important long-text manuscript, which predates the dissolution of the monasteries in England, and it might have served Cressy as supporting material for his own version while he served as chaplain in Paris to the exiled nuns in the English Benedictine monastery.	0.046934
Antherský rukopis, ktorý obsahuje úryvky Zjavení, je prvým fóliom rukopisu Westminsterskej katedrály z roku 1368. No odhad nemusí byť správny, nakoľko by mu mala predchádzať vízia z roku 1373.	Anther manuscript that contains excerpts of Julian’s Showings is The Westminster Cathedral Manuscript the first folio of which carries the date 1368, but this must be a miscalculation since it would precede the vision of 1373.	0.350909
S najväčšou pravdepodobnosťou bol napísaný okolo roku 1500.	Most probably it was written about 1500.	0.520714
Navyše vzhľad rukopisu je podobný tomu parížskemu, oba sú napísané na linajkovom papieri medzi okrajmi.	Moreover, the appearance of this manuscript is similar to the Paris manuscript, both being written on ruled lines between ruled margins.	0.21
Amherské aj Westminsterské rukopisy sú zbierkou stredovekých duchovných spisov, ktoré obsahujú komentáre k Žalmom a diela ako Rebrík dokonalosti od Waltera Hiltona, Golden Epistle pripisované svätému Bernardovi, Horologium Sapientiae od Henryho Susoa, Sparkling Stone od Jána van Ruisbroeka, Mirror of Simple Souls od Margarity Poreteovej alebo dielo Ústava od Arcibiskupa Arundela.	Both the Amherst and Westminster Manuscripts are a florilegium of medieval spiritual writings that include Psalm commentaries, Walter Hilton’s Ladder of Perfection, Golden Epistle ascribed to St. Bernhard, Henry Suso’s Horologium Sapientiae, John Ruysbroek’s Sparkling Stone, Marguerite Porete’s Mirror of Simple Souls or Archbishop Arundel’s Constitution.	0.854276
Skutočnosť, že sa tam objavili aj Julianine Zjavenia ukazuje, aký rešpekt mala medzi učiteľmi duchovného života.	The fact that Julian’s Showings were inserted there, shows how much esteem she enjoyed among the masters of the spiritual life.	0.269388
V Britskej knižnici sa nachádzajú ešte ďalšie dva rukopisy z Julianinho Dlhého vydania a to:	Finally, there are two further manuscripts of Julian’s Long Text in the British Library:	0.288158
Sloanský rukopis 2499 a 3705.	Sloan Manuscripts 2499 and 3705.	6.26538
Aktualizácia:	Update:	0.075
Pobrežnú výskumnú stanicu Iaina Douglas-Hamiltona Save the Elephants (Zachráňme slony) v severnej Keni zničili ráno 4. marca 2010 náhle záplavy, ktoré spôsobila búrka vzdialená niekoľko míľ proti prúdu rieky.	The riverside research station of Iain Douglas-Hamilton, Save the Elephants, in northern Kenya, was destroyed on the morning of March 4, 2010 by a flash flood, which resulted from a storm many miles upstream.	1.59148
Vďaka náhlej evakuácii neboli žiadne obete. ~~~ Voda však odplavila počítače a kamery, zničila budovy a prístroje, a mnoho dôležitých informácií sa stratilo.	Although no one was killed, due to hasty evacuation, buildings and equipment were wrecked, computers and cameras were washed away, and some precious data were lost.	-0.00555556
Spustošené boli aj neďaleký Elephant Watch - turistický rezort Oria manželky Douglas-Hamiltona a ďalších sedem chát.	The nearby tourist camp of Douglas-Hamilton's wife Oria, Elephant Watch, and seven other lodges were also devastated.	0.476471
Čitatelia, ktorí by chceli pomôcť pri prestavbe, tak môžu urobiť na webovej stránke savetheelephants. org.	Readers who wish to help the rebuilding effort can do so through the website savetheelephants.org.	0.271765
Biológ Iain Douglas-Hamilton sa blíži k veľkému slonovi, mladému a hanblivému.	The biologist Iain Douglas-Hamilton is walking up on an elephant, a sizable young female, nubile and shy.	0.958696
Je to samica, ktorú aj so svojimi spolupracovníkmi volá Anna.	Her name, as she's known to him and his colleagues, is Anne.	0.554727
Stojí spolovice schovaná za zhlukom stromov na kopci v odľahlej severnej Keni, kadiaľ pokojne prechádza aj s členmi svojej rodiny.	She stands half-concealed within a cluster of trees on the knob of a hill in remote northern Kenya, browsing tranquilly with several members of her family.	0.249107
Okolo krku jej visí pevný kožený obojok a na vrchole ramien má ako taký malý klobúčik pripevnený elektronický vysielač.	Around her neck hangs a stout leather collar along which, at the crest of her shoulders, like a tiny porkpie hat, sits an electronic transmitter.	0.391176
Vďaka tomuto vysielaču ju Douglas-Hamilton ľahko nájde. Priletí na svojom Cessna lietadle a potom už len pešo prejde cez vysokú trávu a agátové húštie.	That transmitter has allowed Douglas-Hamilton, flying in by Cessna, proceeding here on foot through the tall grass and acacia scrub, to find her.	0.287903
Nevšíma si ho, alebo ju len nezaujíma.	She's oblivious to him, or maybe just not interested.	0.181818
Chce sa poriadne pozrieť na obojok.	He wants a clear look at the collar.	0.29
Počul hlásenia, že je by mohol byť príliš tesný. Asi do neho dorástla odvtedy, čo ju uspali šípkou, nasadili jej ho, prispôsobili a prijali ako zdroj výskumných údajov.	He has heard reports that it may be too tight—that she has grown into it since having been tranquilizer-darted, fitted, and thus recruited as a source of research data.	0.401321
Douglas-Hamilton zvyčajne pozoruje slony opatrnejšie v bezpečí auta Land Cruiser, no žiadny dopravný prostriedok nezvládne jazdiť po takomto teréne. Teraz je však prednejšie zdravie a pohodlie Anny.	Ordinarily, Douglas-Hamilton does his elephant- watching more cautiously, from the safe containment of a Land Cruiser, but no vehicle can drive this terrain, and Anne's comfort and health are at issue.	0.83397
