Obojok by mal byť povolený a pod ním má visieť knísavá protiváha.	The collar should hang loose, with a dangling counterweight below.	0.556364
Je úsporná zároveň. ~~~ Aby ušetrili na výdavkoch, na energii z batérií a znížili hmotnosť, mechanizmus obojkov dostáva informácie o polohe zo satelitov GPS, ktoré sú potom ďalej prenášané lacnými smskami cez najpoužívanejšieho mobilného operátora v Keni Safaricom. ~~~ Inými slovami, každý v Keni má mobil, dokonca aj slony.	The technology of the new collars is not only intricate but also economical: To save expense, conserve battery power, and minimize weight, the collar mechanisms receive positional information from GPS satellites but then transmit that information by way of low-cost SMS (short message service) blurts on Safaricom, Kenya's leading cell phone network.	-0.116732
Už aj zopár Grévyho zebier vysiela svoju polohu cez Safaricom.	In other words, everybody in Kenya has a mobile phone, even the elephants.	0.25
Ktovie, čo bude nasledovať? Pytón písmenkový, drop kori alebo vták krakľa vidlochvostá?	A few Grevy's zebras are now also transmitting via Safaricom, and who knows what might be next—rock pythons, kori bustards, lilac-breasted rollers?	0.335964
Zatiaľ to však znamená, že každý z 20 slonov posiela každú hodinu, každý deň na Douglas-Hamiltonov počítač smsky, v ktorých sa píše Čauko, Iain, tu som.	For the present what this means is that each of 20 elephants sends a text message to Douglas-Hamilton's computer, each hour of every day, saying: Iain, yo, here I am.	1.72101
Základné stimuly, ktoré podnecujú správanie slonov, sú podľa Douglas-Hamiltona rozmnožovanie, potrava a bezpečie. ~~~ Najnáročnejšie je zadovážiť si bezpečie.	OF THE CARDINAL INCENTIVES that drive elephant behavior—that is, Douglas- Hamilton's three S's: sex, sustenance, and security—the most difficult to calibrate is the third.	-0.00964286
Hľadanie potravy, vody a rozmnožovacích príležitostí nie je vždy ľahká úloha, no v porovnaní s hľadaním bezpečia pomerne jednoduchá.	Finding food, finding water, and finding reproductive opportunities aren't always simple tasks, but compared with finding security they are relatively straightforward.	0.213913
Skutočné stále bezpečie je nepredvídateľné a ťažko dosiahnuteľné.	Real security, lasting security, is more unpredictable and elusive.	0.294915
Miestni ľudia majú na to názov: neebei.	The local people have a word for it: neebei.	0.648529
Každý človek chce neebei - slobodu od nebezpečenstva, hrozby, neistoty a strachu. ~~~ Nepersonifikujeme, keď povieme, že sa to vzťahuje aj na slony.	Every person wants neebei—freedom from danger, menace, uncertainty, fear—and it's not anthropomorphism to say that every elephant does too.	-0.00491803
Dokonca aj v severnej Keni v 21. storočí, kedy je už obchod so slonovinou zakázaný a Kenya Wildlife Service (KWS) bojuje proti pytliakom, môžu byť životy slonov (obzvlášť samcov s veľkými klami) v ohrození.	Even in northern Kenya, even in the 21st century, with the ivory trade banned and the KWS policing against poachers, the life of an elephant (especially a bull with large tusks) can be precarious.	0.367422
Občas zviera zabije nahnevaný farmár, ktorému poničilo úrodu, alebo rozhorčený pastier, ktorý našiel svoju drahú kravu smrteľne prebodnutú a pomstil sa prvému slonovi, na ktorého natrafil.	Sometimes an animal is killed by an angry farmer who has seen a crop wrecked, or by an outraged herder who has found a precious cow fatally gored and taken vengeance on the next elephant to appear.	0.407407
Aj naďalej ľudia zabíjajú kvôli slonovine. ~~~ Do slona vystrieľajú plný zásobník brokov, rozsekajú tvár, aby mohli vylomiť kly, a potom slonovinu posunú na čierny trh.	Sometimes people still kill for ivory, blasting an elephant full of high-caliber slugs, hacking the face off to wrench out the tusks, moving that ivory into the black market.	-0.0041958
Slon občas umrie predčasne a z nevyjasnených dôvodov.	And sometimes an elephant dies an untimely death for reasons that can't be discovered.	0.12766
Keď som sa asi po mesiaci vrátil do Keni na druhú návštevu, Douglas-Hamilton mi povedal, že Anna, mladá samica, ktorej obojok sme šli pešo skontrolovať, umrela.	When I returned to Kenya for a second visit, after a month away, Douglas-Hamilton told me that Anne, the young female whose collar we inspected on foot, was dead.	0.408889
Bola zastrelená neznámou osobou a z neznámeho dôvodu.	She had been shot by persons unknown for reasons unknown.	0.287234
Jej kly, menšie, ale cenné, nikto nezobral. ~~~ Keď jej mŕtvolu našla hliadka z KWS, boli stále na mieste, a to mohli byť ľahko vyňaté z rozkladajúcej sa lebky bez akéhokoľvek rezania.	Her tusks, smallish but valuable, hadn't been taken; they were still in place when a KWS patrol found the carcass, by which point they could be pulled from the rotting skull without the need to hack.	0.0528947
Po páchateľovi nie sú stopy a nikto nemá ani potuchy o motíve.	There was no trace of the perpetrator and no clue to the motive.	0.294231
Po týždni som prišiel na prehliadku Anniných pozostatkov, tentoraz s Onesmasom Kahindim, ktorý má na starosti údaje o mŕtvolách.	A week later I visited Anne's remains, this time with Onesmas Kahindi, the carcass- data man.	0.178481
Našli sme ju (s pomocou Iaina, ktorý letel ponad poslednú GPS polohu a zachytil záblesk bielej kosti) v mokrom, prameňom presiaknutom údolí v západnej Laikipii, proti prúdu od obdĺžnikového jazera.	We found her (with help from Iain, who had flown over the last GPS position and caught a glimpse of white bone) in a soggy, spring-seep valley of western Laikipia, just upstream from a rectangular lake.	0.491763
Neďaleko sa zdržiavali poletujúce supy, ale na tom nebolo nič zaujímavé.	A cruising vulture lingered nearby, but there wasn't much left to interest it.	0.280952
Annina lebka, ktorá ležala pod stromom Acacia xanthophloea, bola zašpinená od vtáčieho trusu.	Anne's skull, resting beneath a yellow fever tree, was painted with bird dung.	0.232836
Jej spodná čeľusť, niekoľko rebier, lopatka a ďalšie úlomky kostí boli spolu s trávou zo žalúdka a kúskami vyschnutej kože roztrúsené po okolí.	Her lower jaw, several ribs, a shoulder blade, and other bone fragments lay scattered about, along with a smear of grassy stomach contents and a patch of dried skin.	0.510656
Kĺby z jej čeľuste vykazujú stopy po obhrýzaní hyenou.	Her jaw joints showed gnaw marks from a hyena.	0.238462
V celej oblasti bol cítiť zápach smrti, ale keďže sme postupovali v smere vetra, nezacítili sme ju, až dokým sme ju nezazreli.	The whole area reeked of death, but approaching downwind, we hadn't smelled her until we saw her.	0.212195
Bola mŕtva už asi tri týždne.	She had been dead about three weeks.	0.228
Červy a muchy, podobne i hyeny, ako prišli, tak už aj odišli.	The maggots and flies, like the hyenas, had already come and gone.	0.270588
Kahindi jej odmeral stoličku a spravil fotku.	Kahindi measured a molar.	1.27826
Anna spravila svoje vlastné rozhodnutia a jedno z nich ju priviedlo do tohto malého údolia, zrejme kvôli vode a dobrej tráve.	Anne had made her choices, and one choice brought her to this little valley, probably for its water and good grass.	0.26875
Nech už našla čokoľvek, nebolo to neebei a podrobnosti jej nešťastia zostali nevysvetlené.	Whatever else she found, she hadn't found neebei, but the details of her misfortune were inscrutable.	0.26962
Kahindi, neúnavný pracovník slonej ochrany, avšak žiadna citlivka, si zatvoril pero.	Kahindi, a tireless worker for elephant conservation but no sentimentalist, capped his pen.	0.53
Hotovo, oznámil.	Finished, he said.	0.28125
Fajn, teraz poďme predbehnúť dážď.	OK, let's beat the rain.	0.157143
Všetko závisí od výberu.	IT'S ALL ABOUT CHOICES.	0.285714
Slony sú inteligentné, vedia, čo potrebujú, a spravidla aj kde to nájdu. ~~~ Ak to nevedia, tak ich to naučí matka alebo stará matka.	Elephants are smart, they know what they need, and they generally know where to get it; if they don't know, their mother or grandmother will teach them.	0.0922028
Vyzerá to tak, že sa zamýšľajú nad rizikami.	They seem to calculate risks.	0.661538
Dokážu byť nebezpečné, ale radšej sa vyhýbajú konfliktom s inými veľkými nebezpečnými tvormi, akými sú levy či ľudia.	They can be dangerous, but they prefer to avoid conflict with other big, dangerous creatures such as lions or people.	0.293939
Okrem toho sú bylinožravce, čiže nemajú dôvod zabíjať. ~~~ Výnimkami sú obrana alebo zmätenie, panika a zúfalosť z nenaplnenia svojich potrieb.	They are herbivores, after all, with no reasons to kill except defense, confusion, panic, and desperation when their needs are unmet.	-0.0118421
V ekosystéme Samburu-Laikipia dokážu žiť na miestach medzi farmami a osídlením, kde majú nižšiu úroveň konfliktov a vyššiu úroveň vzájomnej tolerancie než vo väčšine iných oblastí, v ktorých sa slony pohybujú.	In the Samburu-Laikipia ecosystem they manage to live in the spaces between human farms and settlements with far lower levels of conflict and higher levels of mutual tolerance than exist in most other areas where elephants range.	0.370417
Douglas-Hamilton sa so mnou o týchto veciach zamyslene rozprával pred i po dni, kedy ho mojou vinou takmer zabil slon.	Douglas-Hamilton talked thoughtfully to me about such things, both before and after the day I nearly got him killed by an elephant.	0.409857
Stalo sa to takto.	It happened like this.	0.225
Jedno neskoré popoludnie sa zastavil pri mojom stane.	Late one afternoon, he stopped by my tent and asked:	0.279545
Chcel by si sa ísť pred západom slnka previezť za slonmi? spýtal sa ma.	Want to drive out and see some elephants before sunset?	0.223404
Toto bol jeho obvyklý spôsob odmeny za osemhodinovú sedavú prácu za stolom.	He often rewarded himself that way for eight hours' deskbound effort.	0.275
Čo keby sme šli radšej pešo? navrhol som pri tejto príležitosti.	On this occasion I said: How about a walk instead?	0.207143
Vedel som, že cesta pešo v rámci rezervácie je spravidla nebezpečná, ale nemohli by sme prejsť aspoň malý kužeľovitý kopec hneď za táborom?	I knew that foot travel within the reserve was generally inadvisable, but couldn't we at least climb the little conical hill just behind camp?	0.294915
Samozrejme, súhlasil. ~~~ A tak sme išli.	Yes indeed, he said; and so we did.	-0.0310345
Z kamenistého vrcholku kopca sme si vychutnávali nádherný výhľad na západ, kde sa hnedý mazľavý tok rieky Ewaso Ngiro skrúcal dolu prúdom pomedzi brehy, ktoré boli zaplnené palmami a agátmi.	From the hill's rocky top we savored a magnificent view westward, with the brown slick of the Ewaso Ngiro winding its way downstream between banks bristling with palm and acacia.	0.566323
Na sever od nás sa týčil väčší kopec, dvojitý násyp, ktorý je známy ako Spiaci slon.	Just north of us was a larger hill, a double mound known as Sleeping Elephant.	0.276923
Na ten si už niekedy vyšiel? spýtal som sa.	Have you ever climbed that one? I asked.	0.282353
Nie, odpovedal mi Douglas-Hamilton, no v očiach sa mu zablysla šibalská iskra, ale my by sme mohli.	No, said Douglas-Hamilton, with a mischievous glint in his eye … but we could.	0.418182
A tak sme pešo vyrazili k Spiacemu slonovi. ~~~ Dvaja bieli muži v strednom veku a chudý chalan Mwaniki, mladý Samburčan a jeden z pracovníkov tábora s korálkami a v shuka, ktorého s nami zavolal Douglas-Hamilton.	Thus we set out on foot toward Sleeping Elephant: two middle-aged white men and a young Samburu from the camp crew, a skinny lad named Mwaniki, in his beads and his shuka, whom Douglas-Hamilton asked to tag along.	0.174643
Šli sme cez vysoké riedke krovie asi iba päť minút, keď sme pred nami uvideli slony - samicu s dvoma sloníčatami.	We walked only five minutes through the high, sparse bush before we saw elephants ahead: a female with two calves.	0.293617
Zastali sme a z bezpečnej diaľky sme ich obdivovali. ~~~ Pokračovali sme, až keď to vyzeralo, že sú na odchode.	We paused, admiring them from a safe distance until they seemed to withdraw, and then we went on.	0.115993
O pár sekúnd Mwaniki zamrmlal varovanie a všimli sme si, ako z diaľky asi 64 metrov na nás zazerá samica.	Seconds later Mwaniki muttered a warning, and we looked up to see the female glowering at us from 70 yards away.	0.565025
Uši mala doširoka roztiahnuté a bola rozrušená.	Her ears were spread wide.	0.0521739
Hlasno zatrúbila a zaútočila.	Trumpeting vehemently, she charged.	0.233333
Otočil som sa a bežal ako blázon.	I turned and ran like a fool.	0.625
Mwaniki sa otočil a bežal ako gazela.	Mwaniki turned and ran like a gazelle.	1.04063
Douglas-Hamilton sa otočil a bežal, no potom si to rozmyslel a zastal. ~~~ Roztiahol ruky a začal kričať, aby ju zastavil.	Douglas-Hamilton turned and ran—then thought better of it, turned, threw his arms out, and hollered to stop her.	0.140769
Niekedy to zaberá. ~~~ U niektorých slonov sú útoky klamlivé alebo nesmelé. ~~~ V tom prípade môžu byť zastavené odvážnou výzvou.	Sometimes this works; some elephants make bluff charges, or half-hearted ones, and can be halted by a gutsy challenge.	-0.112222
Avšak tento útok nebol klamlivý.	But this charge wasn't bluff.	0.265385
Samica opäť zatrúbila a pokračovala v behu.	The female honked again and kept coming.	0.274286
Douglas-Hamilton sa znova otočil a rozbehol sa.	Douglas-Hamilton turned again and ran.	0.74
Vtedy som mal už 20 krokov náskok a Mwaniki bol preč.	By this time I had a 20-step lead and Mwaniki was gone.	0.793182
Pri rýchlosti, akou sa pohyboval, už mohol byť v polovici cesty do Lamu.	At the rate he'd been moving, he might have been halfway to Lamu.	0.475397
Ale nie, bežal naspäť do tábora v Samburu (to sme sa dozvedeli až potom) a kričal: Etara lpayian ltome!	But no: He ran straight back into camp (we learned afterward) and shouted in Samburu: Etara lpayian ltome!	0.759731
Znamená to: Starého muža zabil slon!	Meaning: The old man has been killed by an elephant!	0.1875
Toto oznámenie, hoci unáhlené, priviedlo ľudí rýchlo na miesto.	This announcement, though premature, brought people back to the scene fast.	0.246429
Zatiaľ slonica zachytila Douglas-Hamiltona, keď sa jej snažil vyhnúť obchádzaním kríka.	Meanwhile the elephant caught Douglas-Hamilton as he tried to evade her by circling a bush.	0.3
Zo vzdialenosti asi 15 metrov som videl, ako ho chobotom zdvihla a potom odhodila ako takú handru.	From 50 feet away I watched her lift him with her trunk and then toss him, as you'd toss dirt off a shovel.	0.455823
Dostal zo seba len jedno žalostné slovo: Pomoc.	He uttered a single piteous word: Help.	0.238235
Pristúpila k nemu bližšie a zahnala sa klami smerom nadol.	She stepped forward and stabbed her tusks downward.	0.266667
Douglas-Hamiltonove telo bolo skryté za vysokou trávou, takže som nevidel, či ho prebodla.	Douglas-Hamilton's body was now obscured by tall grass, and I couldn't see whether she had nailed him.	0.26962
Potom ustúpila asi desať krokov a pozastavila sa.	Then she backed off about ten steps and paused.	0.2775
Neskôr mi povedal, že toto bola chvíľa, kedy mu prebehlo mysľou, či je toto jeho koniec.	This was the moment, he told me later, when he had time to wonder whether he would die.	0.287324
Utekal som k Douglas-Hamiltonovi a na moje prekvapenie vnútornosti mu z tela neviseli ako rezance.	I ran back to Douglas-Hamilton, and to my surprise, his innards weren't hanging out like ratatouille.	0.292941
Bol doškrabaný, otrasený, poudieraný a otrhaný. ~~~ Topánky, okuliare a hodinky mal preč, ale bol v poriadku.	He was scratched, dazed, bruised, rumpled; his shoes, glasses, and watch were gone; but he was OK.	-0.0180723
Prešiel som mu celý hrudný kôš, ale nemal žiadne bodnutia po kloch.	I felt all over his rib cage: no tusk holes.	0.125
Vzali sme ho medzi nás a zdvihli na nohy.	Between us, we got him to his feet.	0.248276
Potom prišiel ďalší tucet ľudí z tábora, niektorí pribehli, niektorí prišli na aute.	And then a dozen people arrived, running and driving from camp.	0.194444
Niekto mu našiel okuliare a topánky.	Someone found his glasses and shoes.	0.3
Hodinky boli rozbité, ale tikali.	The watch was busted but ticking.	0.289655
Rýchlo sme miesto opustili pre prípad, že by si to slonica rozmyslela a vrátila sa.	Quickly we vacated the area, lest the elephant change her mind and come back.	0.276923
Keď bolo už po všetkom, s Douglas-Hamiltonom sme si dali dohromady všetko, čo sa stalo.	In the aftermath Douglas-Hamilton and I pieced together what had happened.	0.258462
Po tom, čo sme si vydýchli, nasledovalo ospravedlňovanie (hlavne z mojej strany, keďže kvôli mne sme tam boli pešo, avšak on o tom nechcel ani počuť a celú vinu bral na seba) a hypotetizoval.	There was much relief, much apologizing (especially by me, for getting us out there on foot, but he wouldn't hear of that and claimed the blame himself), and much hypothesizing.	0.37664
S pomocou Daballena a Lentipa určil, že táto samica bola určite Diana, jedna z Panovníčok, spolu so svojimi dvoma mladými sloníčatami.	With help from Daballen and Lentipo, he established that this female must have been Diana, of the Royals, with her two youngish calves.	0.433732
Možno sme ju vystrašili, pretože vietor fúkal za jej chrbtom, a teda nás nezacítila, keď sme sa priblížili.	Maybe we startled her because the wind had been at her back; therefore she couldn't smell us before we got near.	0.293407
Možno bola zahnaná do kúta ctižiadostivým samcom alebo levom tesne pred tým, ako sme tam zablúdili.	Maybe she had been put on edge by a pushy bull, or a lion, just before we blundered along.	0.250685
Pýtal sa aj ľudí, či je v záznamoch o Diane niečo, čo by mohlo byť príčinou vzdorovitého správania.	Is there anything in the records on Diana, he asked his people, that would suggest a recalcitrant disposition?	0.260241
Avšak nič sa v nich nenašlo.	There was not.	0.0461538
Diana.	Diana.	1.8
Bola iba ďalším slonom - citlivým, prchkým a zložitým.	She was just another elephant: sensitive, volatile, and complex.	0.23617
Jej správanie v oné popoludnie bolo odlišné, hoci násilné.	Her behavior that afternoon, though violent, had been nuanced.	0.276471
Na poslednú chvíľu urobila rozhodnutie.	At the last moment she made a choice.	0.251613
Rozhodla sa nezabiť ho.	She chose not to kill him.	0.285714
A nikto, ani len Iain Douglas-Hamilton so svojimi zázračnými prístrojmi a ťažko získanými vedomosťami, nikdy nebude vedieť prečo.	And no one, not even Iain Douglas-Hamilton, with all his magical gadgetry and his hard-won knowledge, will ever know why.	0.428769
Dňa 21. 7. 2016 Medzinárodná asociácia atletických federácií (IAAF), ktorá je riadiacim orgánom ľahkej atletiky, suspendovala ruský tím z účasti na olympiáde v Rio de Janeiru.	On July 21, 2016, the International Association of Athletics Federations (IAAF), track and field's global governing body, barred Russia's team from competing in the Olympics in Rio de Janeiro because of a massive, secret government program of giving steroids to Russian athletes at the 2014 Sochi Olympics and covering up the evidence of cheating.	0.347241
Dôvodom bol rozsiahly tajný vládny program, pri ktorom na OH v Soči podávali ruským športovcom steroidy, ako aj skrývanie dôkazov podvádzania.	State- sponsored drug programs to give a country's athletes an unfair competitive edge date to the Cold War.	0.198913
Štátom sponzorované dopingové programy, ktoré mali neprávom zvýhodniť športovcov svojej krajiny, fungovali už za studenej vojny. Vo všeobecnosti však športovci užívali látky na zvýšenie športovej výkonnosti v honbe za olympijským ideálom – Citius, Altius, Fortius (rýchlejšie, vyššie, silnejšie) – už od nepamäti.	But individual athletes taking performance-enhancing drugs in pursuit of the Olympic ideal—Citius, Altius, Fortius (Faster, Higher, Stronger)—is as old as recorded history.	0.322054
Alexander Legkov, ruský zlatý medailista, skáče na stupňoch víťazov vedľa ruského strieborného medailistu Maxima Vylegžanina (vľavo) a ruského bronzového medailistu Iľju Černousova (vpravo) počas vyhlásenia výsledkov v behu na lyžiach na 50 km na olympiáde v Soči v roku 2014.	Above, Russia's gold medal winner Alexander Legkov jumps on the podium with Russia's silver medal winner Maxim Vylegzhanin, left, and Russia's bronze medal winner Ilia Chernousov, right, during the medal ceremony for the men's 50 km cross-country race at the 2014 Sochi Olympics.	0.519512
Všetci sú podozriví z užitia zakázaných látok.	All of these wins are suspect.	0.126923
Od 3. storočia pred n. l. sa olympijskí športovci v antickom Grécku snažili zvýšiť svoju športovú výkonnosť stimulanciami, akými sú brandy, víno, halucinogénne huby a sezamové semienka.	By the third century BC, ancient Greek Olympic athletes sought to enhance performance by using such stimulants as brandy, wine, hallucinogenic mushrooms, and sesame seeds.	0.39106
Rímski gladiátori užívali stimulanciá na lepšie prekonanie únavy a zranení.	Roman gladiators took stimulants to overcome fatigue and injury.	0.247368
Ľudia v antike taktiež spozorovali účinky kastrácie na domácich zvieratách a pokúšali sa ich napodobniť.	The ancients had also observed the effects of castration on domesticated animals and sought to emulate them.	0.293407
Jedli zvieracie aj ľudské orgány za účelom zvýšenia sily, vitality a odvahy.	The organs of animals and humans were ingested to improve strength, vitality, and bravery.	0.245455
Podvádzanie sa v starovekých olympijských hrách tvrdo trestalo (jedným z trestov bolo zotročenie), avšak užívanie povzbudzujúcich látok sa za podvádzanie nepovažovalo.	While cheating was severely punished in the early Olympics (one penalty was enslavement), enhancing performance by ingesting substances was not considered cheating.	0.291667
Grécki bežci z obdobia antiky.	Above, ancient Greek runners with torch.	0.2
S nástupom modernej medicíny sa v 19. storočí užívanie stimulancií na zvýšenie energie, výkonnosti a na zrýchlenie zotavenia v súťažnom športe tešilo čoraz väčšej popularite.	With the advent of modern medicine in the 19th century, taking stimulants to enhance energy use, production, and recovery in sport competition grew in popularity.	0.274101
Vedci začali seriózne experimentovať s anabolickými účinkami hormónov.	Scientific experiments with the anabolic effects of hormones also began in earnest.	0.257812
Tzv. elixír života, s ktorým prišiel Charles-Édouard Brown-Sequard, sa stal prvou známou látkou na zvýšenie športovej výkonnosti v americkom profesionálnom športe. Stal sa známym najmä po tom, ako ho Jim Galvin, nadhadzovač z tímu Pittsburgh Alleghenys, vypil pred zápasom v roku 1889.	Charles-Édouard Brown-Sequard's Elixir of Life became the earliest known performance-enhancing drug in American professional sports, made famous when Jim Pud Galvin, a pitcher with the Pittsburgh Alleghenys, downed it before a game in 1889.	0.76092
(Jeho víťazstvo v zápase sa považovalo za dôkaz účinnosti elixíru.)	(That he won the game was taken as evidence of the elixir's power.)	0.283929
Táto zmes obsahovala testosterón získaný z genitálií psov, králikov, oviec, morčiat a iných zvierat.	The concoction consisted of testosterone drained from the gonads of dogs, rabbits, sheep, guinea pigs, and other animals.	0.242045
V tom čase bolo dostupných mnoho elixírov, ktoré vraj obsahovali pravý výťažok zvieracej energie.	Many such elixirs, said to embody the very essence of animal energy, were available at the time.	0.285185
Reklama na elixír podobný tomu od Browna-Sequarda s názvom Sequarine z roku 1912.	Above, a 1912 ad for a Brown-Sequard–type elixir called Sequarine.	0.237931
Koncom 19. a začiatkom 20. storočia začali plavci, vytrvalci, šprintéri a cyklisti užívať špeciálne dopingové receptúry s cieľom získať náskok pred svojimi súpermi.	In the late 19th and early 20th centuries, swimmers, distance runners, sprinters, and cyclists had begun using special doping recipes to gain a competitive edge against their opponents.	0.391434
Vtedajší boxeri pili strychnínové tabletky a brandy s kokaínom.	Boxers of the day swallowed strychnine tablets and mixtures of brandy and cocaine.	0.519643
Počas olympijského maratónu v roku 1904 tréner vyčerpanému Thomasovi Hicksovi aplikoval dve injekcie sulfátu strychnínu, ktoré následne zapil veľkými pohármi brandy.	In the 1904 Olympic marathon, a faltering Thomas Hicks was administered two injections of sulphate of strychnine by his trainer during the race, chased down by large glasses of brandy.	1.91582
Hicks získal zlato, ale takmer zomrel.	Hicks took the gold but nearly died.	0.699539
Zmesi strychnínu, heroínu, kokaínu a kofeínu sa užívali do 20. rokov 20. storočia.	Mixtures of strychnine, heroin, cocaine, and caffeine were in use until the 1920s.	0.3
Nik takéto postupy neskrýval, nakoľko sa nepovažovali za podvádzanie. ~~~ Dopingové receptúry však držali v prísnej tajnosti.	No attempt was made to conceal these practices—they weren't considered cheating—but doping recipes were closely guarded secrets.	-0.00550459
Thomas Hicks počas maratónu na letných olympijských hrách v St. Louis v roku 1904.	Above, Thomas Hicks running the 1904 Summer Olympics in St. Louis, Missouri.	0.974126
V 19. storočí bol v móde pedestrianizmus (z ktorého sa neskôr vyvinula atletická chôdza).	In the 19th century, pedestrianism—competitive walking—was all the rage.	0.244615
Trate merali 800 kilometrov, niekedy aj viac, pričom sa na túto disciplínu chodilo pozerať dvadsaťtisíc divákov denne.	Walking races stretched to 500 or more miles and attracted 20, 000 spectators a day.	0.164789
V 70. a 80. rokoch 19. storočia to bol najpopulárnejší šport v Spojených štátoch.	In the 1870s and 1880s, endurance walking races were America's most popular spectator sport.	0.252174
Chodci bežne užívali stimulanciá, ktoré ich udržiavali v bdelom stave.	Stimulants were routinely used by endurance walkers to keep awake.	0.27931
Onedlho sa tak stalo aj v cyklistike na dlhé trate.	Long-distance cycling races soon followed.	0.269231
Cyklisti začali užívať nitroglycerín (srdcový stimulant) pre zlepšenie dýchania.	Cyclists often took nitroglycerin, a cardiac stimulant, to improve their breathing.	0.29589
Niektorí na získanie výhody užívali kofeín, iní alkohol, ďalší zas kocky cukru namočené v éteri.	Some used caffeine, others alcohol, and still others sugar cubes dipped in ether to gain an edge.	0.296341
Cyklistické preteky na trávnatej ploche v anglickom meste Pocklington začiatkom 20. storočia.	Above, grass track cycle racing in Pocklington, England, in the early 1900s.	0.222727
Od 19. do polovice 20. storočia čoraz viac ľudí užívalo stimulačné látky.	Stimulant drug use steadily grew from the 19th to the mid-20th century.	0.290164
Podľa doktora Yesalisa počas druhej svetovej vojny sily fašistických, ako aj protifašistických mocností užívali amfetamíny.	In World War II, soldiers of both the Allies and Axis powers used amphetamines, says Charles E. Yesalis III, DSc, MPH.	0.266667
Doktor vied Charles E. Yesalis III. je emeritným profesorom, ktorý sa venoval oblasti zdravia a ľudského vývoja na Pennsylvánskej štátnej univerzite a napísal publikáciu Anabolic Steroids in Sport and Exercise (Anabolické steroidy v športe a pri cvičení). Bol poradcom v americkom Úrade pre kontrolu drog (ONDCP), Olympijskom výbore Spojených štátov, Národnej asociácii univerzitného športu (NCAA) a v iných organizáciách.	Dr Yesalis, professor emeritus of health and human development at Pennsylvania State University and author of Anabolic Steroids in Sport and Exercise, has been a consultant to the US Office of National Drug Control Policy, the US Olympic Committee, and the National Collegiate Athletic Association, among others.	0.564888
