Zabudnite na tradičný marketing. ~~~ Nefunguje.	Traditional marketing doesn’t work: get over it!	-0.00357143
Myšlienka, že ten dlhý chvost, ktorý predstavujú produkty s nižším dopytom, vám dnes môžu priniesť zisk a dokonca na nich môžete zarobiť oveľa viac ako na popredných "trhákoch". Vďaka tomu, že ich uverejňujete on-line, máte totiž nízke náklady na ich distribúciu.	What’s new is the idea that the "long tail” of low-sellers can now be profitable—and even make more money than the "head” of blockbuster items—thanks to the low distribution costs of selling online.	0.197605
Amazon je klasický príklad, kde na prvý pohľad nekonečný výber produktov dokáže osloviť publikum a ich občasné zľavové vlny dokazujú, že tieto produkty sú nielen dobré, ale dá sa na nich aj pekne zarobiť.	Amazon is a classic case of this, where a seemingly infinite variety of niche products reach a niche audience, and their low unit sales volumes over time combine to make these products not only viable but also a nice earner.	0.44701
Pokiaľ máte vo svojom biznise vytýčený smer a dokážete ponúkať svoje produkty a služby, takisto môžete profitovať z myšlienky Dlhého chvosta a využívať on-line marketing na to, aby ste získali zákazníkov.	If your business has an identifiable niche, and you can provide products or services at a distance, you too can benefit from the Long Tail by using online marketing to reach your community.	0.455222
Napriek tomu, že som až doteraz hovoril o nových prostriedkoch využívania on-line marketingu, je správnejšie o nich hovoriť ako o sociálnych médiách.	Although I’ve so far been talking about "the new online marketing tools, ” these are more properly referred to as social media.	0.238318
Sociálne médiá sú jednoducho zbierka bezplatných on-line prostriedkov a programov, ktoré ľudia využívajú na publikáciu, konverzáciu či na zdieľanie vlastných nápadov a myšlienok on-line.	Social media is simply a collection of free, online tools and platforms that people use to publish, converse, and share content online.	0.302609
To je to, čomu hovoríme "Web 2.0" – čiže druhá generácia spolupracujúcich on-line prostriedkov.	It’s what we used to call "Web 2.0”—a second generation of more collaborative online tools.	0.480769
Prostriedky sociálnych médií zahŕňajú blogy, podcasty, on-line videá, stránky, na ktorých sa zverejňujú fotografie, sociálne siete, virtuálne svety a sociálne zálohované stránky.	Social media tools include blogs, podcasts, online video, photo-sharing sites, social networks, virtual worlds and social bookmarking sites.	0.217742
Pod pojmom sociálne médiá si môžete tiež predstaviť zbierku web stránok a on-line služieb ako sú Facebook, LinkedIn, MySpace, Twitter, Flickr, Second Life, iTunes, Delicious, StumbleUpon, atď.	You might also think of social media as a collection of websites and online services: Facebook, LinkedIn, MySpace, Twitter, Flickr, Second Life, iTunes, Delicious, StumbleUpon and so on.	1.3583
Pre naše účely je lepšie o nich uvažovať ako o metóde marketingu, ktorá v širšom zmysle zahŕňa web stránky a e-mailový marketing.	For our purposes, it is most helpful to think of it as an approach to marketing, and a subset of online marketing tools which, more broadly, include websites, search engine marketing, and email marketing.	0.387475
Je to posun od marketingu, ktorý využíva metódu tzv. nátlaku (tým, že sa ľuďom snaží nátlakom vnucovať nejakú správu/odkaz) ku marketingu, ktorý využíva metódu tzv. priťahovania, čo znamená, že ľudí ku sebe priťahuje zaujímavým, hodnotným obsahom tak, že ho začnú vyhľadávať sami.	It is a shift from "push” marketing, where we are pushing a marketing message at people, to "pull” marketing, where we are attracting people toward us with engaging, interesting, valuable content that people will seek out.	0.298102
V dnešnej dobe ľudia "gúglia" to, čo ich zaujíma tak, že jednoducho zadajú do jeho prehliadača požiadavku, ktorú potrebujú.	People today think in a Googlesque way—they seek out what interests them.	0.0952381
Ak dokážete preniknúť k týmto záujmovým skupinám, už nikdy nebudete musieť predávať, pretože ľudia vás nájdu sami.	If you can tap into those communities of interest, you won’t ever need to sell again—people will come looking for you.	0.3
Možno o tom premýšľate ako o marketingu založenom na súhlase alebo ústnom podaní či konverzácii.	You might think of it as permission-based marketing, word-of-mouth marketing, or conversational marketing.	0.256627
Pred časom som sa na jednej konferencii stretol s výrazom tzv. martini marketingu, aj keď si myslím, že by som ho mal prestať používať na svojich prednáškach či workshopoch, pretože väčšina poslucháčov, ktorým prednášam, je príliš mladých na to, aby som od nich získal nejakú odozvu.	One phrase I came across a little while ago on the conference circuit is martini marketing—though it’s one that I shall have to stop using in lectures and workshops because most people I speak to these days are too young to get the reference!	0.308167
V 70.-tych rokoch vysielali v televízii reklamnú kampaň pre Martini, v ktorej použili slogan: "kedykoľvek, kdekoľvek, hocikde".	There was a TV advertising campaign for Martini in the 1970s which used the strap line: "any time, anyplace, anywhere.	0.264
Tento slogan naozaj predstavuje spôsob, ako on-line marketing dnes funguje - idete za svojou cieľovou skupinou, získate si ju ponukou, o ktorú má záujem, kedy a kde to vyhovuje jej.	That really sums up how marketing should work these days—going where your market is, reaching them with content they want, when and where they want you to.	0.354066
Je to posun od tzv. megafónového marketingu, kde náhodne vykrikujete na heterogénnu masu ľudí, ktorí sa môžu ale nemusia zaujímaťo to, čo vravíte.	This is a shift away from megaphone marketing—randomly shouting your message at a heterogeneous mass of people who may or may not be interested in what you have to say.	0.389
Využívaním sociálnych médií zviditeľňujete seba pre ľudí, ktorých zaujíma práve to, čo chcete povedať.	By using social media, you are making yourself visible to people who are already interested in what you have to say.	0.276667
Viete sa k nim dostať, upútať ich zaujímavým obsahom a budovať s nimi vzťah.	You can tap into these communities of interest, engage them with useful content, and build a relationship with them.	0.335938
Marketing, ktorý využíva sociálne médiá skutočne funguje najmä v malom podniku, pretože sa viac sústreďuje na budovanie vzťahu so zákazníkom, než len na nezáživnú marketingovú kampaň.	Social media marketing works for small businesses because it focuses on building customer relationships rather than sterile marketing campaigns.	0.224409
Odolajte túžbe použiť to zaručené, neosobné, spoločenské vyjadrovanie.	Resist the temptation to use that safe, impersonal corporate voice—stand out from the crowd and be yourself!	0.497396
Vyjdite z davu a buďte sami sebou. ~~~ Za krátky čas sme prešli dlhú cestu v oblasti sociálnych médií.	We’ve come a long way in a very short space of time with social media.	0.0426724
Internetová sieť existuje len niečo vyše 20 rokov.	The World Wide Web has only been around for about 20 years.	3.93258
A sociálne média tak ako ich poznáme my, fungujú len od roku 2006. Je to rok, kedy časopis Time nominoval ako Osobnosť roka práve "vás".	And social media as we know it has only really been around since 2006—the year that Time magazine nominated their Person of the Year as "You.	0.404765
V tejto oblasti je rok 2006 veľmi významný najmä preto, lebo Facebook sa rozšíril do celého sveta, a teda už to nebola len záležitosť americkej univerzity.	”The year 2006 was a significant one in social media:Facebook opened its network to anyone, rather than just U. S. college kids; Twitter launched; and a new company called YouTube was bought by Google.	1.65742
Vznikol Twitter a novú spoločnosť YouTube odkúpil Google.	These are now three of the biggest sites on the Internet.	0.28125
Toto sú práve tie tri najmasívnejšie webové stránky na internete.	Yet some of the early myths about social media still persist.	0.271154
Predsa len niektoré z niekdajších mýtov týkajúcich sa sociálnych médií stále pretrvávajú.		-0.3
Pokúsme sa ich hneď teraz vyvrátiť.	Let’s dispel a couple of them now.	0.27931
Mýtus č. 1: Je to pre deti V časoch tzv. MySpace generácie sa biznis veľmi tešil sociálnym médiám. ~~~ Využívali sa sociálne médiá, aby získali mladú generáciu detí, ktoré boli v kontakte a tvorili médiá priamo v ich detských izbách.	Myth #1—It’s just for kids Business got very excited about social media a few years ago, when there was a lot of talk of the "MySpace Generation”—i.e., using social media to reach a young demographic of kids connecting online and creating media in their bedrooms.	0.0480787
Realita roku 2006, kedy bol Facebook študentská sieť, však dnes už neplatí.	This may have been true in 2006 when Facebook was a student network, but it is much less so now.	0.470769
Dnes najrýchlejšie rastúcu generáciu vo všetkých sociálnych sieťach tvoria ľudia okolo 35 rokov.	The fastest- growing demographic in all social networks is people over the age of 35.	0.245833
Na Facebooku sa najviac rozširuje skupina ľudí medzi 35 - 54 rokov a skupina ľudí vo veku 25 - 34 sa každý polrok dvojnásobne zvyšuje.	On Facebook, 35–54-year-olds are growing the fastest, and 25–34-yearolds are doubling every six months.	0.234066
Najväčšia skupina ľudí na Twitteri je vo veku 35 - 49 rokov.	The largest age group on Twitter is 35–49-year-olds.	0.273913
Príslušníci virtuálneho sveta Second Life majú v priemere 33 rokov a členovia siete LinkedIn v priemere 41 (pokiaľ hovoríme o pracovnej sieti).	Residents of the virtual world Second Life have an average age of 33, and members of LinkedIn an average age of 41—as you might expect for a more professional network.	0.782715
Samozrejme, že je na sociálnych sieťach stále veľa mladých ľudí.	There are, of course, still plenty of young people on social networks.	0.278571
Je to tzv. "digitálna generácia" ľudí, pretože sa narodili do sveta digitálnych technológií.	This generation of "digital natives” were born into a world of digital technology.	0.257746
O pár rokov to budú vaši zákazníci, klienti alebo dokonca pracovníci.	In a few years they are going to be your customers, your clients, your staff.	0.53
Niektorí už dokonca sú.	Many of them already are.	0.285714
Tí chytrejší vás už dobiehajú.	But the grown- ups are catching up.	0.266667
Mohli by to byť "digitálni imigranti", ktorí môžu mať rôzne silný vplyv na nový digitálny jazyk. ~~~ Mýtus č. 2: Je to len krátke pobláznenie.	They might be thought of as "digital immigrants, ” at varying levels of fluency in the new digital language.	-0.0164634
Myslím si, že obdobie, kedy boli sociálne médiá odsudzované ako krátke pobláznenie. ~~~ sú už dávno za nami.	Myth #2—It’s a fadI think we’re now past the point where social media can be dismissed as a fad.	-0.0123288
Môže za to spôsob. akým využívame internet a síce na socializáciu či interakciu.	It has simply become the way we use the Internet: in a social, interactive way.	0.500649
To, čo niekedy označujeme ako medzinárodná sieť. je v skutočnosti len sieť.	What is sometimes referred to as the "social web” is really just the Web.	0.280328
Tak ako už nepoužívame termín automobil, ale hovoríme len auto.	We no longer say "motor car”—we just say "car.	0.176923
Stále je to len vozidlo, ktoré je motorizované.	”It’s taken as is that our cars are motorized.	0.284615
To isté platí pre Web čiže sieť – to znamená, že používame internet na to, aby sme sa dokázali spojiť s našimi kamarátmi, vyjadriť naše názory, publikovať fotografie či pozerať videá.	So it is becoming with the Web—it is a given that we use the Internet to connect with our friends, express our opinions, publish our photos or watch a video.	0.338635
Existuje výskum, ktorý podporuje tento nový, sociálny spôsob, akým využívame internet.	There is also hard research evidence to back up this new, social way we use the Internet.	0.287838
Kanále sociálnych médií sa za posledný rok rapídne rozrástli.	Social media channels have grown rapidly over the past year.	0.288462
Podľa Nielsenovej správy z roku 2009 v Spojenom Kráľovstve sociálne siete vykazujú, že priemerný internetový užívateľ strávi každú šiestu minútu on-line.	According to a Nielsen report2 in 2009, in the UK, social sites account for one in every six minutes the average Internet user spends online.	0.259322
Facebook je celosvetovo najpopulárnejšia sociálna sieť, ktorá ma 500 miliónov aktívnych užívateľov a Twitter je najrýchlejšie sa rozvíjajúci prostriedok sociálnych médií s odhadom 75 miliónov používateľov.	Facebook is the most popular social network globally, with 500m active users, and Twitter is the fastest-growing social media tool, with an estimated 75m users at the time of writing.	0.4719
		0.3
