Ako sa ľudský mozog prispôsobuje slepote a dovoľuje nám vidieť svet prostredníctvom echolokácie.	How the human brain adapts to blindness and allows us to see our world through echolocation.	0.273077
Ďalšia skupina cvičení pomáha študentom naučiť sa určovať konkrétne predmety.	The next set of exercises helps students learn how to determine what the objects actually are.	0.252174
Toto v podstate zahŕňa tri vlastnosti: miesto a veľkosť predmetu a hĺbku štruktúry, ktorá definuje geometrické vlastnosti predmetu alebo jeho povrchu.	This essentially involves three characteristics: where things are, how large they are and depth of structure, which refers to the geometric nature of the object or surface.	0.263359
Študenti odpovedajú na otázky typu: Je daný predmet drsný alebo hladký?	Students answer questions such as, Is the object coarse or smooth?	0.273684
Je veľmi tuhý alebo je drobivý? Odráža zvuk alebo ho absorbuje?	Is it highly solid or sparse? and Is it highly reflective or absorbent?	0.266667
Kish tvrdí, že všetky tieto znaky sa dajú zistiť na základe odrazenej zvukovej stopy.	Kish says all those patterns come back as acoustic imprints.	0.451573
Kľúčom je dokázať odlíšiť zmeny v zvuku na základe toho, kedy sa od povrchu odrazil a kedy bol k nemu zvuk vyslaný.	The key is to notice the changes in the sound when it comes back from when it went out.	0.192857
Ak sú študenti naozaj odhodlaní trénovať, tak sa hlavné podnety prostredia naučia rozlišovať.	With determined practice, students eventually learn how to differentiate among general environmental stimuli.	0.241463
Napriek tomu, že sú všetci inštruktori v organizácii nevidiacimi echolokátormi, Kish sa domnieva, že dobrými učiteľmi môžu byť aj vidiaci inštruktori.	Although the organization’s instructors are currently all blind echolocators, Kish anticipates that sighted instructors could teach the skill as well.	0.440567
Niekoľko takých inštruktorov sa školí a sľubuje, že budú vedieť echolokáciu používať.	Several sighted instructors are in training, showing promise of using echolocation themselves.	0.264
Jeho cieľom je mať vidiacich inštruktorov, ktorí sú schopní dostať sa na rovnakú úroveň ako nevidiaci echolokátori. Zdôrazňuje však, že hoci môžu echolokáciu používať nevidiaci aj vidiaci, môžu mať veľmi odlišné fenomenologické skúsenosti.	His goal is to have sighted instructors performing just as well as blind echolocators, though he emphasizes that although both sighted and blind individuals can echolocate, they may have profoundly different phenomenological experiences.	0.297087
Zatiaľ Kish usilovne pracuje a učí nevidiacich vidieť ušami.	In the meantime, Kish is hard at work, teaching the blind how to use their ears to see.	0.498113
		0.3
