To som dnes robil v práci.	That’s what I did at work today.	0.231818
Johnson mi vysvetlil, že aj keď glukózu odbúravajú bunky celého tela, fruktóza sa spracováva predovšetkým v pečeni.	Johnson explained to me that although glucose is metabolized by cells all through your body, fructose is processed primarily in the liver.	0.412667
Ak budeme konzumovať príliš veľa ľahko stráviteľného jedla, ako sú nealkoholické nápoje a sladkosti, naša pečeň bude rozkladať fruktózu a produkovať tuky, ktoré sa nazývajú triglyceridy.	If you eat too much in quickly digested forms like soft drinks and candy, your liver breaks down the fructose and produces fats called triglycerides.	0.214286
Niektoré z týchto tukov zostávajú v pečeni, ktorá sa môže po ich dlhom pôsobení nimi naplniť a prestať správne fungovať.	Some of these fats stay in the liver, which over long exposure can turn fatty and dysfunctional.	0.222222
Ale veľká časť triglyceridov preniká do krvi.	But a lot of the triglycerides are pushed out into the blood too.	0.195
Časom sa krvný tlak zvýši a tkanivá sa postupne stávajú odolnejšie voči inzulínu.	Over time, blood pressure goes up, and tissues become progressively more resistant to insulin.	0.248571
V dôsledku toho vylúči pankreas väčšie množstvo inzulínu, čím sa snaží udržať veci pod kontrolou.	The pancreas responds by pouring out more insulin, trying to keep things in check.	0.24
Pre stav známy ako pôsobenie metabolického syndrómu je typický vysoký krvný tlak, obezita najmä v oblasti bokov a ďalšie metabolické zmeny. ~~~ Ak sa tento stav nekontroluje, môže viesť k vzniku cukrovky 2. typu a navyše aj zvýšenému riziku srdcového infarktu, ku ktorému môže dôjsť.	Eventually a condition known as metabolic syndrome kicks in, characterized by obesity, especially around the waist; high blood pressure; and other metabolic changes that, if not checked, can lead to type 2 diabetes, with a heightened danger of heart attack thrown in for good measure.	0.0612448
Viac ako tretina dospelých Američanov spĺňa kritériá, ktoré stanovili pre metabolický syndróm Národné inštitúty zdravia USA.	As much as a third of the American adult population could meet the criteria for metabolic syndrome set by the National Institutes of Health.	0.278182
V poslednom čase sa Americká kardiologická asociácia pridala k varovaniam o pridávaní veľkého množstva cukru do stravy.	Recently the American Heart Association added its voice to the warnings against too much added sugar in the diet.	0.275
Základom týchto varovaní je, že cukor poskytuje len prázdne kalórie bez výživovej hodnoty.	But its rationale is that sugar provides calories with no nutritional benefit.	0.251471
Johnson si spolu s jeho kolegami myslí, že to nie je všetko.	According to Johnson and his colleagues, this misses the point.	0.815455
Cukor v nadmernom množstve neobsahuje len prázdne kalórie, ale je aj toxický.	Excessive sugar isn’t just empty calories; it’s toxic.	0.18125
Nemá to nič spoločné s kalóriami, tvrdí endokrinológ Robert Lustig z Kalifornskej univerzity v San Franciscu.	It has nothing to do with its calories, says endocrinologist Robert Lustig of the University of California, San Francisco.	0.974303
Cukor je jedom sám o sebe, keď ho konzumujeme vo vysokých dávkach.	Sugar is a poison by itself when consumed at high doses.	0.242553
Johnson zhrnul všeobecné tvrdenie týmto spôsobom: Američania sú tuční, pretože jedia príliš veľa a cvičia príliš málo.	Johnson summed up the conventional wisdom this way: Americans are fat because they eat too much and exercise too little.	0.463725
Robia to tak preto, lebo sú závislí od cukru, z ktorého po jeho počiatočnom návale nielen priberú, ale zníži sa ich energia. ~~~ Z tohto dôvodu sa potom len povaľujú na gauči.	But they eat too much and exercise too little because they’re addicted to sugar, which not only makes them fatter but, after the initial sugar rush, also saps their energy, beaching them on the couch.	-0.0239583
Príčinou nášho pozerania televízie nie je to, že telka je super, lenže kvôli nadmernej konzumácii cukru nemáme dostatok energie na cvičenie, povedal Johnson.	The reason you’re watching TV is not because TV is so good, he said, but because you have no energy to exercise, because you’re eating too much sugar.	0.270968
Aké je riešenie?	The solution?	0.253846
Prestaňme jesť toľko cukru.	Stop eating so much sugar.	0.273913
Keď obmedzíme cukor v strave, zmizne veľa chorobných príznakov.	When people cut back, many of the ill effects disappear.	0.25
V dnešnej dobe je nesmierne ťažké sa vyhnúť cukru, ktorý je jedným z dôvodov prudkého nárastu konzumácie potravín.	The trouble is, in today’s world it’s extremely difficult to avoid sugar, which is one reason for the spike in consumption.	0.281633
Výrobcovia využívajú cukor, aby dochutili jedlo s nízkym obsahom tuku, takže vyvoláva dojem, že je zdravšie. ~~~ Takýmto jedlom je napr. nízkokalorické pečivo, ktoré často obsahuje veľké množstvo pridaného cukru. ~~~ Je to najhorší možný scenár.	Manufacturers use sugar to replace taste in foods bled of fat so that they seem more healthful, such as fat-free baked goods, which often contain large quantities of added sugar.	-0.122
Nemôžeme smrteľne ochorieť kvôli konzumácii jedla, ktoré milujeme, ale kvôli konzumácii jedla, ktoré neznášame, pretože určite nechceme smrteľne ochorieť.	It’s a worst-case scenario: You sicken unto death not by eating foods you love, but by eating foods you hate—because you don’t want to sicken unto death.	0.278906
Na počiatku bolo ovocie	In the Beginning	0.18
Ak je pre nás cukor zlý, prečo máme naň neuveriteľnú chuť?	Was the FruitIf sugar is so bad for us, why do we crave it?	0.287234
Stručnou odpoveďou je, že injekcia cukru zavedená do krvného obehu stimuluje v mozgu rovnaké centrá slasti, ktoré reagujú na heroín a kokaín.	The short answer is that an injection of sugar into the bloodstream stimulates the same pleasure centers of the brain that respond to heroin and cocaine.	0.280165
Do určitej miery takúto reakciu mozgu spôsobujú aj všetky chutné potraviny.	All tasty foods do this to some extent—that’s why they’re tasty!	0.24
Preto nám tak chutia! ~~~ Ale cukor má veľmi výrazný účinok.	—but sugar has a sharply pronounced effect.	-0.04
V tomto zmysle je doslova návykovou látkou.	In this sense it is literally an addictive drug.	0.276316
Nastoľuje sa otázka: Prečo je náš mozog vyvinutý tak, aby na potenciálne toxickú látku reagoval pôžitkom?	This raises the question, however, of why our brains would evolve to respond pleasurably to a potentially toxic compound.	0.257143
Johnson mi povedal, že odpoveď leží hlboko v našej opičej minulosti, keď naši predkovia túžili po fruktóze len preto, lebo ju potrebovali na prežitie.	The answer, Johnson told me, lies deep in our simian past, when a craving for fructose would be just the thing our ancestors needed to survive.	0.397311
Parafrázujem Johnsona hlasom prepožičaným z bájok: Aké by boli najlepšie teórie, ak nie staré príbehy, ktoré sú prerozprávané vedeckým jazykom?	I paraphrase Johnson in a voice borrowed from the fables, for what are even the best theories, if not the old stories told again in the language of science?	0.2904
Veľmi dávno, pred asi 22 miliónmi rokmi, ľudoopy obsadili koruny stromov afrického dažďového pralesa. ~~~ To mohol byť aj počiatok sveta.	Some 22 million years ago, so far back it might as well be the beginning, apes filled the canopy of the African rain forest.	1.07809
Prežili vďaka strave, ktorá sa skladala z ovocia zo stromov osladeného prírodným cukrom. ~~~ Ovocie jedli celoročne.	They survived on the fruit of the trees, sweet with natural sugar, which they ate year-round—a summer without end.	-0.00463918
Leto tam nemalo koniec.		-0.3
